Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																													
Дата голосования: 02.12.2007																																																													
																																																													
"Наименование Избирательной комиссии:    Рыбинск, Волжская"																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319					
1	"Число избирателей, внесенных в списки избирателей"	88967	844	2076	2044	1976	1704	1597	1559	1806	1813	1768	1668	1476	2004	1565	1461	1593	1874	1870	1724	1951	1878	1719	1828	1635	1283	1248	1884	1392	1443	1730	1813	1881	1898	1835	1797	1698	1739	1662	1698	1686	1733	1536	1871	1468	1108	1230	1646	1505	1615	2075	1542	1542	1497	479					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	77000	700	1700	1700	1600	1500	1400	1400	1500	1500	1500	1500	1300	1800	1300	1200	1400	1600	1600	1500	1700	1700	1500	1500	1400	1000	1000	1700	1200	1300	1500	1600	1700	1700	1600	1600	1500	1500	1500	1500	1500	1500	1400	1600	1300	1000	1000	1400	1300	1400	1700	1400	1300	1300	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	50424	454	1119	1242	1085	1052	945	970	1032	1035	892	936	787	1049	844	807	886	1045	966	940	1098	1083	981	1060	1016	754	742	1092	773	850	1049	1066	1008	1003	1061	953	978	1020	973	1020	974	1021	928	1114	879	658	755	982	801	907	1166	786	823	865	99					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2363	48	76	20	35	17	21	22	24	29	55	50	41	96	43	27	40	30	24	41	44	26	44	35	35	20	23	49	57	28	26	20	24	34	49	44	35	43	45	56	44	35	75	28	39	22	23	39	29	32	33	25	51	40	372					
6	Число погашенных избирательных бюллетеней	24213	198	505	438	480	431	434	408	444	436	553	514	472	655	413	366	474	525	610	519	558	591	475	405	349	226	235	559	370	422	425	514	668	663	490	603	487	437	482	424	482	444	397	458	382	320	222	379	470	461	501	589	426	395	29					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2363	48	76	20	35	17	21	22	24	29	55	50	41	96	43	27	40	30	24	41	44	26	44	35	35	20	23	49	57	28	26	20	24	34	49	44	35	43	45	56	44	35	75	28	39	22	23	39	29	32	33	25	51	40	372					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	50396	454	1119	1239	1083	1052	945	970	1029	1035	891	935	786	1048	844	807	886	1045	966	940	1098	1082	981	1060	1016	753	742	1092	773	849	1046	1064	1008	1002	1061	953	978	1020	972	1019	974	1021	928	1114	879	658	755	982	798	906	1166	786	823	864	99					
9	Число недействительных избирательных бюллетеней	404	5	8	23	8	7	6	5	11	5	9	10	4	11	9	9	5	9	4	13	6	2	8	12	2	3	12	10	6	5	8	12	5	5	6	5	3	11	5	14	4	5	3	7	9	4	6	8	8	11	11	12	8	5	2					
10	Число действительных избирательных бюллетеней	52355	497	1187	1236	1110	1062	960	987	1042	1059	937	975	823	1133	878	825	921	1066	986	968	1136	1106	1017	1083	1049	770	753	1131	824	872	1064	1072	1027	1031	1104	992	1010	1052	1012	1061	1014	1051	1000	1135	909	676	772	1013	819	927	1188	799	866	899	469					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1291	10	20	30	20	20	15	15	20	20	20	20	20	30	30	20	20	25	25	23	25	25	27	25	30	20	30	33	30	20	27	35	20	25	40	30	30	20	31	27	25	25	25	30	25	20	25	20	20	20	33	20	20	30	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1030	9	18	25	11	20	11	13	19	16	19	15	11	14	19	8	19	19	19	19	19	18	22	25	28	18	26	31	25	11	22	25	16	9	28	25	26	18	31	23	25	22	18	18	18	15	25	15	19	16	32	19	12	26	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	681	8	26	9	7	8	6	5	14	9	3	8	4	29	10	10	3	14	10	12	4	9	10	6	22	8	13	9	15	13	0	11	9	15	9	25	27	13	10	12	11	13	14	21	19	23	14	7	10	15	11	11	17	22	38					
14	Число погашенных неиспользованных открепительных удостоверений	261	1	2	5	9	0	4	2	1	4	1	5	9	16	11	12	1	6	6	4	6	7	5	0	2	2	4	2	5	9	5	10	4	16	12	5	4	2	0	4	0	3	7	12	7	5	0	5	1	4	1	1	8	4	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	59	2	0	0	0	0	0	3	1	2	1	0	2	1	0	3	2	1	0	3	1	2	2	2	2	0	0	1	0	0	1	0	3	1	1	2	0	0	0	0	2	3	0	2	1	0	0	1	3	2	0	2	4	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
