Выборы Президента Российской Федерации																																																													
																																																													
"Наименование Избирательной комиссии:    Барнаул, Ленинская"																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167					
1	"Число избирателей, внесенных в список"	115263	2320	2731	2362	1954	2089	2099	2567	2560	2793	2423	2677	2693	2258	2668	2424	2546	2464	2317	2629	2327	2585	2531	2716	1937	1446	1513	1990	2412	1666	2656	2420	2970	2834	2866	2136	2175	2075	2824	2907	2771	2515	1625	2273	2070	1722	1599	1564	957	1922	2205	126	98	95	161					
2	Число полученных избирательных бюллетеней	103280	2090	2310	2120	1750	1860	1870	2310	2290	2520	2170	2390	2420	2000	2370	2130	2300	2210	2070	2350	2060	2360	2270	2440	1770	1320	1370	1780	2170	1490	2350	2170	2640	2510	2540	1920	1930	1860	2510	2580	2480	2250	1460	2030	1850	1530	1360	1410	860	1710	1970	200	200	200	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	68411	1292	1519	1401	1193	1295	1250	1559	1571	1788	1465	1617	1669	1291	1634	1482	1551	1423	1409	1629	1483	1590	1533	1613	1190	885	921	1230	1366	1033	1358	1419	1695	1723	1766	1295	1344	1204	1723	1646	1570	1168	936	1381	1222	976	879	851	349	945	1601	126	96	95	161					
5	"Число избирательных бюллетеней, выданных вне помещения"	2003	26	50	49	24	35	38	58	29	53	31	49	44	28	46	38	56	38	22	34	48	52	41	63	37	37	18	34	39	22	33	26	23	35	42	40	38	38	40	48	39	79	50	32	18	8	21	26	119	51	58	0	0	0	0					
6	Число погашенных избирательных бюллетеней	32866	772	741	670	533	530	582	693	690	679	674	724	707	681	690	610	693	749	639	687	529	718	696	764	543	398	431	516	765	435	959	725	922	752	732	585	548	618	747	886	871	1003	474	617	610	546	460	533	392	714	311	74	104	105	39					
7	Число избирательных бюллетеней в переносных ящиках	2003	26	50	49	24	35	38	58	29	53	31	49	44	28	46	38	56	38	22	34	48	52	41	63	37	37	18	34	39	22	33	26	23	35	42	40	38	38	40	48	39	79	50	32	18	8	21	26	119	51	58	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	68207	1290	1515	1395	1193	1295	1247	1557	1571	1784	1465	1612	1656	1291	1634	1482	1546	1423	1407	1629	1432	1590	1533	1613	1190	885	921	1230	1366	1028	1357	1419	1615	1717	1766	1295	1339	1204	1720	1646	1570	1168	933	1377	1222	976	879	851	349	945	1601	126	96	95	161					
9	Число недействительных избирательных бюллетеней	766	13	21	10	21	22	13	16	13	24	16	10	18	17	16	20	6	15	8	16	6	12	17	16	18	21	10	22	17	9	4	11	45	9	25	9	14	6	22	31	15	9	6	20	10	9	18	18	6	14	19	0	0	1	2					
10	Число действительных избирательных бюллетеней	69444	1303	1544	1434	1196	1308	1272	1599	1587	1813	1480	1651	1682	1302	1664	1500	1596	1446	1421	1647	1474	1630	1557	1660	1209	901	929	1242	1388	1041	1386	1434	1593	1743	1783	1326	1363	1236	1738	1663	1594	1238	977	1389	1230	975	882	859	462	982	1640	126	96	94	159					
11	Число полученных открепительных  удостоверений	1381	40	35	20	30	20	20	35	20	30	30	30	35	40	30	20	31	40	20	30	20	40	30	40	25	20	20	30	30	20	30	30	20	30	40	45	20	25	20	45	30	20	20	35	20	20	20	20	20	20	20	0	0	0	0					
12	Число выданных открепительных удостоверений	1055	35	22	18	24	17	11	28	15	30	25	29	22	20	22	16	23	32	15	26	15	29	21	30	23	11	20	25	23	15	22	23	20	27	35	36	15	18	17	40	29	14	16	21	14	20	15	8	0	14	9	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	806	16	9	13	13	17	13	8	16	14	19	6	15	6	12	18	10	16	12	16	18	11	19	11	20	12	12	12	16	12	14	21	12	29	21	16	17	11	20	19	10	13	5	12	12	9	15	5	7	20	30	14	39	24	19					
14	Число неиспользованных открепительных удостоверений	326	5	13	2	6	3	9	7	5	0	5	1	13	20	8	4	8	8	5	4	5	11	9	10	2	9	0	5	7	5	8	7	0	3	5	9	5	7	3	5	1	6	4	14	6	0	5	12	20	6	11	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
