Выборы Президента Российской Федерации																																																															
Дата голосования: 18.03.2018																																																															
																																																															
"Наименование Избирательной комиссии:    Бийск, Восточная"																																																															
																																																															
Сводная таблица итогов голосования																																																															
																																																															
	Число участковых избирательных комиссий	52																																																													
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	52																																																													
																																																															
		Сумма	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331									
1	"Число избирателей, включенных в список избирателей"	80133	1899	1065	623	796	1487	2131	1369	1443	1135	1257	1269	2094	1922	1183	1448	1760	1490	1953	1556	1842	1898	734	1795	1444	1553	2200	781	1613	1407	2191	1293	1524	897	1466	1421	1915	1049	1662	1314	1440	1516	1844	1457	1417	1060	1270	2206	2283	2197	1846	1352	2366									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	75000	1800	900	600	700	1500	2000	1300	1400	1100	1200	1200	2000	1700	1100	1300	1700	1400	1800	1400	1600	1800	700	1700	1400	1500	2100	800	1500	1300	2100	1200	1300	800	1400	1400	1700	1000	1600	1200	1300	1400	1700	1400	1200	1000	1200	2100	2200	2100	1800	1200	2200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	43661	864	431	257	297	768	1238	836	871	646	758	694	1131	726	730	844	1068	886	1200	966	1145	773	509	1071	860	635	1163	413	887	847	1182	748	918	397	723	741	1115	532	793	638	756	792	968	746	654	526	730	1372	1435	1198	921	736	1526									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2257	70	105	5	5	33	43	23	30	35	31	27	27	209	43	29	39	32	43	49	52	10	4	52	45	15	49	27	34	45	35	58	40	38	43	32	14	28	49	35	37	27	37	25	147	27	24	35	35	188	29	25	38									
6	Число погашенных избирательных бюллетеней	29082	866	364	338	398	699	719	441	499	419	411	479	842	765	327	427	593	482	557	385	403	1017	187	577	495	850	888	360	579	408	883	394	342	365	634	627	571	440	758	527	507	581	695	629	399	447	446	693	730	714	850	439	636									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2257	70	105	5	5	33	43	23	30	35	31	27	27	209	43	29	39	32	43	49	52	10	4	52	45	15	49	27	34	45	35	58	40	38	43	32	14	28	49	35	37	27	37	25	147	27	24	35	35	188	29	25	38									
8	Число бюллетеней в стационарных ящиках для голосования	43659	864	431	257	297	768	1238	836	871	646	758	694	1131	726	730	844	1067	886	1200	966	1145	773	509	1071	860	635	1163	413	887	847	1182	748	918	397	723	741	1114	532	793	638	756	792	968	746	654	526	730	1372	1435	1198	921	736	1526									
9	Число недействительных избирательных бюллетеней	522	16	11	5	6	1	18	9	9	4	2	7	11	16	7	10	13	9	6	12	25	11	4	15	9	14	19	5	8	7	10	9	11	6	9	10	12	6	5	5	13	8	14	15	8	7	6	13	16	14	14	8	14									
10	Число действительных избирательных бюллетеней	45394	918	525	257	296	800	1263	850	892	677	787	714	1147	919	766	863	1093	909	1237	1003	1172	772	509	1108	896	636	1193	435	913	885	1207	797	947	429	757	763	1116	554	837	668	780	811	991	756	793	546	748	1394	1454	1372	936	753	1550									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																															
13	Бабурин Сергей Николаевич	258	1	2	1	3	7	9	4	5	2	2	5	4	5	5	7	7	6	3	6	7	3	2	15	4	1	6	3	6	5	6	5	5	3	5	3	3	2	5	9	2	7	6	5	9	5	5	2	8	9	5	6	7									
		0.56%	0.11%	0.37%	0.38%	0.99%	0.87%	0.70%	0.47%	0.55%	0.29%	0.25%	0.69%	0.35%	0.53%	0.65%	0.80%	0.63%	0.65%	0.24%	0.59%	0.58%	0.38%	0.39%	1.34%	0.44%	0.15%	0.50%	0.68%	0.65%	0.56%	0.49%	0.62%	0.52%	0.69%	0.65%	0.39%	0.27%	0.36%	0.59%	1.34%	0.25%	0.85%	0.60%	0.65%	1.12%	0.90%	0.66%	0.14%	0.54%	0.65%	0.53%	0.79%	0.45%									
14	Грудинин Павел Николаевич	11918	201	141	92	72	192	333	231	198	184	222	201	285	221	203	222	300	244	310	258	336	202	135	280	217	200	321	113	241	195	339	195	244	95	204	238	262	154	221	200	190	231	281	196	176	151	206	359	419	356	256	181	414									
		25.96%	21.52%	26.31%	35.11%	23.84%	23.97%	25.99%	26.89%	21.98%	27.02%	28.14%	27.88%	24.61%	23.64%	26.26%	25.43%	27.12%	26.58%	24.94%	25.42%	28.07%	25.80%	26.32%	24.93%	23.98%	30.77%	26.49%	25.68%	26.17%	21.86%	27.86%	24.19%	25.47%	21.84%	26.63%	30.79%	23.23%	27.50%	26.25%	29.72%	23.96%	28.21%	27.96%	25.42%	21.97%	27.31%	27.32%	25.52%	28.50%	25.69%	26.95%	23.78%	26.47%									
15	Жириновский Владимир Вольфович	3007	77	47	14	41	54	63	61	44	34	41	49	79	66	38	49	66	56	74	41	77	64	37	64	59	48	67	27	59	63	95	46	62	23	55	48	84	31	37	44	67	56	62	57	72	38	59	100	88	99	81	57	87									
		6.55%	8.24%	8.77%	5.34%	13.58%	6.74%	4.92%	7.10%	4.88%	4.99%	5.20%	6.80%	6.82%	7.06%	4.92%	5.61%	5.97%	6.10%	5.95%	4.04%	6.43%	8.17%	7.21%	5.70%	6.52%	7.38%	5.53%	6.14%	6.41%	7.06%	7.81%	5.71%	6.47%	5.29%	7.18%	6.21%	7.45%	5.54%	4.39%	6.54%	8.45%	6.84%	6.17%	7.39%	8.99%	6.87%	7.82%	7.11%	5.99%	7.14%	8.53%	7.49%	5.56%									
16	Путин Владимир Владимирович	28946	616	324	143	178	533	814	524	617	441	482	438	753	609	494	556	679	575	821	669	719	484	315	702	594	379	747	286	596	591	731	528	604	306	480	453	736	352	554	403	502	485	607	480	518	342	463	894	907	872	581	485	984									
		63.04%	65.95%	60.45%	54.58%	58.94%	66.54%	63.54%	61.00%	68.48%	64.76%	61.09%	60.75%	65.03%	65.13%	63.91%	63.69%	61.39%	62.64%	66.05%	65.91%	60.07%	61.81%	61.40%	62.51%	65.64%	58.31%	61.63%	65.00%	64.71%	66.26%	60.07%	65.51%	63.05%	70.34%	62.66%	58.60%	65.25%	62.86%	65.80%	59.88%	63.30%	59.22%	60.40%	62.26%	64.67%	61.84%	61.41%	63.54%	61.70%	62.91%	61.16%	63.73%	62.92%									
17	Собчак Ксения Анатольевна	396	6	2	2	1	8	12	9	13	3	13	8	12	6	6	10	20	11	7	7	10	9	5	14	6	1	13	1	4	7	11	6	8	1	3	11	18	3	4	5	5	10	9	5	5	2	2	13	8	8	5	9	19									
		0.86%	0.64%	0.37%	0.76%	0.33%	0.99%	0.94%	1.05%	1.44%	0.44%	1.65%	1.11%	1.04%	0.64%	0.78%	1.15%	1.81%	1.20%	0.56%	0.69%	0.84%	1.15%	0.97%	1.25%	0.66%	0.15%	1.07%	0.23%	0.43%	0.78%	0.90%	0.74%	0.84%	0.23%	0.39%	1.42%	1.60%	0.54%	0.48%	0.74%	0.63%	1.22%	0.90%	0.65%	0.62%	0.36%	0.27%	0.92%	0.54%	0.58%	0.53%	1.18%	1.21%									
18	Сурайкин Максим Александрович	338	10	5	1	1	2	11	7	5	8	6	4	7	2	4	5	6	4	7	8	15	1	3	12	8	3	14	3	2	6	15	7	9	1	4	5	5	5	4	3	6	8	12	7	7	6	7	13	11	12	4	5	12									
		0.74%	1.07%	0.93%	0.38%	0.33%	0.25%	0.86%	0.81%	0.55%	1.17%	0.76%	0.55%	0.60%	0.21%	0.52%	0.57%	0.54%	0.44%	0.56%	0.79%	1.25%	0.13%	0.58%	1.07%	0.88%	0.46%	1.16%	0.68%	0.22%	0.67%	1.23%	0.87%	0.94%	0.23%	0.52%	0.65%	0.44%	0.89%	0.48%	0.45%	0.76%	0.98%	1.19%	0.91%	0.87%	1.08%	0.93%	0.92%	0.75%	0.87%	0.42%	0.66%	0.77%									
19	Титов Борис Юрьевич	217	2	3	3	0	2	9	5	4	0	5	3	0	4	5	4	5	3	8	2	5	5	3	9	2	1	8	2	2	7	3	5	6	0	3	3	1	6	6	3	5	8	6	3	4	1	2	8	6	9	2	6	10									
		0.47%	0.21%	0.56%	1.15%	0.00%	0.25%	0.70%	0.58%	0.44%	0.00%	0.63%	0.42%	0.00%	0.43%	0.65%	0.46%	0.45%	0.33%	0.64%	0.20%	0.42%	0.64%	0.58%	0.80%	0.22%	0.15%	0.66%	0.45%	0.22%	0.78%	0.25%	0.62%	0.63%	0.00%	0.39%	0.39%	0.09%	1.07%	0.71%	0.45%	0.63%	0.98%	0.60%	0.39%	0.50%	0.18%	0.27%	0.57%	0.41%	0.65%	0.21%	0.79%	0.64%									
20	Явлинский Григорий Алексеевич	314	5	1	1	0	2	12	9	6	5	16	6	7	6	11	10	10	10	7	12	3	4	9	12	6	3	17	0	3	11	7	5	9	0	3	2	7	1	6	1	3	6	8	3	2	1	4	5	7	7	2	4	17									
		0.68%	0.54%	0.19%	0.38%	0.00%	0.25%	0.94%	1.05%	0.67%	0.73%	2.03%	0.83%	0.60%	0.64%	1.42%	1.15%	0.90%	1.09%	0.56%	1.18%	0.25%	0.51%	1.75%	1.07%	0.66%	0.46%	1.40%	0.00%	0.33%	1.23%	0.58%	0.62%	0.94%	0.00%	0.39%	0.26%	0.62%	0.18%	0.71%	0.15%	0.38%	0.73%	0.80%	0.39%	0.25%	0.18%	0.53%	0.36%	0.48%	0.51%	0.21%	0.53%	1.09%									
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
