Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Калманская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850					
1	"Число избирателей, внесенных в список"	11926	122	802	781	712	111	3047	621	454	151	135	2374	170	398	69	529	542	441	467					
2	Число полученных избирательных бюллетеней	10832	155	715	690	650	113	2755	550	390	150	138	2170	169	350	67	480	480	390	420					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7406	118	571	459	465	83	1926	365	301	102	102	1271	133	218	55	325	348	228	336					
5	"Число избирательных бюллетеней, выданных вне помещения"	409	4	11	12	19	13	67	26	24	0	16	56	2	16	1	54	32	40	16					
6	Число погашенных избирательных бюллетеней	3017	33	133	219	166	17	762	159	65	48	20	843	34	116	11	101	100	122	68					
7	Число избирательных бюллетеней в переносных ящиках	409	4	11	12	19	13	67	26	24	0	16	56	2	16	1	54	32	40	16					
8	Число бюллетеней в стационарных ящиках для голосования	7405	118	571	459	465	83	1926	365	301	102	102	1271	133	217	55	325	348	228	336					
9	Число недействительных избирательных бюллетеней	101	2	6	6	6	1	23	1	8	2	1	14	5	4	0	2	7	11	2					
10	Число действительных избирательных бюллетеней	7713	120	576	465	478	95	1970	390	317	100	117	1313	130	229	56	377	373	257	350					
11	Число полученных открепительных  удостоверений	190	6	16	14	10	6	20	6	10	6	6	30	6	6	6	6	10	16	10					
12	Число выданных открепительных удостоверений	44	1	2	3	6	0	16	1	3	3	0	6	0	0	0	0	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	72	1	2	2	4	2	9	5	5	5	1	7	3	3	1	0	10	7	5					
14	Число неиспользованных открепительных удостоверений	146	5	14	11	4	6	4	5	7	3	6	24	6	6	6	6	10	16	7					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	237	6	11	18	22	2	68	10	10	1	1	39	5	4	0	14	9	11	6					
		3.03%	4.92%	1.89%	3.82%	4.55%	2.08%	3.41%	2.56%	3.08%	0.98%	0.85%	2.94%	3.70%	1.72%	0.00%	3.69%	2.37%	4.10%	1.70%					
19	. Малышкин Олег Александрович	214	3	21	19	20	3	47	16	8	4	8	15	4	5	6	13	7	1	14					
		2.74%	2.46%	3.61%	4.03%	4.13%	3.12%	2.36%	4.09%	2.46%	3.92%	6.78%	1.13%	2.96%	2.15%	10.71%	3.43%	1.84%	0.37%	3.98%					
20	. Миронов Сергей Михайлович	67	2	2	2	4	1	9	5	0	1	1	34	0	1	0	2	2	0	1					
		0.86%	1.64%	0.34%	0.42%	0.83%	1.04%	0.45%	1.28%	0.00%	0.98%	0.85%	2.56%	0.00%	0.43%	0.00%	0.53%	0.53%	0.00%	0.28%					
21	. Путин Владимир Владимирович	5487	96	387	342	331	61	1335	248	222	68	93	1022	106	167	42	278	262	192	235					
		70.22%	78.69%	66.49%	72.61%	68.39%	63.54%	66.98%	63.43%	68.31%	66.67%	78.81%	77.02%	78.52%	71.67%	75.00%	73.35%	68.95%	71.64%	66.76%					
22	. Хакамада Ирина Муцуовна	157	1	18	10	13	3	49	6	3	1	1	24	0	5	4	3	4	7	5					
		2.01%	0.82%	3.09%	2.12%	2.69%	3.12%	2.46%	1.53%	0.92%	0.98%	0.85%	1.81%	0.00%	2.15%	7.14%	0.79%	1.05%	2.61%	1.42%					
23	. Харитонов Николай Михайлович	1450	11	132	61	83	21	437	101	70	24	12	158	14	46	2	65	87	43	83					
		18.56%	9.02%	22.68%	12.95%	17.15%	21.88%	21.93%	25.83%	21.54%	23.53%	10.17%	11.91%	10.37%	19.74%	3.57%	17.15%	22.89%	16.04%	23.58%					
																									
24	Против всех	101	1	5	13	5	4	25	4	4	1	1	21	1	1	2	2	2	3	6					
		1.29%	0.82%	0.86%	2.76%	1.03%	4.17%	1.25%	1.02%	1.23%	0.98%	0.85%	1.58%	0.74%	0.43%	3.57%	0.53%	0.53%	1.12%	1.70%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
