Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Ключевская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895					
1	"Число избирателей, внесенных в список"	15673	2614	2691	2190	1072	1355	1046	224	558	764	238	452	171	254	665	808	154	417					
2	Число полученных избирательных бюллетеней	14925	2500	2500	2000	1000	1300	1000	225	550	750	235	440	175	250	650	800	150	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10184	1582	1632	1236	731	902	659	180	429	540	164	323	127	224	461	552	121	321					
5	"Число избирательных бюллетеней, выданных вне помещения"	790	104	109	92	50	76	40	20	24	51	26	33	21	14	31	66	10	23					
6	Число погашенных избирательных бюллетеней	3951	814	759	672	219	322	301	25	97	159	45	84	27	12	158	182	19	56					
7	Число избирательных бюллетеней в переносных ящиках	790	104	109	92	50	76	40	20	24	51	26	33	21	14	31	66	10	23					
8	Число бюллетеней в стационарных ящиках для голосования	10163	1561	1632	1236	731	902	659	180	429	540	164	323	127	224	461	552	121	321					
9	Число недействительных избирательных бюллетеней	89	7	8	6	4	6	6	1	8	6	4	5	3	8	5	6	2	4					
10	Число действительных избирательных бюллетеней	10864	1658	1733	1322	777	972	693	199	445	585	186	351	145	230	487	612	129	340					
11	Число полученных открепительных  удостоверений	194	13	30	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	78	13	30	11	5	1	5	0	0	3	0	2	0	0	1	4	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	25	5	4	1	1	1	2	2	0	1	2	3	0	1	0	0	0	2					
14	Число неиспользованных открепительных удостоверений	116	0	0	0	5	9	5	10	10	7	10	8	10	10	9	6	10	7					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	219	46	26	31	7	16	7	4	6	19	3	7	6	3	10	13	6	9					
		2.00%	2.76%	1.49%	2.33%	0.90%	1.64%	1.00%	2.00%	1.32%	3.21%	1.58%	1.97%	4.05%	1.26%	2.03%	2.10%	4.58%	2.62%					
19	. Малышкин Олег Александрович	326	55	45	35	18	25	21	4	13	11	8	16	9	14	22	13	4	13					
		2.98%	3.30%	2.58%	2.64%	2.30%	2.56%	3.00%	2.00%	2.87%	1.86%	4.21%	4.49%	6.08%	5.88%	4.47%	2.10%	3.05%	3.78%					
20	. Миронов Сергей Михайлович	55	8	8	3	3	3	1	0	5	0	2	1	1	2	8	1	3	6					
		0.50%	0.48%	0.46%	0.23%	0.38%	0.31%	0.14%	0.00%	1.10%	0.00%	1.05%	0.28%	0.68%	0.84%	1.63%	0.16%	2.29%	1.74%					
21	. Путин Владимир Владимирович	8227	1263	1324	1047	594	752	544	102	341	433	140	267	109	166	355	434	103	253					
		75.11%	75.86%	76.05%	78.84%	76.06%	76.89%	77.83%	51.00%	75.28%	73.27%	73.68%	75.00%	73.65%	69.75%	72.15%	70.23%	78.63%	73.55%					
22	. Хакамада Ирина Муцуовна	104	20	21	13	6	3	4	3	3	6	1	0	2	2	6	9	0	5					
		0.95%	1.20%	1.21%	0.98%	0.77%	0.31%	0.57%	1.50%	0.66%	1.02%	0.53%	0.00%	1.35%	0.84%	1.22%	1.46%	0.00%	1.45%					
23	. Харитонов Николай Михайлович	1810	243	289	182	143	168	111	80	73	111	30	51	15	37	81	134	11	51					
		16.53%	14.59%	16.60%	13.70%	18.31%	17.18%	15.88%	40.00%	16.11%	18.78%	15.79%	14.33%	10.14%	15.55%	16.46%	21.68%	8.40%	14.83%					
																								
24	Против всех	123	23	20	11	6	5	5	6	4	5	2	9	3	6	5	8	2	3					
		1.12%	1.38%	1.15%	0.83%	0.77%	0.51%	0.72%	3.00%	0.88%	0.85%	1.05%	2.53%	2.03%	2.52%	1.02%	1.29%	1.53%	0.87%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
