Выборы Президента Российской Федерации											
											
Наименование Избирательной комиссии:    Сибирская											
											
Итоги голосования 											
											
		Сумма	УИК №1868	УИК №1869	УИК №1870	УИК №1871					
1	"Число избирателей, внесенных в список"	9489	2302	2343	2534	2310					
2	Число полученных избирательных бюллетеней	8000	2000	2000	2000	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5028	1140	1314	1294	1280					
5	"Число избирательных бюллетеней, выданных вне помещения"	755	215	177	183	180					
6	Число погашенных избирательных бюллетеней	2217	645	509	523	540					
7	Число избирательных бюллетеней в переносных ящиках	754	214	177	183	180					
8	Число бюллетеней в стационарных ящиках для голосования	5010	1135	1308	1291	1276					
9	Число недействительных избирательных бюллетеней	28	4	6	7	11					
10	Число действительных избирательных бюллетеней	5736	1345	1479	1467	1445					
11	Число полученных открепительных  удостоверений	190	40	40	70	40					
12	Число выданных открепительных удостоверений	140	34	25	56	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	113	38	12	30	33					
14	Число неиспользованных открепительных удостоверений	50	6	15	14	15					
15	"Число открепительных удостоверений, выданных в ТИК"	7	2	2	2	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"											
18	. Глазьев Сергей Юрьевич	127	27	38	33	29					
		2.20%	2.00%	2.56%	2.24%	1.99%					
19	. Малышкин Олег Александрович	148	31	46	35	36					
		2.57%	2.30%	3.10%	2.37%	2.47%					
20	. Миронов Сергей Михайлович	30	6	10	4	10					
		0.52%	0.44%	0.67%	0.27%	0.69%					
21	. Путин Владимир Владимирович	4920	1133	1247	1304	1236					
		85.36%	83.99%	83.97%	88.47%	84.89%					
22	. Хакамада Ирина Муцуовна	122	42	27	15	38					
		2.12%	3.11%	1.82%	1.02%	2.61%					
23	. Харитонов Николай Михайлович	234	65	68	35	66					
		4.06%	4.82%	4.58%	2.37%	4.53%					
											
24	Против всех	155	41	43	41	30					
		2.69%	3.04%	2.90%	2.78%	2.06%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
