Выборы Президента Российской Федерации																																						
Дата голосования: 18.03.2018																																						
																																						
Наименование Избирательной комиссии:    Топчихинская																																						
																																						
Сводная таблица итогов голосования																																						
																																						
	Число участковых избирательных комиссий	27																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	27																																				
																																						
		Сумма	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635									
1	"Число избирателей, включенных в список избирателей"	17612	2086	1336	2125	1259	599	607	407	818	238	431	294	547	1254	334	528	194	561	208	114	290	306	420	1052	395	81	150	978									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16490	1850	1150	1900	1300	550	550	400	750	200	400	300	550	1200	300	500	200	550	200	110	290	300	400	970	400	90	180	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10815	1318	775	1225	864	402	317	216	532	163	275	201	300	674	160	348	102	386	151	72	220	210	239	616	235	61	109	644									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1156	125	73	71	34	20	92	21	38	10	17	18	32	120	43	50	27	59	15	13	33	14	37	117	10	5	15	47									
6	Число погашенных избирательных бюллетеней	4519	407	302	604	402	128	141	163	180	27	108	81	218	406	97	102	71	105	34	25	37	76	124	237	155	24	56	209									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1156	125	73	71	34	20	92	21	38	10	17	18	32	120	43	50	27	59	15	13	33	14	37	117	10	5	15	47									
8	Число бюллетеней в стационарных ящиках для голосования	10815	1318	775	1225	864	402	317	216	532	163	275	201	300	674	160	348	102	386	151	72	220	210	239	616	235	61	109	644									
9	Число недействительных избирательных бюллетеней	137	28	6	10	10	1	2	2	3	0	8	4	7	13	4	3	1	3	0	0	2	4	0	12	1	0	3	10									
10	Число действительных избирательных бюллетеней	11834	1415	842	1286	888	421	407	235	567	173	284	215	325	781	199	395	128	442	166	85	251	220	276	721	244	66	121	681									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
13	Бабурин Сергей Николаевич	70	9	5	11	5	4	1	1	2	1	0	0	2	5	1	1	2	2	0	1	3	3	5	3	0	0	0	3									
		0.58%	0.62%	0.59%	0.85%	0.56%	0.95%	0.24%	0.42%	0.35%	0.58%	0.00%	0.00%	0.60%	0.63%	0.49%	0.25%	1.55%	0.45%	0.00%	1.18%	1.19%	1.34%	1.81%	0.41%	0.00%	0.00%	0.00%	0.43%									
14	Грудинин Павел Николаевич	2732	356	248	402	270	88	81	44	128	17	67	11	79	143	22	74	26	37	11	3	21	46	50	247	64	7	10	180									
		22.82%	24.67%	29.25%	31.02%	30.07%	20.85%	19.80%	18.57%	22.46%	9.83%	22.95%	5.02%	23.80%	18.01%	10.84%	18.59%	20.16%	8.31%	6.63%	3.53%	8.30%	20.54%	18.12%	33.70%	26.12%	10.61%	8.06%	26.05%									
15	Жириновский Владимир Вольфович	1065	131	96	136	72	35	28	18	38	18	33	9	35	69	17	30	6	31	12	7	23	17	42	74	16	6	6	60									
		8.90%	9.08%	11.32%	10.49%	8.02%	8.29%	6.85%	7.59%	6.67%	10.40%	11.30%	4.11%	10.54%	8.69%	8.37%	7.54%	4.65%	6.97%	7.23%	8.24%	9.09%	7.59%	15.22%	10.10%	6.53%	9.09%	4.84%	8.68%									
16	Путин Владимир Владимирович	7712	884	477	696	530	283	293	166	388	133	179	190	199	542	157	282	91	361	142	73	199	147	170	389	159	49	102	431									
		64.42%	61.26%	56.25%	53.70%	59.02%	67.06%	71.64%	70.04%	68.07%	76.88%	61.30%	86.76%	59.94%	68.26%	77.34%	70.85%	70.54%	81.12%	85.54%	85.88%	78.66%	65.63%	61.59%	53.07%	64.90%	74.24%	82.26%	62.37%									
17	Собчак Ксения Анатольевна	83	9	3	12	4	2	1	2	3	3	1	4	2	10	1	2	1	6	0	0	2	1	2	7	2	0	2	1									
		0.69%	0.62%	0.35%	0.93%	0.45%	0.47%	0.24%	0.84%	0.53%	1.73%	0.34%	1.83%	0.60%	1.26%	0.49%	0.50%	0.78%	1.35%	0.00%	0.00%	0.79%	0.45%	0.72%	0.95%	0.82%	0.00%	1.61%	0.14%									
18	Сурайкин Максим Александрович	83	12	6	16	3	4	3	1	2	1	3	0	4	1	0	4	0	2	0	1	2	4	6	0	1	4	0	3									
		0.69%	0.83%	0.71%	1.23%	0.33%	0.95%	0.73%	0.42%	0.35%	0.58%	1.03%	0.00%	1.20%	0.13%	0.00%	1.01%	0.00%	0.45%	0.00%	1.18%	0.79%	1.79%	2.17%	0.00%	0.41%	6.06%	0.00%	0.43%									
19	Титов Борис Юрьевич	43	8	4	7	3	3	0	3	5	0	1	0	1	0	1	0	1	0	1	0	0	1	0	1	1	0	0	2									
		0.36%	0.55%	0.47%	0.54%	0.33%	0.71%	0.00%	1.27%	0.88%	0.00%	0.34%	0.00%	0.30%	0.00%	0.49%	0.00%	0.78%	0.00%	0.60%	0.00%	0.00%	0.45%	0.00%	0.14%	0.41%	0.00%	0.00%	0.29%									
20	Явлинский Григорий Алексеевич	46	6	3	6	1	2	0	0	1	0	0	1	3	11	0	2	1	3	0	0	1	1	1	0	1	0	1	1									
		0.38%	0.42%	0.35%	0.46%	0.11%	0.47%	0.00%	0.00%	0.18%	0.00%	0.00%	0.46%	0.90%	1.39%	0.00%	0.50%	0.78%	0.67%	0.00%	0.00%	0.40%	0.45%	0.36%	0.00%	0.41%	0.00%	0.81%	0.14%									
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
