Выборы Президента Российской Федерации																																											
Дата голосования: 18.03.2018																																											
																																											
Наименование Избирательной комиссии:    Белогорского района																																											
																																											
Сводная таблица итогов голосования																																											
																																											
	Число участковых избирательных комиссий	32																																									
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	32																																									
																																											
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232									
1	"Число избирателей, включенных в список избирателей"	13962	248	1706	178	90	406	74	836	1387	417	1308	392	96	55	139	429	256	522	55	649	1053	117	346	139	62	349	91	103	616	329	177	192	1145									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13193	245	1570	177	82	404	73	720	1285	418	1272	391	93	51	132	428	258	480	56	610	930	115	342	140	66	347	91	100	570	328	174	195	1050									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8089	149	915	89	48	187	40	463	862	239	708	309	70	36	107	281	165	223	37	350	596	53	274	116	51	189	50	61	332	193	93	107	696									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	521	7	33	13	5	22	0	31	37	12	18	29	2	0	0	30	11	52	0	55	37	4	11	0	0	16	0	2	23	13	4	7	47									
6	Число погашенных избирательных бюллетеней	4583	89	622	75	29	195	33	226	386	167	546	53	21	15	25	117	82	205	19	205	297	58	57	24	15	142	41	37	215	122	77	81	307									
7	Число избирательных бюллетеней в переносных ящиках для голосования	521	7	33	13	5	22	0	31	37	12	18	29	2	0	0	30	11	52	0	55	37	4	11	0	0	16	0	2	23	13	4	7	47									
8	Число бюллетеней в стационарных ящиках для голосования	8089	149	915	89	48	187	40	463	862	239	708	309	70	36	107	281	165	223	37	350	596	53	274	116	51	189	50	61	332	193	93	107	696									
9	Число недействительных избирательных бюллетеней	134	1	19	1	0	2	0	14	18	5	14	2	0	0	0	1	2	11	0	4	15	0	5	1	0	4	0	1	2	0	1	2	9									
10	Число действительных избирательных бюллетеней	8476	155	929	101	53	207	40	480	881	246	712	336	72	36	107	310	174	264	37	401	618	57	280	115	51	201	50	62	353	206	96	112	734									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
13	Бабурин Сергей Николаевич	59	2	8	0	0	1	0	2	7	1	8	3	1	0	2	2	1	1	0	4	6	0	0	0	0	0	0	0	3	0	0	0	7									
		0.69%	1.28%	0.84%	0.00%	0.00%	0.48%	0.00%	0.40%	0.78%	0.40%	1.10%	0.89%	1.39%	0.00%	1.87%	0.64%	0.57%	0.36%	0.00%	0.99%	0.95%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.94%									
14	Грудинин Павел Николаевич	1325	32	227	20	4	17	14	87	165	37	98	21	7	1	11	44	12	33	0	30	101	5	35	13	7	7	12	4	88	36	7	4	146									
		15.39%	20.51%	23.95%	19.61%	7.55%	8.13%	35.00%	17.61%	18.35%	14.74%	13.50%	6.21%	9.72%	2.78%	10.28%	14.15%	6.82%	12.00%	0.00%	7.41%	15.96%	8.77%	12.28%	11.21%	13.73%	3.41%	24.00%	6.35%	24.79%	17.48%	7.22%	3.51%	19.65%									
15	Жириновский Владимир Вольфович	847	20	82	15	11	26	5	54	88	20	97	22	8	4	9	31	14	22	2	58	69	3	18	8	10	16	4	5	33	19	8	7	59									
		9.84%	12.82%	8.65%	14.71%	20.75%	12.44%	12.50%	10.93%	9.79%	7.97%	13.36%	6.51%	11.11%	11.11%	8.41%	9.97%	7.95%	8.00%	5.41%	14.32%	10.90%	5.26%	6.32%	6.90%	19.61%	7.80%	8.00%	7.94%	9.30%	9.22%	8.25%	6.14%	7.94%									
16	Путин Владимир Владимирович	6088	100	599	65	37	160	21	331	600	181	493	282	55	31	84	228	145	202	35	304	422	49	221	94	31	176	32	51	224	148	81	100	506									
		70.71%	64.10%	63.19%	63.73%	69.81%	76.56%	52.50%	67.00%	66.74%	72.11%	67.91%	83.43%	76.39%	86.11%	78.50%	73.31%	82.39%	73.45%	94.59%	75.06%	66.67%	85.96%	77.54%	81.03%	60.78%	85.85%	64.00%	80.95%	63.10%	71.84%	83.51%	87.72%	68.10%									
17	Собчак Ксения Анатольевна	44	1	6	1	0	0	0	3	6	1	4	1	0	0	0	1	0	2	0	0	4	0	2	0	1	0	0	1	5	1	0	0	4									
		0.51%	0.64%	0.63%	0.98%	0.00%	0.00%	0.00%	0.61%	0.67%	0.40%	0.55%	0.30%	0.00%	0.00%	0.00%	0.32%	0.00%	0.73%	0.00%	0.00%	0.63%	0.00%	0.70%	0.00%	1.96%	0.00%	0.00%	1.59%	1.41%	0.49%	0.00%	0.00%	0.54%									
18	Сурайкин Максим Александрович	54	0	4	0	0	0	0	0	7	2	5	6	0	0	1	1	0	2	0	2	7	0	2	0	2	2	1	1	0	2	0	0	7									
		0.63%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.80%	0.69%	1.78%	0.00%	0.00%	0.93%	0.32%	0.00%	0.73%	0.00%	0.49%	1.11%	0.00%	0.70%	0.00%	3.92%	0.98%	2.00%	1.59%	0.00%	0.97%	0.00%	0.00%	0.94%									
19	Титов Борис Юрьевич	32	0	2	0	1	1	0	2	4	2	4	0	1	0	0	2	0	2	0	2	4	0	1	0	0	0	1	0	0	0	0	1	2									
		0.37%	0.00%	0.21%	0.00%	1.89%	0.48%	0.00%	0.40%	0.44%	0.80%	0.55%	0.00%	1.39%	0.00%	0.00%	0.64%	0.00%	0.73%	0.00%	0.49%	0.63%	0.00%	0.35%	0.00%	0.00%	0.00%	2.00%	0.00%	0.00%	0.00%	0.00%	0.88%	0.27%									
20	Явлинский Григорий Алексеевич	27	0	1	0	0	2	0	1	4	2	3	1	0	0	0	1	2	0	0	1	5	0	1	0	0	0	0	0	0	0	0	0	3									
		0.31%	0.00%	0.11%	0.00%	0.00%	0.96%	0.00%	0.20%	0.44%	0.80%	0.41%	0.30%	0.00%	0.00%	0.00%	0.32%	1.14%	0.00%	0.00%	0.25%	0.79%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%									
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
