Выборы Президента Российской Федерации																																																			
Дата голосования: 02.03.2008																																																			
																																																			
"Наименование Избирательной комиссии:    Архангельск, Соломбальская"																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
	Число участковых избирательных комиссий	44																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	44																																																	
																																																			
		Сумма	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №1044	УИК №1061	УИК №1062	УИК №1063					
1	"Число избирателей, включенных в списки избирателей"	70348	2602	752	2428	1496	1747	2577	1377	1186	1123	1779	1513	369	294	1882	2340	2607	2189	2747	2731	2674	2758	84	2343	2161	1498	2679	2395	1726	1680	1638	1204	2213	1179	2031	1646	1329	2121	1583	1387	194	19	20	20	27					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	59012	2100	600	2000	1300	1500	2100	1200	1000	1000	1500	1300	300	250	1600	2000	2100	1900	2300	2300	2300	2300	82	2000	1800	1200	2200	2000	1400	1400	1400	1000	1800	1000	1700	1400	1100	1800	1300	1200	194	19	20	20	27					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	38431	1546	378	1317	666	687	1391	813	578	496	782	712	141	135	978	1311	1586	1338	1480	1490	1468	1489	76	1286	1366	769	1641	1455	929	970	924	606	1357	656	1099	943	734	1207	707	670	171	16	20	20	27					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1005	23	9	22	17	107	32	17	23	16	101	34	3	10	9	20	21	35	35	34	20	17	0	9	15	12	14	37	24	37	24	16	18	10	35	26	11	19	22	48	23	0	0	0	0					
6	Число погашенных избирательных бюллетеней	19576	531	213	661	617	706	677	370	399	488	617	554	156	105	613	669	493	527	785	776	812	794	6	705	419	419	545	508	447	393	452	378	425	334	566	431	355	574	571	482	0	3	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1005	23	9	22	17	107	32	17	23	16	101	34	3	10	9	20	21	35	35	34	20	17	0	9	15	12	14	37	24	37	24	16	18	10	35	26	11	19	22	48	23	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	38418	1545	377	1317	666	686	1391	813	578	496	782	712	141	135	978	1311	1582	1337	1480	1490	1467	1489	76	1285	1366	769	1641	1455	929	969	924	606	1357	656	1098	942	734	1207	707	670	171	16	20	20	27					
9	Число недействительных избирательных бюллетеней	501	13	2	14	6	9	13	11	4	3	9	7	2	2	11	22	20	16	24	16	13	16	0	32	21	4	24	31	19	19	14	6	21	6	9	13	5	23	8	4	2	2	0	0	5					
10	Число действительных избирательных бюллетеней	38922	1555	384	1325	677	784	1410	819	597	509	874	739	142	143	976	1309	1583	1356	1491	1508	1474	1490	76	1262	1360	777	1631	1461	934	987	934	616	1354	660	1124	955	740	1203	721	714	192	14	20	20	22					
11	Число полученных открепительных  удостоверений	947	35	15	29	21	20	35	15	25	15	30	15	10	18	25	35	35	25	40	35	35	35	0	25	25	15	35	35	24	32	20	15	38	15	25	20	15	25	15	20	0	0	0	0	0					
