Выборы Президента Российской Федерации																																																						
Дата голосования: 18.03.2018																																																						
																																																						
Наименование Избирательной комиссии:    Пинежская																																																						
																																																						
Сводная таблица итогов голосования																																																						
																																																						
	Число участковых избирательных комиссий	43																																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	43																																																				
																																																						
		Сумма	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703									
1	"Число избирателей, включенных в список избирателей"	21723	443	722	287	184	171	466	338	843	803	197	90	380	157	691	220	442	136	431	669	1354	2105	376	1057	372	452	1098	453	1419	351	113	291	175	127	89	360	298	217	265	1754	1024	116	134	53									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22000	440	750	300	200	180	490	340	860	840	200	95	370	170	720	240	480	130	430	660	1300	2100	410	1100	400	480	1100	470	1400	350	120	310	190	115	100	380	300	210	270	1720	970	100	140	70									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	47	0	0	0	0	0	0	23	0	0	0	11	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10767	213	380	147	96	83	210	187	454	378	95	60	209	55	333	126	207	63	201	401	804	1199	193	531	134	214	555	197	657	143	42	160	44	74	48	101	108	79	122	891	452	29	58	34									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	877	23	24	3	7	12	13	11	47	29	10	1	21	10	22	10	20	3	21	15	23	58	9	14	38	15	37	16	30	51	2	25	2	5	1	12	31	50	13	52	35	36	13	7									
6	Число погашенных избирательных бюллетеней	10253	204	346	150	97	85	267	142	359	433	95	34	140	105	365	104	253	64	208	244	451	843	208	555	228	251	508	257	666	156	76	125	144	36	51	244	161	81	135	766	483	35	69	29									
7	Число избирательных бюллетеней в переносных ящиках для голосования	980	23	24	3	7	12	13	11	47	29	10	1	21	10	22	10	20	3	21	15	45	58	9	14	38	15	37	16	77	51	2	25	2	5	1	35	31	50	13	63	35	36	13	7									
8	Число бюллетеней в стационарных ящиках для голосования	10764	213	380	147	96	83	210	187	454	378	95	60	209	55	333	126	207	63	201	401	804	1196	193	531	134	214	555	197	657	143	42	160	44	74	48	101	108	79	122	891	452	29	58	34									
9	Число недействительных избирательных бюллетеней	71	0	1	2	0	0	0	1	2	3	0	0	0	1	2	0	1	0	1	3	3	9	2	5	0	1	11	0	4	1	0	0	0	1	0	0	0	1	2	9	5	0	0	0									
10	Число действительных избирательных бюллетеней	11673	236	403	148	103	95	223	197	499	404	105	61	230	64	353	136	226	66	221	413	846	1245	200	540	172	228	581	213	730	193	44	185	46	78	49	136	139	128	133	945	482	65	71	41									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																						
13	Бабурин Сергей Николаевич	111	1	2	2	1	2	1	2	6	8	0	1	3	5	3	0	2	1	2	1	7	11	0	6	0	3	4	0	4	2	2	2	0	2	3	0	1	0	2	9	8	2	0	0									
		0.95%	0.42%	0.50%	1.33%	0.97%	2.11%	0.45%	1.01%	1.20%	1.97%	0.00%	1.64%	1.30%	7.69%	0.85%	0.00%	0.88%	1.52%	0.90%	0.24%	0.82%	0.88%	0.00%	1.10%	0.00%	1.31%	0.68%	0.00%	0.54%	1.03%	4.55%	1.08%	0.00%	2.53%	6.12%	0.00%	0.72%	0.00%	1.48%	0.94%	1.64%	3.08%	0.00%	0.00%									
14	Грудинин Павел Николаевич	648	13	26	11	9	7	15	6	27	10	3	3	8	3	22	7	16	5	7	31	52	77	19	41	4	8	41	9	34	3	3	4	2	5	2	7	7	3	11	54	24	5	4	0									
		5.52%	5.51%	6.44%	7.33%	8.74%	7.37%	6.73%	3.03%	5.39%	2.46%	2.86%	4.92%	3.48%	4.62%	6.20%	5.15%	7.05%	7.58%	3.15%	7.45%	6.12%	6.14%	9.41%	7.52%	2.33%	3.49%	6.93%	4.23%	4.63%	1.55%	6.82%	2.16%	4.35%	6.33%	4.08%	5.15%	5.04%	2.33%	8.15%	5.66%	4.93%	7.69%	5.63%	0.00%									
15	Жириновский Владимир Вольфович	1164	22	44	24	18	17	23	28	61	47	8	3	20	10	27	10	27	14	21	41	71	110	37	50	27	19	53	20	68	22	6	16	5	10	6	14	11	5	11	77	45	8	7	1									
		9.91%	9.32%	10.89%	16.00%	17.48%	17.89%	10.31%	14.14%	12.18%	11.55%	7.62%	4.92%	8.70%	15.38%	7.61%	7.35%	11.89%	21.21%	9.46%	9.86%	8.36%	8.77%	18.32%	9.17%	15.70%	8.30%	8.95%	9.39%	9.26%	11.34%	13.64%	8.65%	10.87%	12.66%	12.24%	10.29%	7.91%	3.88%	8.15%	8.07%	9.24%	12.31%	9.86%	2.44%									
16	Путин Владимир Владимирович	9417	197	319	108	73	69	180	157	386	328	90	54	195	46	296	119	175	44	183	332	685	1010	138	423	132	196	465	176	605	160	33	156	37	60	36	112	120	114	104	771	384	50	59	40									
		80.19%	83.47%	78.96%	72.00%	70.87%	72.63%	80.72%	79.29%	77.05%	80.59%	85.71%	88.52%	84.78%	70.77%	83.38%	87.50%	77.09%	66.67%	82.43%	79.81%	80.68%	80.54%	68.32%	77.61%	76.74%	85.59%	78.55%	82.63%	82.43%	82.47%	75.00%	84.32%	80.43%	75.95%	73.47%	82.35%	86.33%	88.37%	77.04%	80.82%	78.85%	76.92%	83.10%	97.56%									
17	Собчак Ксения Анатольевна	107	2	2	1	1	0	0	3	8	4	3	0	2	0	4	0	2	1	1	3	15	8	1	7	2	1	5	1	8	3	0	2	0	1	0	1	0	1	1	7	6	0	0	0									
		0.91%	0.85%	0.50%	0.67%	0.97%	0.00%	0.00%	1.52%	1.60%	0.98%	2.86%	0.00%	0.87%	0.00%	1.13%	0.00%	0.88%	1.52%	0.45%	0.72%	1.77%	0.64%	0.50%	1.28%	1.16%	0.44%	0.84%	0.47%	1.09%	1.55%	0.00%	1.08%	0.00%	1.27%	0.00%	0.74%	0.00%	0.78%	0.74%	0.73%	1.23%	0.00%	0.00%	0.00%									
18	Сурайкин Максим Александрович	88	1	3	0	0	0	3	1	7	1	1	0	0	0	0	0	4	0	1	3	7	5	2	7	2	0	4	3	8	3	0	2	0	0	2	1	0	3	1	8	4	0	1	0									
