Выборы Президента Российской Федерации																																																												
Дата голосования: 18.03.2018																																																												
																																																												
"Наименование Избирательной комиссии:    Астрахань, Кировская"																																																												
																																																												
Сводная таблица итогов голосования																																																												
																																																												
	Число участковых избирательных комиссий	49																																																										
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	49																																																										
																																																												
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149									
1	"Число избирателей, включенных в список избирателей"	83108	1952	2627	1489	1703	1583	2126	1170	909	1428	1328	1313	1407	1246	990	1412	574	957	2172	1379	2396	1736	2359	1476	1700	1842	1439	1389	1970	1838	2141	2004	1879	1684	1596	1922	2230	2372	2123	2210	2526	2654	2154	2051	2375	1155	2983	371	506	262									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74668	1800	2100	1400	1550	1450	1850	1000	750	1150	1150	1200	1250	1150	850	1250	475	800	1900	1200	1950	1600	2200	1350	1350	1750	1350	1250	1850	1650	1950	1900	1750	1550	1450	1800	2100	2000	1950	2050	2400	2450	2000	1850	2050	1050	2650	370	508	265									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	46913	1139	1628	764	843	1153	1208	652	495	798	915	581	743	597	687	494	294	754	936	751	1459	768	1456	503	1132	1017	741	476	1106	1113	1284	1479	1057	1077	1008	976	1366	1379	1302	1314	1404	1448	1436	1217	1063	680	1161	353	487	219									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1526	20	31	13	36	34	46	20	24	29	36	7	23	5	11	19	10	16	25	11	26	19	40	12	14	35	14	0	16	34	28	18	74	15	13	15	11	155	26	26	25	41	12	37	203	22	126	5	7	41									
6	Число погашенных избирательных бюллетеней	26229	641	441	623	671	263	596	328	231	323	199	612	484	548	152	737	171	30	939	438	465	813	704	835	204	698	595	774	728	503	638	403	619	458	429	809	723	466	622	710	971	961	552	596	784	348	1363	12	14	5									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1526	20	31	13	36	34	46	20	24	29	36	7	23	5	11	19	10	16	25	11	26	19	40	12	14	35	14	0	16	34	28	18	74	15	13	15	11	155	26	26	25	41	12	37	203	22	126	5	7	41									
8	Число бюллетеней в стационарных ящиках для голосования	46900	1139	1628	764	843	1153	1208	652	495	798	915	581	743	597	687	494	294	754	936	749	1459	768	1456	503	1132	1017	741	476	1106	1113	1284	1479	1057	1075	1008	976	1366	1379	1299	1314	1404	1445	1436	1217	1063	679	1159	353	487	219									
9	Число недействительных избирательных бюллетеней	436	10	19	8	0	0	13	4	9	8	6	6	9	6	0	9	7	2	15	2	0	11	26	0	14	0	18	9	13	8	4	19	7	18	13	11	3	0	11	8	17	6	0	6	21	9	20	28	3	0									
10	Число действительных избирательных бюллетеней	47990	1149	1640	769	879	1187	1241	668	510	819	945	582	757	596	698	504	297	768	946	758	1485	776	1470	515	1132	1052	737	467	1109	1139	1308	1478	1124	1072	1008	980	1374	1534	1314	1332	1412	1480	1448	1248	1245	692	1265	330	491	260									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
13	Бабурин Сергей Николаевич	271	5	22	4	3	3	16	9	9	1	9	8	4	4	0	1	5	1	3	9	5	2	11	4	7	10	5	0	5	9	7	5	9	2	3	2	4	2	12	7	7	7	4	1	7	6	7	3	2	0									
		0.56%	0.43%	1.33%	0.51%	0.34%	0.25%	1.28%	1.34%	1.73%	0.12%	0.95%	1.36%	0.52%	0.66%	0.00%	0.19%	1.64%	0.13%	0.31%	1.18%	0.34%	0.25%	0.74%	0.78%	0.61%	0.95%	0.66%	0.00%	0.45%	0.78%	0.53%	0.33%	0.80%	0.18%	0.29%	0.20%	0.29%	0.13%	0.91%	0.52%	0.49%	0.47%	0.28%	0.08%	0.55%	0.86%	0.54%	0.84%	0.40%	0.00%									
14	Грудинин Павел Николаевич	5066	207	237	117	27	19	208	102	100	7	69	82	122	20	39	81	51	41	16	104	179	117	215	10	81	35	141	85	52	224	105	63	48	185	68	152	221	45	212	90	275	70	30	82	198	88	231	36	38	41									
