Выборы Президента Российской Федерации																																																															
Дата голосования: 18.03.2018																																																															
																																																															
Наименование Избирательной комиссии:    Ахтубинская																																																															
																																																															
Сводная таблица итогов голосования																																																															
																																																															
	Число участковых избирательных комиссий	52																																																													
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	52																																																													
																																																															
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552									
1	"Число избирателей, включенных в список избирателей"	52058	94	158	810	741	789	738	735	389	437	806	737	423	707	1391	589	547	1009	435	164	791	862	847	741	670	1066	1092	1140	924	250	1657	1775	1370	1516	1543	1284	1791	1801	1409	1512	1588	1636	1161	1557	1436	1391	850	879	1421	1471	787	1311	830									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52270	90	150	830	765	805	770	715	390	450	825	745	425	730	1440	610	570	1040	455	170	785	895	880	750	680	1100	1110	1180	940	265	1650	1715	1370	1530	1565	1295	1780	1760	1400	1510	1600	1625	950	1390	1475	1410	875	885	1445	1510	800	1340	830									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28271	28	70	255	223	349	287	256	176	205	414	353	184	482	537	252	226	450	218	27	348	452	413	319	356	542	522	575	432	130	945	903	728	852	1025	970	1189	1395	999	966	1143	1124	836	1095	668	577	509	516	585	664	407	690	404									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1877	17	19	68	28	31	37	61	44	40	57	83	19	39	83	62	49	53	29	60	23	36	20	28	12	46	37	28	19	8	35	137	38	25	33	15	23	18	35	37	40	14	15	22	30	30	20	36	42	24	8	34	30									
6	Число погашенных избирательных бюллетеней	22122	45	61	507	514	425	446	398	170	205	354	309	222	209	820	296	295	537	208	83	414	407	447	403	312	512	551	577	489	127	670	675	604	653	507	310	568	347	366	507	417	487	99	273	777	803	346	333	818	822	385	616	396									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1877	17	19	68	28	31	37	61	44	40	57	83	19	39	83	62	49	53	29	60	23	36	20	28	12	46	37	28	19	8	35	137	38	25	33	15	23	18	35	37	40	14	15	22	30	30	20	36	42	24	8	34	30									
8	Число бюллетеней в стационарных ящиках для голосования	28270	28	70	255	223	349	287	256	176	205	414	353	184	482	537	252	226	450	218	27	348	452	413	319	356	542	522	575	432	130	945	903	728	852	1025	970	1189	1395	999	966	1143	1124	836	1095	668	577	509	515	585	664	407	690	404									
9	Число недействительных избирательных бюллетеней	351	0	0	5	4	5	1	3	1	4	2	9	3	6	3	6	1	5	7	2	4	4	5	4	3	6	1	11	4	2	12	21	9	9	13	3	13	15	15	11	15	12	10	9	8	8	10	3	6	11	3	17	7									
10	Число действительных избирательных бюллетеней	29796	45	89	318	247	375	323	314	219	241	469	427	200	515	617	308	274	498	240	85	367	484	428	343	365	582	558	592	447	136	968	1019	757	868	1045	982	1199	1398	1019	992	1168	1126	841	1108	690	599	519	548	621	677	412	707	427									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																															
13	Бабурин Сергей Николаевич	202	0	0	1	1	1	1	4	2	0	2	4	1	4	12	2	2	1	2	1	1	3	3	0	4	3	3	5	6	1	8	4	9	4	6	6	9	10	6	9	9	7	3	8	2	3	4	8	2	4	4	6	1									
		0.67%	0.00%	0.00%	0.31%	0.40%	0.26%	0.31%	1.26%	0.91%	0.00%	0.42%	0.92%	0.49%	0.77%	1.94%	0.64%	0.73%	0.20%	0.81%	1.15%	0.27%	0.61%	0.69%	0.00%	1.09%	0.51%	0.54%	0.83%	1.33%	0.72%	0.82%	0.38%	1.17%	0.46%	0.57%	0.61%	0.74%	0.71%	0.58%	0.90%	0.76%	0.62%	0.35%	0.72%	0.29%	0.49%	0.76%	1.45%	0.32%	0.58%	0.96%	0.83%	0.23%									
14	Грудинин Павел Николаевич	6330	5	16	71	57	69	77	52	41	64	109	79	46	96	146	52	32	96	45	15	96	126	116	80	110	147	142	162	112	31	191	228	193	213	197	170	229	253	166	168	233	225	166	238	170	151	122	122	127	143	85	148	102									
		20.99%	11.11%	17.98%	21.98%	22.71%	18.16%	23.77%	16.40%	18.64%	26.12%	23.14%	18.12%	22.66%	18.43%	23.55%	16.56%	11.64%	19.09%	18.22%	17.24%	25.88%	25.82%	26.79%	23.05%	29.89%	25.00%	25.40%	26.87%	24.83%	22.46%	19.49%	21.92%	25.20%	24.29%	18.62%	17.26%	18.89%	17.91%	16.05%	16.75%	19.70%	19.77%	19.51%	21.31%	24.36%	24.88%	23.06%	22.14%	20.26%	20.78%	20.48%	20.44%	23.50%									
15	Жириновский Владимир Вольфович	2360	1	9	43	26	53	35	18	10	10	22	28	19	37	66	26	14	38	9	3	25	29	26	29	24	57	27	30	16	10	87	70	48	58	82	60	78	108	75	91	72	74	86	88	79	55	41	43	71	95	35	83	41									
		7.83%	2.22%	10.11%	13.31%	10.36%	13.95%	10.80%	5.68%	4.55%	4.08%	4.67%	6.42%	9.36%	7.10%	10.65%	8.28%	5.09%	7.55%	3.64%	3.45%	6.74%	5.94%	6.00%	8.36%	6.52%	9.69%	4.83%	4.98%	3.55%	7.25%	8.88%	6.73%	6.27%	6.61%	7.75%	6.09%	6.44%	7.64%	7.25%	9.07%	6.09%	6.50%	10.11%	7.88%	11.32%	9.06%	7.75%	7.80%	11.32%	13.81%	8.43%	11.46%	9.45%									
16	Путин Владимир Владимирович	20041	38	61	193	155	246	198	231	160	165	326	304	127	365	378	218	223	353	182	60	233	309	275	230	216	358	370	377	288	89	654	687	480	561	735	715	847	979	751	682	816	787	567	745	418	370	333	358	402	413	283	456	274									
		66.48%	84.44%	68.54%	59.75%	61.75%	64.74%	61.11%	72.87%	72.73%	67.35%	69.21%	69.72%	62.56%	70.06%	60.97%	69.43%	81.09%	70.18%	73.68%	68.97%	62.80%	63.32%	63.51%	66.28%	58.70%	60.88%	66.19%	62.52%	63.86%	64.49%	66.73%	66.06%	62.66%	63.97%	69.47%	72.59%	69.88%	69.29%	72.63%	67.99%	68.98%	69.16%	66.63%	66.70%	59.89%	60.96%	62.95%	64.97%	64.11%	60.03%	68.19%	62.98%	63.13%									
17	Собчак Ксения Анатольевна	279	0	0	3	1	4	3	3	2	1	3	3	2	6	5	3	1	2	0	0	6	8	2	3	5	6	10	5	5	1	10	9	9	8	9	10	9	24	3	14	17	9	8	9	4	3	2	8	5	9	1	4	2									
		0.93%	0.00%	0.00%	0.93%	0.40%	1.05%	0.93%	0.95%	0.91%	0.41%	0.64%	0.69%	0.99%	1.15%	0.81%	0.96%	0.36%	0.40%	0.00%	0.00%	1.62%	1.64%	0.46%	0.86%	1.36%	1.02%	1.79%	0.83%	1.11%	0.72%	1.02%	0.87%	1.17%	0.91%	0.85%	1.02%	0.74%	1.70%	0.29%	1.40%	1.44%	0.79%	0.94%	0.81%	0.57%	0.49%	0.38%	1.45%	0.80%	1.31%	0.24%	0.55%	0.46%									
18	Сурайкин Максим Александрович	329	1	1	4	5	1	4	2	3	1	5	7	2	6	8	5	2	6	0	3	5	3	6	0	3	7	3	9	15	2	7	15	7	13	7	10	11	7	11	19	11	9	3	13	14	9	11	5	4	9	2	7	6									
		1.09%	2.22%	1.12%	1.24%	1.99%	0.26%	1.23%	0.63%	1.36%	0.41%	1.06%	1.61%	0.99%	1.15%	1.29%	1.59%	0.73%	1.19%	0.00%	3.45%	1.35%	0.61%	1.39%	0.00%	0.82%	1.19%	0.54%	1.49%	3.33%	1.45%	0.71%	1.44%	0.91%	1.48%	0.66%	1.02%	0.91%	0.50%	1.06%	1.89%	0.93%	0.79%	0.35%	1.16%	2.01%	1.48%	2.08%	0.91%	0.64%	1.31%	0.48%	0.97%	1.38%									
19	Титов Борис Юрьевич	147	0	2	1	1	0	2	1	0	0	2	1	2	1	1	2	0	2	0	2	0	3	0	1	3	1	2	2	5	1	7	4	6	8	3	2	6	10	5	5	7	12	4	5	1	2	5	3	7	3	1	2	1									
		0.49%	0.00%	2.25%	0.31%	0.40%	0.00%	0.62%	0.32%	0.00%	0.00%	0.42%	0.23%	0.99%	0.19%	0.16%	0.64%	0.00%	0.40%	0.00%	2.30%	0.00%	0.61%	0.00%	0.29%	0.82%	0.17%	0.36%	0.33%	1.11%	0.72%	0.71%	0.38%	0.78%	0.91%	0.28%	0.20%	0.50%	0.71%	0.48%	0.50%	0.59%	1.05%	0.47%	0.45%	0.14%	0.33%	0.95%	0.54%	1.12%	0.44%	0.24%	0.28%	0.23%									
20	Явлинский Григорий Алексеевич	108	0	0	2	1	1	3	3	1	0	0	1	1	0	1	0	0	0	2	1	1	3	0	0	0	3	1	2	0	1	4	2	5	3	6	9	10	7	2	4	3	3	4	2	2	6	1	1	3	1	1	1	0									
		0.36%	0.00%	0.00%	0.62%	0.40%	0.26%	0.93%	0.95%	0.45%	0.00%	0.00%	0.23%	0.49%	0.00%	0.16%	0.00%	0.00%	0.00%	0.81%	1.15%	0.27%	0.61%	0.00%	0.00%	0.00%	0.51%	0.18%	0.33%	0.00%	0.72%	0.41%	0.19%	0.65%	0.34%	0.57%	0.91%	0.83%	0.50%	0.19%	0.40%	0.25%	0.26%	0.47%	0.18%	0.29%	0.99%	0.19%	0.18%	0.48%	0.15%	0.24%	0.14%	0.00%									
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
