Выборы Президента Российской Федерации																					
																					
Наименование Избирательной комиссии:    Черноярская																					
																					
Итоги голосования 																					
																					
		Сумма	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383					
1	"Число избирателей, внесенных в список"	15028	1429	1560	2200	1011	1214	1022	1004	759	492	299	790	768	1371	1109					
2	Число полученных избирательных бюллетеней	15217	1440	1571	2241	1033	1232	1041	1013	758	498	313	818	774	1360	1125					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8016	757	683	1045	467	688	539	545	416	322	215	430	444	781	684					
5	"Число избирательных бюллетеней, выданных вне помещения"	826	60	66	78	90	28	51	56	35	41	20	68	65	110	58					
6	Число погашенных избирательных бюллетеней	6375	623	822	1118	476	516	451	412	307	135	78	320	265	469	383					
7	Число избирательных бюллетеней в переносных ящиках	826	60	66	78	90	28	51	56	35	41	20	68	65	110	58					
8	Число бюллетеней в стационарных ящиках для голосования	8016	757	683	1045	467	688	539	545	416	322	215	430	444	781	684					
9	Число недействительных избирательных бюллетеней	80	6	6	6	5	4	4	10	2	7	2	6	9	8	5					
10	Число действительных избирательных бюллетеней	8762	811	743	1117	552	712	586	591	449	356	233	492	500	883	737					
11	Число полученных открепительных  удостоверений	193	24	15	22	15	12	10	10	7	5	18	24	7	13	11					
12	Число выданных открепительных удостоверений	120	15	9	11	11	7	6	6	1	4	18	20	0	5	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	40	8	0	0	2	2	4	5	3	3	5	4	0	3	1					
14	Число неиспользованных открепительных удостоверений	73	9	6	11	4	5	4	4	6	1	0	4	7	8	4					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	1	0	3	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																					
18	. Глазьев Сергей Юрьевич	353	39	22	52	30	28	15	11	10	24	13	22	13	25	49					
		3.99%	4.77%	2.94%	4.63%	5.39%	3.91%	2.54%	1.83%	2.22%	6.61%	5.53%	4.42%	2.55%	2.81%	6.60%					
19	. Малышкин Олег Александрович	248	20	24	45	9	25	24	13	9	10	11	19	6	15	18					
		2.80%	2.45%	3.20%	4.01%	1.62%	3.49%	4.07%	2.16%	2.00%	2.75%	4.68%	3.82%	1.18%	1.68%	2.43%					
20	. Миронов Сергей Михайлович	75	12	2	16	2	4	6	4	3	2	5	10	4	2	3					
		0.85%	1.47%	0.27%	1.42%	0.36%	0.56%	1.02%	0.67%	0.67%	0.55%	2.13%	2.01%	0.79%	0.22%	0.40%					
21	. Путин Владимир Владимирович	4819	490	383	580	333	401	258	276	186	177	150	283	260	514	528					
		54.50%	59.98%	51.13%	51.65%	59.78%	56.01%	43.73%	45.92%	41.24%	48.76%	63.83%	56.83%	51.08%	57.69%	71.16%					
22	. Хакамада Ирина Муцуовна	226	20	21	28	13	29	18	9	7	8	9	9	6	30	19					
		2.56%	2.45%	2.80%	2.49%	2.33%	4.05%	3.05%	1.50%	1.55%	2.20%	3.83%	1.81%	1.18%	3.37%	2.56%					
23	. Харитонов Николай Михайлович	2819	208	278	355	143	209	258	270	222	119	42	145	200	264	106					
		31.88%	25.46%	37.12%	31.61%	25.67%	29.19%	43.73%	44.93%	49.22%	32.78%	17.87%	29.12%	39.29%	29.63%	14.29%					
																					
24	Против всех	222	22	13	41	22	16	7	8	12	16	3	4	11	33	14					
		2.51%	2.69%	1.74%	3.65%	3.95%	2.23%	1.19%	1.33%	2.66%	4.41%	1.28%	0.80%	2.16%	3.70%	1.89%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
