Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Корочанская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643					
1	"Число избирателей, внесенных в список"	29747	1793	1944	999	1706	326	284	848	332	614	290	342	1588	1565	403	511	837	353	349	492	231	525	499	815	332	1251	498	690	606	250	238	149	203	326	1580	527	1148	687	509	335	295	525	232	180	1321	219					
2	Число полученных избирательных бюллетеней	30295	1890	1940	1000	1710	330	290	850	340	610	290	340	1610	1570	400	510	840	350	340	490	230	520	500	820	330	1230	570	690	590	250	230	152	205	340	1640	540	1240	710	540	350	320	550	240	198	1380	230					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19510	1156	1143	577	1128	243	191	532	217	418	186	226	1053	1082	287	292	586	301	285	384	96	330	300	585	236	755	366	601	408	149	161	85	122	226	1105	347	672	408	287	223	168	417	161	96	806	113					
5	"Число избирательных бюллетеней, выданных вне помещения"	3860	69	57	55	164	22	51	174	97	80	53	40	109	122	33	60	121	35	25	71	113	82	105	131	68	256	36	0	111	66	52	42	81	83	115	58	205	118	83	56	83	71	64	59	197	87					
6	Число погашенных избирательных бюллетеней	6925	665	740	368	418	65	48	144	26	112	51	74	448	366	80	158	133	14	30	35	21	108	95	104	26	219	168	89	71	35	17	25	2	31	420	135	363	184	170	71	69	62	15	43	377	30					
7	Число избирательных бюллетеней в переносных ящиках	3860	69	57	55	164	22	51	174	97	80	53	40	109	122	33	60	121	35	25	71	113	82	105	131	68	256	36	0	111	66	52	42	81	83	115	58	205	118	83	56	83	71	64	59	197	87					
8	Число бюллетеней в стационарных ящиках для голосования	19509	1156	1143	577	1128	243	191	532	217	418	186	225	1053	1082	287	292	586	301	285	384	96	330	300	585	236	755	366	601	408	149	161	85	122	226	1105	347	672	408	287	223	168	417	161	96	806	113					
9	Число недействительных избирательных бюллетеней	237	5	9	7	15	2	0	10	2	3	2	9	8	7	5	5	14	5	5	4	4	5	4	3	1	11	0	7	8	2	0	1	0	2	11	4	7	5	13	3	5	4	2	4	10	4					
10	Число действительных избирательных бюллетеней	23132	1220	1191	625	1277	263	242	696	312	495	237	256	1154	1197	315	347	693	331	305	451	205	407	401	713	303	1000	402	594	511	213	213	126	203	307	1209	401	870	521	357	276	246	484	223	151	993	196					
11	Число полученных открепительных  удостоверений	317	25	25	25	10	5	5	5	3	3	3	3	15	15	3	3	20	3	3	4	3	3	3	5	3	10	8	8	3	3	3	3	3	6	15	5	23	3	3	3	3	3	3	3	8	3					
12	Число выданных открепительных удостоверений	145	11	3	2	9	3	2	2	1	0	0	1	6	6	0	1	15	0	0	1	0	1	2	3	0	5	6	1	0	2	0	1	0	6	14	5	20	2	2	2	3	2	0	0	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	137	4	2	1	14	0	1	1	1	1	0	2	4	5	0	2	2	1	3	2	1	5	1	4	0	11	2	2	6	1	7	1	2	2	7	4	9	1	1	3	3	5	7	3	3	0					
14	Число неиспользованных открепительных удостоверений	172	14	22	23	1	2	3	3	2	3	3	2	9	9	3	2	5	3	3	3	3	2	1	2	3	5	2	7	3	1	3	2	3	0	1	0	3	1	1	1	0	1	3	3	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	833	56	69	38	31	13	21	25	9	17	9	6	49	67	4	11	21	5	2	4	3	16	4	17	19	33	23	11	18	6	0	0	15	10	54	13	35	22	8	17	6	4	3	9	27	3					
		3.56%	4.57%	5.75%	6.01%	2.40%	4.91%	8.68%	3.54%	2.87%	3.41%	3.77%	2.26%	4.22%	5.56%	1.25%	3.12%	2.97%	1.49%	0.65%	0.88%	1.44%	3.88%	0.99%	2.37%	6.25%	3.26%	5.72%	1.83%	3.47%	2.79%	0.00%	0.00%	7.39%	3.24%	4.43%	3.21%	3.99%	4.18%	2.16%	6.09%	2.39%	0.82%	1.33%	5.81%	2.69%	1.50%					
19	. Малышкин Олег Александрович	586	28	33	8	36	11	5	19	8	12	13	1	33	32	26	6	11	11	6	11	4	16	7	21	9	19	5	9	13	5	5	3	5	5	30	9	16	22	15	1	6	9	6	4	30	2					
		2.51%	2.29%	2.75%	1.27%	2.79%	4.15%	2.07%	2.69%	2.55%	2.41%	5.44%	0.38%	2.84%	2.66%	8.12%	1.70%	1.56%	3.27%	1.94%	2.42%	1.91%	3.88%	1.73%	2.93%	2.96%	1.88%	1.24%	1.50%	2.50%	2.33%	2.35%	2.36%	2.46%	1.62%	2.46%	2.22%	1.82%	4.18%	4.05%	0.36%	2.39%	1.84%	2.67%	2.58%	2.99%	1.00%					
20	. Миронов Сергей Михайлович	210	20	17	6	14	3	1	4	0	5	6	4	11	12	1	5	10	3	0	1	1	6	6	6	1	6	1	2	2	1	0	2	2	0	13	6	11	5	2	2	1	3	1	0	6	1					
		0.90%	1.63%	1.42%	0.95%	1.08%	1.13%	0.41%	0.57%	0.00%	1.00%	2.51%	1.51%	0.95%	1.00%	0.31%	1.42%	1.41%	0.89%	0.00%	0.22%	0.48%	1.46%	1.48%	0.84%	0.33%	0.59%	0.25%	0.33%	0.39%	0.47%	0.00%	1.57%	0.99%	0.00%	1.07%	1.48%	1.25%	0.95%	0.54%	0.72%	0.40%	0.61%	0.44%	0.00%	0.60%	0.50%					
21	. Путин Владимир Владимирович	12669	646	614	369	748	142	122	380	213	301	86	149	647	691	139	193	407	171	187	237	101	259	245	338	179	429	249	423	303	107	127	77	140	195	532	202	527	254	128	143	137	327	123	71	521	90					
