Выборы Президента Российской Федерации																																																					
Дата голосования: 18.03.2018																																																					
																																																					
Наименование Избирательной комиссии:    Корочанская																																																					
																																																					
Сводная таблица итогов голосования																																																					
																																																					
	Число участковых избирательных комиссий	42																																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	42																																																			
																																																					
		Сумма	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676									
1	"Число избирателей, включенных в список избирателей"	30378	1461	1312	1589	1023	1605	301	694	305	552	270	309	1702	1505	378	670	368	333	563	534	427	821	320	1437	1380	894	563	220	328	502	1178	1202	1139	302	699	268	496	236	616	233	235	1213	195									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30820	1490	1310	1680	1030	1650	300	680	290	560	260	310	1740	1530	380	690	360	330	570	540	450	820	310	1460	1370	890	560	210	340	500	1220	1230	1200	290	700	270	500	240	610	220	230	1300	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22321	988	930	1071	724	1163	244	574	236	393	174	240	1173	1047	341	472	277	258	434	401	286	649	258	935	1330	825	409	149	247	375	805	871	757	216	562	189	331	136	533	176	191	808	143									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3564	117	79	170	105	192	39	98	54	80	49	27	104	132	32	112	47	32	95	119	79	75	33	212	37	16	84	40	45	86	110	73	153	71	119	62	89	88	71	34	39	216	49									
6	Число погашенных избирательных бюллетеней	4935	385	301	439	201	295	17	8	0	87	37	43	463	351	7	106	36	40	41	20	85	96	19	313	3	49	67	21	48	39	305	286	290	3	19	19	80	16	6	10	0	276	8									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3564	117	79	170	105	192	39	98	54	80	49	27	104	132	32	112	47	32	95	119	79	75	33	212	37	16	84	40	45	86	110	73	153	71	119	62	89	88	71	34	39	216	49									
8	Число бюллетеней в стационарных ящиках для голосования	22321	988	930	1071	724	1163	244	574	236	393	174	240	1173	1047	341	472	277	258	434	401	286	649	258	935	1330	825	409	149	247	375	805	871	757	216	562	189	331	136	533	176	191	808	143									
9	Число недействительных избирательных бюллетеней	266	12	9	18	11	17	6	22	0	0	3	2	11	20	2	3	3	2	2	1	8	2	1	22	9	12	10	2	3	4	16	9	2	1	3	0	1	3	2	0	2	10	0									
10	Число действительных избирательных бюллетеней	25619	1093	1000	1223	818	1338	277	650	290	473	220	265	1266	1159	371	581	321	288	527	519	357	722	290	1125	1358	829	483	187	289	457	899	935	908	286	678	251	419	221	602	210	228	1014	192									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
13	Бабурин Сергей Николаевич	144	8	11	14	6	12	0	2	2	0	4	0	5	4	0	5	4	5	2	1	2	2	1	9	4	1	4	0	3	1	8	7	5	2	2	0	1	2	0	0	0	4	1									
		0.56%	0.72%	1.09%	1.13%	0.72%	0.89%	0.00%	0.30%	0.69%	0.00%	1.79%	0.00%	0.39%	0.34%	0.00%	0.86%	1.23%	1.72%	0.38%	0.19%	0.55%	0.28%	0.34%	0.78%	0.29%	0.12%	0.81%	0.00%	1.03%	0.22%	0.87%	0.74%	0.55%	0.70%	0.29%	0.00%	0.24%	0.89%	0.00%	0.00%	0.00%	0.39%	0.52%									
14	Грудинин Павел Николаевич	2488	136	111	153	94	146	36	44	10	45	17	10	158	135	19	50	64	23	49	26	22	38	16	142	117	63	50	6	31	37	113	105	97	18	35	28	39	19	14	26	18	120	8									
		9.61%	12.31%	11.00%	12.33%	11.34%	10.77%	12.72%	6.55%	3.45%	9.51%	7.62%	3.75%	12.37%	11.45%	5.09%	8.56%	19.75%	7.93%	9.26%	5.00%	6.03%	5.25%	5.50%	12.38%	8.56%	7.49%	10.14%	3.17%	10.62%	8.03%	12.35%	11.12%	10.66%	6.27%	5.14%	11.16%	9.29%	8.48%	2.32%	12.38%	7.83%	11.72%	4.17%									
15	Жириновский Владимир Вольфович	1585	61	61	78	49	87	16	41	23	23	24	23	75	81	24	35	22	11	41	17	29	40	24	73	59	44	45	12	17	22	58	71	60	16	35	22	13	16	20	9	13	84	11									
		6.12%	5.52%	6.05%	6.29%	5.91%	6.42%	5.65%	6.10%	7.93%	4.86%	10.76%	8.61%	5.87%	6.87%	6.43%	5.99%	6.79%	3.79%	7.75%	3.27%	7.95%	5.52%	8.25%	6.36%	4.32%	5.23%	9.13%	6.35%	5.82%	4.77%	6.34%	7.52%	6.59%	5.57%	5.14%	8.76%	3.10%	7.14%	3.31%	4.29%	5.65%	8.20%	5.73%									
16	Путин Владимир Владимирович	20857	855	794	931	640	1068	218	556	253	396	172	228	1004	908	321	481	222	245	426	468	299	627	243	878	1137	709	378	167	231	391	696	728	728	246	592	200	361	180	562	171	196	782	169									
		80.58%	77.38%	78.69%	75.02%	77.20%	78.82%	77.03%	82.74%	87.24%	83.72%	77.13%	85.39%	78.62%	77.01%	86.06%	82.36%	68.52%	84.48%	80.53%	90.00%	81.92%	86.60%	83.51%	76.55%	83.17%	84.30%	76.67%	88.36%	79.11%	84.82%	76.07%	77.12%	80.00%	85.71%	86.93%	79.68%	85.95%	80.36%	93.05%	81.43%	85.22%	76.37%	88.02%									
17	Собчак Ксения Анатольевна	186	10	12	20	11	6	1	4	0	3	1	3	7	10	2	0	4	2	1	2	3	4	0	8	17	3	2	1	1	2	3	12	6	2	5	0	1	3	4	1	1	6	2									
		0.72%	0.90%	1.19%	1.61%	1.33%	0.44%	0.35%	0.60%	0.00%	0.63%	0.45%	1.12%	0.55%	0.85%	0.54%	0.00%	1.23%	0.69%	0.19%	0.38%	0.82%	0.55%	0.00%	0.70%	1.24%	0.36%	0.41%	0.53%	0.34%	0.43%	0.33%	1.27%	0.66%	0.70%	0.73%	0.00%	0.24%	1.34%	0.66%	0.48%	0.43%	0.59%	1.04%									
18	Сурайкин Максим Александрович	176	14	7	11	5	14	4	1	1	4	0	1	5	14	2	4	2	0	4	1	0	9	5	8	10	2	2	0	3	3	10	6	4	0	4	1	3	0	1	3	0	8	0									
		0.68%	1.27%	0.69%	0.89%	0.60%	1.03%	1.41%	0.15%	0.34%	0.85%	0.00%	0.37%	0.39%	1.19%	0.54%	0.68%	0.62%	0.00%	0.76%	0.19%	0.00%	1.24%	1.72%	0.70%	0.73%	0.24%	0.41%	0.00%	1.03%	0.65%	1.09%	0.64%	0.44%	0.00%	0.59%	0.40%	0.71%	0.00%	0.17%	1.43%	0.00%	0.78%	0.00%									
