Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Ракитянская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875					
1	"Число избирателей, внесенных в список"	26214	371	1092	340	562	234	455	231	943	266	541	829	344	811	670	318	600	460	380	404	2233	2569	2225	530	1337	2197	1981	2467	824					
2	Число полученных избирательных бюллетеней	26321	374	1096	340	563	230	455	231	944	264	542	838	345	816	669	322	601	461	381	399	2244	2581	2241	542	1346	2210	1986	2477	823					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17666	274	883	220	309	138	270	147	497	86	488	723	252	674	535	241	442	273	263	245	1575	1673	1435	274	895	1592	1122	1548	592					
5	"Число избирательных бюллетеней, выданных вне помещения"	3877	83	160	84	172	72	131	57	301	149	50	42	46	122	109	61	107	144	100	120	57	114	110	165	165	199	480	295	182					
6	Число погашенных избирательных бюллетеней	4778	17	53	36	82	20	54	27	146	29	4	73	47	20	25	20	52	44	18	34	612	794	696	103	286	419	384	634	49					
7	Число избирательных бюллетеней в переносных ящиках	3877	83	160	84	172	72	131	57	301	149	50	42	46	122	109	61	107	144	100	120	57	114	110	165	165	199	480	295	182					
8	Число бюллетеней в стационарных ящиках для голосования	17664	274	883	220	309	138	270	147	497	86	488	723	252	674	535	241	442	273	263	245	1575	1671	1435	274	895	1592	1122	1548	592					
9	Число недействительных избирательных бюллетеней	253	7	0	9	7	0	2	3	10	2	3	9	5	5	13	4	16	4	6	3	12	12	17	6	7	60	7	19	5					
10	Число действительных избирательных бюллетеней	21288	350	1043	295	474	210	399	201	788	233	535	756	293	791	631	298	533	413	357	362	1620	1773	1528	433	1053	1731	1595	1824	769					
11	Число полученных открепительных  удостоверений	298	7	10	5	7	5	5	5	10	5	7	10	7	7	7	5	7	7	7	5	31	20	20	5	20	20	20	20	14					
12	Число выданных открепительных удостоверений	119	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	2	0	27	20	19	0	9	13	11	9	3					
