Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Брянская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243					
1	"Число избирателей, внесенных в список"	41841	1407	863	509	205	2475	532	487	911	349	733	256	1407	400	310	1609	628	226	241	2908	1224	2120	304	476	399	496	2080	1350	527	2029	2330	2235	960	1055	493	948	590	620	325	241	1566	1865	326	172	654					
2	Число полученных избирательных бюллетеней	42181	1412	882	505	200	2493	532	486	909	351	754	252	1415	403	306	1622	623	225	239	2903	1220	2137	321	470	392	491	2073	1350	539	2153	2319	2401	967	1082	503	955	587	608	321	223	1549	1859	325	172	652					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23915	764	505	267	113	1275	302	386	615	231	472	144	656	270	191	837	460	154	182	1591	574	1219	211	288	209	314	1312	850	365	1006	1121	1092	519	703	380	555	322	300	163	147	965	1231	194	113	347					
5	"Число избирательных бюллетеней, выданных вне помещения"	3120	142	57	104	49	176	138	56	61	53	53	47	326	0	34	84	70	38	36	103	41	54	7	48	64	49	69	52	43	105	99	116	25	79	32	54	68	106	56	0	25	119	46	23	113					
6	Число погашенных избирательных бюллетеней	15146	506	320	134	38	1042	92	44	233	67	229	61	433	133	81	701	93	33	21	1209	605	864	103	134	119	128	692	448	131	1042	1099	1193	423	300	91	346	197	202	102	76	559	509	85	36	192					
7	Число избирательных бюллетеней в переносных ящиках	3120	142	57	104	49	176	138	56	61	53	53	47	326	0	34	84	70	38	36	103	41	54	7	48	64	49	69	52	43	105	99	116	25	79	32	54	68	106	56	0	25	119	46	23	113					
8	Число бюллетеней в стационарных ящиках для голосования	23913	764	505	267	113	1275	302	386	615	231	472	144	656	270	191	837	460	154	182	1590	574	1219	211	288	209	314	1312	850	365	1006	1121	1092	519	703	380	555	322	300	162	147	965	1231	194	113	347					
9	Число недействительных избирательных бюллетеней	308	7	8	3	0	13	0	2	7	4	13	4	15	4	0	10	1	3	4	15	8	10	4	6	0	9	20	10	9	11	16	11	6	17	10	8	1	2	2	1	13	14	3	1	3					
10	Число действительных избирательных бюллетеней	26725	899	554	368	162	1438	440	440	669	280	512	187	967	266	225	911	529	189	214	1678	607	1263	214	330	273	354	1361	892	399	1100	1204	1197	538	765	402	601	389	404	216	146	977	1336	237	135	457					
11	Число полученных открепительных  удостоверений	600	20	13	7	3	34	6	7	13	5	11	3	20	5	4	23	9	3	3	30	18	31	12	7	6	7	30	19	8	31	28	34	14	26	7	14	8	9	4	3	22	26	5	3	9					
12	Число выданных открепительных удостоверений	279	7	1	1	0	27	0	7	13	0	3	0	15	0	0	10	6	3	1	15	7	31	10	5	2	2	12	6	0	10	9	5	3	26	4	14	6	2	0	0	10	3	1	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	276	3	3	8	3	11	6	8	11	3	13	2	6	6	3	3	9	4	3	12	11	12	7	10	2	3	16	22	4	7	8	4	4	5	2	6	4	4	2	10	3	3	2	1	7					
14	Число неиспользованных открепительных удостоверений	321	13	12	6	3	7	6	0	0	5	8	3	5	5	4	13	3	0	2	15	11	0	2	2	4	5	18	13	8	21	19	29	11	0	3	0	2	7	4	3	12	23	4	3	7					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	1016	25	17	4	5	47	11	9	35	2	21	1	30	12	8	35	13	3	5	91	20	77	12	10	11	9	71	37	11	58	48	51	23	12	11	13	13	8	5	5	46	56	12	5	18					
		3.76%	2.76%	3.02%	1.08%	3.09%	3.24%	2.50%	2.04%	5.18%	0.70%	4.00%	0.52%	3.05%	4.44%	3.56%	3.80%	2.45%	1.56%	2.29%	5.38%	3.25%	6.05%	5.50%	2.98%	4.03%	2.48%	5.14%	4.10%	2.70%	5.22%	3.93%	4.22%	4.23%	1.53%	2.67%	2.13%	3.33%	1.97%	2.29%	3.40%	4.65%	4.15%	5.00%	3.68%	3.91%					
19	. Малышкин Олег Александрович	510	19	7	9	3	23	2	5	12	1	7	0	17	2	5	21	9	1	2	27	15	27	8	4	8	10	32	8	8	19	35	39	17	13	12	12	7	10	6	2	18	20	7	0	1					
		1.89%	2.10%	1.25%	2.43%	1.85%	1.59%	0.45%	1.13%	1.78%	0.35%	1.33%	0.00%	1.73%	0.74%	2.22%	2.28%	1.70%	0.52%	0.92%	1.59%	2.44%	2.12%	3.67%	1.19%	2.93%	2.75%	2.32%	0.89%	1.96%	1.71%	2.87%	3.23%	3.12%	1.66%	2.91%	1.97%	1.79%	2.46%	2.75%	1.36%	1.82%	1.48%	2.92%	0.00%	0.22%					
20	. Миронов Сергей Михайлович	201	4	6	0	2	6	8	2	12	0	5	2	8	4	1	7	2	1	0	13	5	9	0	4	4	3	5	4	1	6	3	11	1	8	6	4	1	6	2	2	8	20	2	3	0					
