Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Дубровская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326					
1	"Число избирателей, внесенных в список"	17123	2163	1867	1579	911	449	103	589	119	432	579	716	138	422	121	483	526	83	1098	2874	537	287	286	270	35	192	80	184					
2	Число полученных избирательных бюллетеней	17500	2140	1895	1590	925	459	105	610	120	446	583	726	145	436	126	510	535	95	1118	2995	542	310	300	271	40	200	84	194					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12147	1461	1124	999	650	317	64	465	101	268	359	552	82	244	48	366	379	36	1018	2211	409	230	196	207	26	159	45	131					
5	"Число избирательных бюллетеней, выданных вне помещения"	1224	97	106	85	46	74	26	39	2	68	105	35	37	80	61	19	52	36	57	10	18	25	15	37	5	21	24	44					
6	Число погашенных избирательных бюллетеней	4129	582	665	506	229	68	15	106	17	110	119	139	26	112	17	125	104	23	43	774	115	55	89	27	9	20	15	19					
7	Число избирательных бюллетеней в переносных ящиках	1224	97	106	85	46	74	26	39	2	68	105	35	37	80	61	19	52	36	57	10	18	25	15	37	5	21	24	44					
8	Число бюллетеней в стационарных ящиках для голосования	12147	1461	1124	999	650	317	64	465	101	268	359	552	82	244	48	366	379	36	1018	2211	409	230	196	207	26	159	45	131					
9	Число недействительных избирательных бюллетеней	101	11	10	5	4	9	0	7	1	4	3	8	1	1	0	0	5	0	11	4	3	2	3	4	0	1	0	4					
10	Число действительных избирательных бюллетеней	13270	1547	1220	1079	692	382	90	497	102	332	461	579	118	323	109	385	426	72	1064	2217	424	253	208	240	31	179	69	171					
11	Число полученных открепительных  удостоверений	299	32	30	30	10	13	5	7	5	7	7	8	5	7	5	7	7	5	15	45	7	7	5	7	5	7	5	6					
12	Число выданных открепительных удостоверений	159	10	19	13	8	13	2	3	2	5	6	7	1	4	1	7	5	1	5	41	1	0	2	0	2	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	121	21	11	16	4	3	2	0	0	2	0	7	1	4	6	2	3	0	8	19	1	3	1	3	0	0	1	3					
14	Число неиспользованных открепительных удостоверений	140	22	11	17	2	0	3	4	3	2	1	1	4	3	4	0	2	4	10	4	6	7	3	7	3	7	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	419	49	50	43	34	10	2	9	0	7	7	13	2	16	12	14	13	0	25	74	9	7	9	2	1	8	1	2					
		3.13%	3.15%	4.07%	3.97%	4.89%	2.56%	2.22%	1.79%	0.00%	2.08%	1.51%	2.21%	1.68%	4.94%	11.01%	3.64%	3.02%	0.00%	2.33%	3.33%	2.11%	2.75%	4.27%	0.82%	3.23%	4.44%	1.45%	1.14%					
19	. Малышкин Олег Александрович	262	20	26	30	7	9	7	21	0	3	5	5	5	9	0	6	12	3	6	51	13	5	5	3	0	6	1	4					
		1.96%	1.28%	2.11%	2.77%	1.01%	2.30%	7.78%	4.17%	0.00%	0.89%	1.08%	0.85%	4.20%	2.78%	0.00%	1.56%	2.78%	4.17%	0.56%	2.30%	3.04%	1.96%	2.37%	1.23%	0.00%	3.33%	1.45%	2.29%					
20	. Миронов Сергей Михайлович	114	18	5	8	8	2	3	1	2	1	3	7	0	0	0	2	4	2	12	22	7	3	0	0	0	2	1	1					
		0.85%	1.16%	0.41%	0.74%	1.15%	0.51%	3.33%	0.20%	1.94%	0.30%	0.65%	1.19%	0.00%	0.00%	0.00%	0.52%	0.93%	2.78%	1.12%	0.99%	1.64%	1.18%	0.00%	0.00%	0.00%	1.11%	1.45%	0.57%					
21	. Путин Владимир Владимирович	9331	1088	826	713	473	252	69	302	78	252	331	403	78	249	63	251	272	55	795	1691	326	190	166	162	7	89	16	134					
		69.79%	69.83%	67.15%	65.77%	67.96%	64.45%	76.67%	59.92%	75.73%	75.00%	71.34%	68.65%	65.55%	76.85%	57.80%	65.19%	63.11%	76.39%	73.95%	76.14%	76.35%	74.51%	78.67%	66.39%	22.58%	49.44%	23.19%	76.57%					
22	. Хакамада Ирина Муцуовна	260	25	24	25	8	7	1	5	4	0	9	4	0	5	2	6	1	0	42	69	5	4	1	2	2	2	4	3					
		1.94%	1.60%	1.95%	2.31%	1.15%	1.79%	1.11%	0.99%	3.88%	0.00%	1.94%	0.68%	0.00%	1.54%	1.83%	1.56%	0.23%	0.00%	3.91%	3.11%	1.17%	1.57%	0.47%	0.82%	6.45%	1.11%	5.80%	1.71%					
23	. Харитонов Николай Михайлович	2633	317	267	233	152	96	8	152	17	68	102	146	33	41	32	96	115	12	163	227	58	42	26	68	21	70	45	26					
		19.69%	20.35%	21.71%	21.49%	21.84%	24.55%	8.89%	30.16%	16.50%	20.24%	21.98%	24.87%	27.73%	12.65%	29.36%	24.94%	26.68%	16.67%	15.16%	10.22%	13.58%	16.47%	12.32%	27.87%	67.74%	38.89%	65.22%	14.86%					
																																		
24	Против всех	251	30	22	27	10	6	0	7	1	1	4	1	0	3	0	10	9	0	21	83	6	2	1	3	0	2	1	1					
		1.88%	1.93%	1.79%	2.49%	1.44%	1.53%	0.00%	1.39%	0.97%	0.30%	0.86%	0.17%	0.00%	0.93%	0.00%	2.60%	2.09%	0.00%	1.95%	3.74%	1.41%	0.78%	0.47%	1.23%	0.00%	1.11%	1.45%	0.57%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
