Выборы Президента Российской Федерации																																								
Дата голосования: 18.03.2018																																								
																																								
Наименование Избирательной комиссии:    Клинцовская																																								
																																								
Сводная таблица итогов голосования																																								
																																								
	Число участковых избирательных комиссий	29																																						
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	29																																						
																																								
		Сумма	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098									
1	"Число избирателей, включенных в список избирателей"	13057	564	315	544	249	576	294	485	256	303	278	109	922	643	433	370	240	776	522	426	766	742	174	172	424	75	665	476	1001	257									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12882	567	316	541	244	577	284	478	256	298	280	110	918	620	423	359	234	775	508	422	760	721	173	170	420	70	637	476	989	256									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10242	457	230	428	202	483	269	426	195	266	241	90	793	446	260	292	202	614	357	317	685	682	137	133	354	64	541	368	538	172									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1783	68	63	91	35	73	11	41	41	31	26	19	98	168	129	61	14	85	113	88	31	21	28	30	29	6	66	54	200	63									
6	Число погашенных избирательных бюллетеней	857	42	23	22	7	21	4	11	20	1	13	1	27	6	34	6	18	76	38	17	44	18	8	7	37	0	30	54	251	21									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1783	68	63	91	35	73	11	41	41	31	26	19	98	168	129	61	14	85	113	88	31	21	28	30	29	6	66	54	200	63									
8	Число бюллетеней в стационарных ящиках для голосования	10242	457	230	428	202	483	269	426	195	266	241	90	793	446	260	292	202	614	357	317	685	682	137	133	354	64	541	368	538	172									
9	Число недействительных избирательных бюллетеней	108	7	6	1	1	8	0	1	0	0	26	0	0	5	3	0	4	5	4	2	5	4	2	0	2	0	9	3	10	0									
10	Число действительных избирательных бюллетеней	11917	518	287	518	236	548	280	466	236	297	241	109	891	609	386	353	212	694	466	403	711	699	163	163	381	70	598	419	728	235									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
13	Бабурин Сергей Николаевич	35	1	0	2	1	0	1	0	0	0	1	0	0	5	0	0	2	7	0	0	3	0	0	0	6	0	0	0	5	1									
		0.29%	0.19%	0.00%	0.39%	0.42%	0.00%	0.36%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.81%	0.00%	0.00%	0.93%	1.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	1.57%	0.00%	0.00%	0.00%	0.68%	0.43%									
14	Грудинин Павел Николаевич	452	32	13	9	3	17	3	15	5	6	5	0	31	16	10	11	4	26	38	6	21	24	4	2	20	3	23	22	75	8									
		3.76%	6.10%	4.44%	1.73%	1.27%	3.06%	1.07%	3.21%	2.12%	2.02%	1.87%	0.00%	3.48%	2.61%	2.57%	3.12%	1.85%	3.72%	8.09%	1.48%	2.93%	3.41%	2.42%	1.23%	5.22%	4.29%	3.79%	5.21%	10.16%	3.40%									
15	Жириновский Владимир Вольфович	529	36	17	11	4	22	9	26	6	16	12	4	33	21	22	20	7	31	34	12	33	37	6	11	6	4	31	14	33	11									
		4.40%	6.86%	5.80%	2.12%	1.69%	3.96%	3.21%	5.57%	2.54%	5.39%	4.49%	3.67%	3.70%	3.42%	5.66%	5.67%	3.24%	4.43%	7.23%	2.96%	4.61%	5.26%	3.64%	6.75%	1.57%	5.71%	5.11%	3.32%	4.47%	4.68%									
16	Путин Владимир Владимирович	10749	447	255	493	226	504	266	421	222	274	218	104	822	561	352	320	192	625	389	381	641	632	153	148	344	63	518	377	592	209									
		89.39%	85.14%	87.03%	94.99%	95.36%	90.65%	95.00%	90.15%	94.07%	92.26%	81.65%	95.41%	92.26%	91.37%	90.49%	90.65%	88.89%	89.41%	82.77%	94.07%	89.53%	89.90%	92.73%	90.80%	89.82%	90.00%	85.34%	89.34%	80.22%	88.94%									
17	Собчак Ксения Анатольевна	79	1	1	1	2	1	0	0	1	1	2	0	3	6	1	2	2	3	1	1	7	2	0	1	3	0	20	4	7	6									
		0.66%	0.19%	0.34%	0.19%	0.84%	0.18%	0.00%	0.00%	0.42%	0.34%	0.75%	0.00%	0.34%	0.98%	0.26%	0.57%	0.93%	0.43%	0.21%	0.25%	0.98%	0.28%	0.00%	0.61%	0.78%	0.00%	3.29%	0.95%	0.95%	2.55%									
18	Сурайкин Максим Александрович	35	1	1	2	0	3	0	0	0	0	2	0	1	0	1	0	1	1	2	2	5	1	0	1	2	0	3	1	5	0									
		0.29%	0.19%	0.34%	0.39%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.11%	0.00%	0.26%	0.00%	0.46%	0.14%	0.43%	0.49%	0.70%	0.14%	0.00%	0.61%	0.52%	0.00%	0.49%	0.24%	0.68%	0.00%									
19	Титов Борис Юрьевич	15	0	0	0	0	1	0	3	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	5	0									
		0.12%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.64%	0.42%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.16%	0.24%	0.68%	0.00%									
20	Явлинский Григорий Алексеевич	23	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	3	1	2	1	1	2	0	0	0	0	2	0	6	0									
		0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.21%	0.42%	0.00%	0.00%	0.92%	0.11%	0.00%	0.00%	0.00%	1.39%	0.14%	0.43%	0.25%	0.14%	0.28%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.81%	0.00%									
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
