Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Трубчевская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115					
1	"Число избирателей, внесенных в список"	30115	1656	1535	2364	2538	2235	1269	381	1309	1473	1356	1343	468	65	422	920	556	775	844	146	65	711	354	313	104	420	163	270	459	346	974	489	498	232	330	120	308	388	210	269	329	335	485	120	168					
2	Число полученных избирательных бюллетеней	27780	1400	1350	2235	2300	2000	1230	340	1180	1395	1210	1240	430	67	415	835	520	700	840	156	67	630	360	315	108	390	170	235	420	315	870	445	450	220	300	130	300	355	195	240	305	305	470	140	202					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16716	802	683	1217	1206	1142	614	283	743	881	618	743	322	49	340	482	316	434	669	108	62	303	239	237	68	283	110	183	258	155	509	263	383	196	230	77	179	235	72	162	185	211	272	72	120					
5	"Число избирательных бюллетеней, выданных вне помещения"	2364	48	25	82	111	13	9	29	70	57	143	54	82	0	51	97	39	80	18	26	0	121	13	20	29	8	17	16	70	96	98	41	0	0	68	41	72	106	104	69	99	68	113	34	27					
6	Число погашенных избирательных бюллетеней	8700	550	642	936	983	845	607	28	367	457	449	443	26	18	24	256	165	186	153	22	5	206	108	58	11	99	43	36	92	64	263	141	67	24	2	12	49	14	19	9	21	26	85	34	55					
7	Число избирательных бюллетеней в переносных ящиках	2364	48	25	82	111	13	9	29	70	57	143	54	82	0	51	97	39	80	18	26	0	121	13	20	29	8	17	16	70	96	98	41	0	0	68	41	72	106	104	69	99	68	113	34	27					
8	Число бюллетеней в стационарных ящиках для голосования	16715	801	683	1217	1206	1142	614	283	743	881	618	743	322	49	340	482	316	434	669	108	62	303	239	237	68	283	110	183	258	155	509	263	383	196	230	77	179	235	72	162	185	211	272	72	120					
9	Число недействительных избирательных бюллетеней	175	6	12	4	10	4	4	1	12	3	5	8	5	0	4	7	4	4	3	3	1	11	2	1	0	5	0	0	0	9	9	1	8	1	5	1	4	3	1	1	3	3	4	0	3					
10	Число действительных избирательных бюллетеней	18904	843	696	1295	1307	1151	619	311	801	935	756	789	399	49	387	572	351	510	684	131	61	413	250	256	97	286	127	199	328	242	598	303	375	195	293	117	247	338	175	230	281	276	381	106	144					
11	Число полученных открепительных  удостоверений	575	50	50	50	50	50	20	5	15	25	20	20	5	2	5	10	10	5	10	5	3	10	5	5	5	5	5	5	5	5	10	5	5	5	5	5	20	5	5	5	15	5	15	5	5					
12	Число выданных открепительных удостоверений	267	32	6	24	29	27	10	1	12	22	4	7	2	0	2	1	7	0	7	3	0	2	0	3	0	0	0	5	5	1	7	0	0	1	1	5	20	0	1	4	3	2	11	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	179	9	4	10	18	11	4	2	5	5	0	4	2	2	1	4	4	6	5	4	2	6	3	2	1	3	2	8	3	5	5	2	3	1	2	2	4	4	5	1	5	1	3	1	5					
