Выборы Президента Российской Федерации																																																																												
																																																																												
Наименование Избирательной комиссии:    Александровская																																																																												
																																																																												
Итоги голосования 																																																																												
																																																																												
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69					
1	"Число избирателей, внесенных в список"	94432	2380	911	1858	2496	2024	2465	2422	2545	2502	1709	2485	2592	1768	2106	2609	2499	2644	2632	2504	2603	2644	2612	299	2673	2592	2212	126	296	584	325	393	253	183	1352	501	476	230	618	255	672	431	106	195	604	573	880	289	236	181	123	560	158	1172	1173	1323	2440	2493	1560	1120	1202	2291	1234	1189	1201	1208	1313	1428	2512	187					
2	Число полученных избирательных бюллетеней	85947	2207	826	1668	2221	1829	2281	2225	2336	2289	1568	2283	2379	1605	1939	2374	2293	2405	2403	2282	2386	2405	2407	322	2440	2341	1987	130	263	529	295	347	210	186	1217	450	416	201	552	226	606	395	119	190	557	510	802	262	210	177	131	509	224	1056	996	1185	2217	2243	1346	985	1082	2072	1134	1019	1085	1113	1188	1269	2320	222					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	43399	1111	408	759	970	861	1155	905	1217	1350	897	1201	1281	677	951	1156	971	1254	1263	1261	1231	1344	1305	0	1381	1323	1185	52	169	316	137	264	128	58	524	212	324	29	373	183	266	186	73	101	320	206	440	89	112	52	66	336	131	488	320	604	900	1172	741	462	554	1023	581	478	415	483	603	697	1137	177					
5	"Число избирательных бюллетеней, выданных вне помещения"	4009	15	33	99	56	23	25	27	16	23	12	27	41	38	13	38	17	38	37	21	20	20	14	299	16	25	34	42	76	71	61	0	29	67	207	90	48	125	29	15	108	58	9	21	38	154	81	120	36	95	27	123	27	99	90	65	122	32	49	50	60	134	77	68	97	48	47	40	137	10					
6	Число погашенных избирательных бюллетеней	38539	1081	385	810	1195	945	1101	1293	1103	916	659	1055	1057	890	975	1180	1305	1113	1103	1000	1135	1041	1088	23	1043	993	768	36	18	142	97	83	53	61	486	148	44	47	150	28	232	151	37	68	199	150	281	53	62	30	38	50	66	469	586	516	1195	1039	556	473	468	915	476	473	573	582	538	532	1046	35					
7	Число избирательных бюллетеней в переносных ящиках	4009	15	33	99	56	23	25	27	16	23	12	27	41	38	13	38	17	38	37	21	20	20	14	299	16	25	34	42	76	71	61	0	29	67	207	90	48	125	29	15	108	58	9	21	38	154	81	120	36	95	27	123	27	99	90	65	122	32	49	50	60	134	77	68	97	48	47	40	137	10					
8	Число бюллетеней в стационарных ящиках для голосования	43314	1111	408	759	970	861	1155	905	1217	1350	897	1201	1281	677	951	1118	971	1254	1263	1240	1220	1344	1305	0	1381	1322	1185	52	168	316	137	264	128	58	524	212	324	29	373	183	266	186	73	101	320	206	440	89	112	52	66	336	131	488	320	597	899	1172	741	462	549	1023	581	478	415	483	603	697	1137	177					
9	Число недействительных избирательных бюллетеней	451	13	2	4	9	10	8	10	15	8	6	7	10	10	12	8	3	5	11	17	5	13	10	2	8	26	7	0	4	2	4	0	1	0	8	4	0	0	0	0	5	0	2	2	3	3	9	0	1	0	0	10	1	9	6	10	15	8	11	6	15	12	5	5	7	4	10	7	21	2					
10	Число действительных избирательных бюллетеней	46872	1113	439	854	1017	874	1172	922	1218	1365	903	1221	1312	705	952	1148	985	1287	1289	1244	1235	1351	1309	297	1389	1321	1212	94	240	385	194	264	156	125	723	298	372	154	402	198	369	244	80	120	355	357	512	209	147	147	93	449	157	578	404	652	1006	1196	779	506	594	1145	653	541	505	527	640	730	1253	185					
11	Число полученных открепительных  удостоверений	1174	30	20	20	30	20	30	30	43	40	40	40	35	20	20	20	35	25	30	40	35	30	40	0	20	27	10	5	5	5	5	5	5	5	29	10	5	5	10	5	15	5	5	5	15	5	15	5	5	5	5	25	5	10	15	10	20	20	15	10	10	20	10	10	10	15	10	10	35	0					
12	Число выданных открепительных удостоверений	828	20	8	11	23	17	26	18	34	34	33	34	31	17	16	16	24	18	21	23	26	21	28	0	14	25	10	1	0	4	1	1	2	0	21	4	5	2	6	1	7	0	1	2	15	2	15	4	2	0	5	25	4	4	6	4	15	15	10	5	5	20	7	8	6	14	4	9	18	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	653	6	2	6	13	8	7	6	18	11	18	9	9	5	6	7	2	10	14	14	12	10	10	167	4	4	7	1	4	3	0	5	1	0	11	0	9	6	3	0	2	2	3	1	1	2	5	0	3	2	1	5	0	6	6	7	7	3	4	0	8	12	14	10	7	5	8	7	8	86					
14	Число неиспользованных открепительных удостоверений	346	10	12	9	7	3	4	12	9	6	7	6	4	3	4	4	11	7	9	17	9	9	12	0	6	2	0	4	5	1	4	4	3	5	8	6	0	3	4	4	8	5	4	3	0	3	0	1	3	5	0	0	1	6	9	6	5	5	5	5	5	0	3	2	4	1	6	1	17	0					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																												
18	. Глазьев Сергей Юрьевич	2487	59	29	45	51	49	75	63	100	89	56	84	94	39	93	71	55	75	75	100	77	89	92	15	63	76	50	3	8	8	6	4	7	6	32	6	14	9	5	2	9	1	3	5	11	6	20	5	6	13	2	16	2	39	29	18	37	40	45	21	13	57	43	26	17	13	31	48	35	2					
		5.26%	5.24%	6.58%	5.24%	4.97%	5.54%	6.36%	6.76%	8.11%	6.48%	6.16%	6.84%	7.11%	5.45%	9.65%	6.14%	5.57%	5.80%	5.77%	7.93%	6.21%	6.52%	6.97%	5.02%	4.51%	5.64%	4.10%	3.19%	3.28%	2.07%	3.03%	1.52%	4.46%	4.80%	4.38%	1.99%	3.76%	5.84%	1.24%	1.01%	2.41%	0.41%	3.66%	4.10%	3.07%	1.67%	3.84%	2.39%	4.05%	8.84%	2.15%	3.49%	1.27%	6.64%	7.07%	2.72%	3.62%	3.32%	5.70%	4.10%	2.13%	4.93%	6.53%	4.76%	3.32%	2.45%	4.77%	6.51%	2.75%	1.07%					
19	. Малышкин Олег Александрович	885	18	6	12	9	23	32	11	12	26	21	21	27	9	26	24	26	20	27	23	29	19	18	4	27	17	38	0	6	11	6	12	2	0	15	4	6	0	3	2	7	5	4	3	15	4	26	5	3	1	4	10	7	11	3	10	15	15	11	4	11	23	15	9	11	5	10	16	18	12					
		1.87%	1.60%	1.36%	1.40%	0.88%	2.60%	2.71%	1.18%	0.97%	1.89%	2.31%	1.71%	2.04%	1.26%	2.70%	2.08%	2.63%	1.55%	2.08%	1.82%	2.34%	1.39%	1.36%	1.34%	1.93%	1.26%	3.12%	0.00%	2.46%	2.84%	3.03%	4.55%	1.27%	0.00%	2.05%	1.32%	1.61%	0.00%	0.75%	1.01%	1.87%	2.05%	4.88%	2.46%	4.19%	1.11%	4.99%	2.39%	2.03%	0.68%	4.30%	2.18%	4.43%	1.87%	0.73%	1.51%	1.47%	1.25%	1.39%	0.78%	1.81%	1.99%	2.28%	1.65%	2.15%	0.94%	1.54%	2.17%	1.41%	6.42%					
