Выборы Президента Российской Федерации																																																		
Дата голосования: 18.03.2018																																																		
																																																		
Наименование Избирательной комиссии:    Судогодская																																																		
																																																		
Сводная таблица итогов голосования																																																		
																																																		
	Число участковых избирательных комиссий	39																																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	39																																																
																																																		
		Сумма	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625									
1	"Число избирателей, включенных в список избирателей"	31345	1668	1880	1653	1894	1590	1514	1066	1741	609	751	463	299	511	264	188	1382	707	616	338	957	1087	299	507	431	143	1015	774	1436	923	349	362	257	72	1271	1129	127	90	766	216									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30005	1600	1900	1600	1900	1500	1400	1000	1700	580	700	400	250	500	240	180	1300	700	600	300	900	1100	280	430	400	130	1000	700	1400	900	350	350	250	65	1200	1100	120	80	700	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17572	932	1009	804	1048	978	825	593	987	361	453	233	79	291	163	110	959	411	311	187	621	668	98	332	237	51	575	426	719	535	188	218	139	36	724	617	58	41	467	88									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1983	74	42	57	40	35	17	68	52	57	43	18	34	26	13	10	30	49	78	12	68	88	77	17	42	39	66	81	269	64	33	36	28	15	83	85	14	23	55	45									
6	Число погашенных избирательных бюллетеней	10450	594	849	739	812	487	558	339	661	162	204	149	137	183	64	60	311	240	211	101	211	344	105	81	121	40	359	193	412	301	129	96	83	14	393	398	48	16	178	67									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1983	74	42	57	40	35	17	68	52	57	43	18	34	26	13	10	30	49	78	12	68	88	77	17	42	39	66	81	269	64	33	36	28	15	83	85	14	23	55	45									
8	Число бюллетеней в стационарных ящиках для голосования	17572	932	1009	804	1048	978	825	593	987	361	453	233	79	291	163	110	959	411	311	187	621	668	98	332	237	51	575	426	719	535	188	218	139	36	724	617	58	41	467	88									
9	Число недействительных избирательных бюллетеней	198	8	14	10	16	6	10	4	9	4	4	6	1	1	3	0	12	7	3	4	9	8	1	5	3	0	4	8	5	1	0	2	1	0	13	9	0	0	3	4									
10	Число действительных избирательных бюллетеней	19357	998	1037	851	1072	1007	832	657	1030	414	492	245	112	316	173	120	977	453	386	195	680	748	174	344	276	90	637	499	983	598	221	252	166	51	794	693	72	64	519	129									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
13	Бабурин Сергей Николаевич	117	8	3	4	6	4	6	5	4	2	1	4	1	3	0	0	11	4	3	0	1	8	2	3	0	2	4	3	4	3	0	0	0	0	7	7	0	1	3	0									
		0.60%	0.80%	0.29%	0.46%	0.55%	0.39%	0.71%	0.76%	0.38%	0.48%	0.20%	1.59%	0.88%	0.95%	0.00%	0.00%	1.11%	0.87%	0.77%	0.00%	0.15%	1.06%	1.14%	0.86%	0.00%	2.22%	0.62%	0.59%	0.40%	0.50%	0.00%	0.00%	0.00%	0.00%	0.87%	0.99%	0.00%	1.56%	0.57%	0.00%									
14	Грудинин Павел Николаевич	2787	169	167	159	183	197	134	89	117	53	41	23	15	60	18	6	188	54	49	31	61	117	18	27	37	20	102	68	119	82	23	20	16	2	117	96	4	9	76	20									
		14.25%	16.80%	15.89%	18.47%	16.82%	19.45%	15.91%	13.46%	11.26%	12.68%	8.27%	9.16%	13.27%	18.93%	10.23%	5.00%	19.01%	11.74%	12.60%	15.58%	8.85%	15.48%	10.29%	7.74%	13.26%	22.22%	15.91%	13.41%	12.04%	13.69%	10.41%	7.87%	9.58%	3.92%	14.50%	13.68%	5.56%	14.06%	14.56%	15.04%									
15	Жириновский Владимир Вольфович	1636	79	84	59	71	83	77	65	107	50	50	26	13	21	19	14	65	51	33	16	51	44	16	16	21	7	46	39	91	53	16	21	14	3	72	73	11	8	29	22									
		8.37%	7.85%	7.99%	6.85%	6.53%	8.19%	9.14%	9.83%	10.30%	11.96%	10.08%	10.36%	11.50%	6.62%	10.80%	11.67%	6.57%	11.09%	8.48%	8.04%	7.40%	5.82%	9.14%	4.58%	7.53%	7.78%	7.18%	7.69%	9.21%	8.85%	7.24%	8.27%	8.38%	5.88%	8.92%	10.40%	15.28%	12.50%	5.56%	16.54%									
16	Путин Владимир Владимирович	14350	710	758	611	795	692	595	484	782	298	393	189	82	224	133	95	663	334	295	139	546	566	135	295	210	61	472	379	758	447	181	204	131	44	570	501	57	42	397	82									
		73.38%	70.58%	72.12%	70.96%	73.07%	68.31%	70.67%	73.22%	75.26%	71.29%	79.23%	75.30%	72.57%	70.66%	75.57%	79.17%	67.04%	72.61%	75.84%	69.85%	79.25%	74.87%	77.14%	84.53%	75.27%	67.78%	73.63%	74.75%	76.72%	74.62%	81.90%	80.31%	78.44%	86.27%	70.63%	71.37%	79.17%	65.63%	76.05%	61.65%									
17	Собчак Ксения Анатольевна	175	14	6	10	9	10	8	5	7	5	0	0	1	2	1	4	20	6	2	7	5	6	1	2	3	0	6	4	1	0	0	1	3	0	12	5	0	2	6	1									
		0.89%	1.39%	0.57%	1.16%	0.83%	0.99%	0.95%	0.76%	0.67%	1.20%	0.00%	0.00%	0.88%	0.63%	0.57%	3.33%	2.02%	1.30%	0.51%	3.52%	0.73%	0.79%	0.57%	0.57%	1.08%	0.00%	0.94%	0.79%	0.10%	0.00%	0.00%	0.39%	1.80%	0.00%	1.49%	0.71%	0.00%	3.13%	1.15%	0.75%									
18	Сурайкин Максим Александрович	112	4	6	4	5	9	6	4	6	2	3	0	0	4	1	0	6	2	1	0	5	1	0	0	4	0	3	1	4	10	0	4	2	2	4	4	0	0	3	2									
		0.57%	0.40%	0.57%	0.46%	0.46%	0.89%	0.71%	0.61%	0.58%	0.48%	0.60%	0.00%	0.00%	1.26%	0.57%	0.00%	0.61%	0.43%	0.26%	0.00%	0.73%	0.13%	0.00%	0.00%	1.43%	0.00%	0.47%	0.20%	0.40%	1.67%	0.00%	1.57%	1.20%	3.92%	0.50%	0.57%	0.00%	0.00%	0.57%	1.50%									
19	Титов Борис Юрьевич	96	9	6	4	0	7	4	4	2	4	3	2	0	0	0	0	12	0	3	2	3	4	2	1	1	0	3	5	2	3	0	1	0	0	2	4	0	1	1	1									
		0.49%	0.89%	0.57%	0.46%	0.00%	0.69%	0.48%	0.61%	0.19%	0.96%	0.60%	0.80%	0.00%	0.00%	0.00%	0.00%	1.21%	0.00%	0.77%	1.01%	0.44%	0.53%	1.14%	0.29%	0.36%	0.00%	0.47%	0.99%	0.20%	0.50%	0.00%	0.39%	0.00%	0.00%	0.25%	0.57%	0.00%	1.56%	0.19%	0.75%									
20	Явлинский Григорий Алексеевич	84	5	7	0	3	5	2	1	5	0	1	1	0	2	1	1	12	2	0	0	8	2	0	0	0	0	1	0	4	0	1	1	0	0	10	3	0	1	4	1									
		0.43%	0.50%	0.67%	0.00%	0.28%	0.49%	0.24%	0.15%	0.48%	0.00%	0.20%	0.40%	0.00%	0.63%	0.57%	0.83%	1.21%	0.43%	0.00%	0.00%	1.16%	0.26%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.40%	0.00%	0.45%	0.39%	0.00%	0.00%	1.24%	0.43%	0.00%	1.56%	0.77%	0.75%									
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
