Выборы Президента Российской Федерации																																																					
Дата голосования: 04.03.2012																																																					
																																																					
Наименование Избирательной комиссии:    Суздальская																																																					
																																																					
Сводная таблица итогов голосования																																																					
																																																					
	Число участковых избирательных комиссий	42																																																			
	Число участковых избирательных комиссий, приступивших к передаче сведений	42																																																			
																																																					
		Сумма	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №324	УИК №325	УИК №326	УИК №327	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342									
1	Число избирателей, включенных в список избирателей	34437	1646	1638	665	370	212	1322	1443	420	262	541	924	434	1364	283	161	711	718	486	1353	444	667	515	497	2127	204	861	1046	120	536	353	1699	136	262	125	631	490	584	1574	1088	1716	1955	1854									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	34140	1650	1650	660	370	200	1350	1440	400	250	540	910	430	1350	280	160	600	720	480	1340	420	660	500	470	2120	200	880	1070	110	530	360	1700	130	260	120	620	490	560	1570	1090	1680	1960	1860									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	16951	841	798	352	176	96	745	687	206	148	238	452	210	637	133	78	289	322	194	718	244	353	262	231	1104	121	382	478	52	238	151	829	71	117	56	293	189	303	774	558	869	1068	888									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	2125	75	62	22	24	20	10	42	54	21	38	60	17	67	23	20	116	52	16	82	35	53	29	53	123	16	88	114	19	60	50	90	9	55	19	83	29	13	102	46	109	26	83									
6	Число погашенных избирательных бюллетеней	15064	734	790	286	170	84	595	711	140	81	264	398	203	646	124	62	195	346	270	540	141	254	209	186	893	63	410	478	39	232	159	781	50	88	45	244	272	244	694	486	702	866	889									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2125	75	62	22	24	20	10	42	54	21	38	60	17	67	23	20	116	52	16	82	35	53	29	53	123	16	88	114	19	60	50	90	9	55	19	83	29	13	102	46	109	26	83									
8	Число бюллетеней в стационарных ящиках для голосования	16951	841	798	352	176	96	745	687	206	148	238	452	210	637	133	78	289	322	194	718	244	353	262	231	1104	121	382	478	52	238	151	829	71	117	56	293	189	303	774	558	869	1068	888									
9	Число недействительных избирательных бюллетеней	248	12	15	8	2	0	17	6	1	1	1	7	2	16	3	0	5	7	3	13	6	6	3	1	22	1	2	1	0	3	1	12	1	4	2	2	3	2	8	9	13	19	8									
10	Число действительных избирательных бюллетеней	18828	904	845	366	198	116	738	723	259	168	275	505	225	688	153	98	400	367	207	787	273	400	288	283	1205	136	468	591	71	295	200	907	79	168	73	374	215	314	868	595	965	1075	963									
11	Число полученных открепительных  удостоверений	494	15	15	5	5	5	35	10	5	5	5	10	8	12	3	5	5	15	5	30	10	15	5	5	15	5	25	30	5	5	10	21	5	5	5	10	8	15	20	12	20	25	20									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	314	15	6	2	1	0	35	3	4	1	1	7	6	11	2	0	2	4	0	4	3	13	3	4	15	5	25	19	1	1	7	19	2	1	1	6	4	4	15	11	11	20	20									
13	Число избирателей, проголосовавших по открепительным удостоверениям	327	8	15	5	5	5	11	7	8	2	4	8	3	4	3	0	6	5	1	9	6	3	8	9	8	1	2	5	3	4	1	13	4	8	1	7	2	8	29	9	56	13	18									
14	Число неиспользованных открепительных удостоверений	180	0	9	3	4	5	0	7	1	4	4	3	2	1	1	5	3	11	5	26	7	2	2	1	0	0	0	11	4	4	3	2	3	4	4	4	4	11	5	1	9	5	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
19	Жириновский Владимир Вольфович	1624	60	99	52	17	13	64	58	18	11	15	44	29	53	11	11	39	53	27	92	28	55	23	22	109	14	34	56	4	22	24	85	10	9	2	29	18	23	66	30	71	64	60									
		8.51%	6.55%	11.51%	13.90%	8.50%	11.21%	8.48%	7.96%	6.92%	6.51%	5.43%	8.59%	12.78%	7.53%	7.05%	11.22%	9.63%	14.17%	12.86%	11.50%	10.04%	13.55%	7.90%	7.75%	8.88%	10.22%	7.23%	9.46%	5.63%	7.38%	11.94%	9.25%	12.50%	5.23%	2.67%	7.71%	8.26%	7.28%	7.53%	4.97%	7.26%	5.85%	6.18%									
20	Зюганов Геннадий Андреевич	3482	179	132	75	35	19	151	107	46	11	49	99	36	121	26	16	71	49	29	93	43	59	24	45	189	19	87	120	13	55	39	209	11	25	13	47	44	76	202	152	240	217	209									
		18.25%	19.54%	15.35%	20.05%	17.50%	16.38%	20.00%	14.68%	17.69%	6.51%	17.75%	19.34%	15.86%	17.19%	16.67%	16.33%	17.53%	13.10%	13.81%	11.63%	15.41%	14.53%	8.25%	15.85%	15.40%	13.87%	18.51%	20.27%	18.31%	18.46%	19.40%	22.74%	13.75%	14.53%	17.33%	12.50%	20.18%	24.05%	23.06%	25.17%	24.54%	19.84%	21.52%									
21	Миронов Сергей Михайлович	1235	61	54	19	11	10	63	37	17	8	8	49	12	58	13	2	27	22	13	36	10	14	26	3	82	9	31	34	2	9	11	71	4	13	4	13	16	21	76	46	57	86	77									
		6.47%	6.66%	6.28%	5.08%	5.50%	8.62%	8.34%	5.08%	6.54%	4.73%	2.90%	9.57%	5.29%	8.24%	8.33%	2.04%	6.67%	5.88%	6.19%	4.50%	3.58%	3.45%	8.93%	1.06%	6.68%	6.57%	6.60%	5.74%	2.82%	3.02%	5.47%	7.73%	5.00%	7.56%	5.33%	3.46%	7.34%	6.65%	8.68%	7.62%	5.83%	7.86%	7.93%									
22	Прохоров Михаил Дмитриевич	1893	123	99	36	18	13	89	84	24	12	19	48	20	90	17	8	40	25	13	87	35	37	29	13	110	8	26	26	7	15	19	95	9	17	2	26	9	38	100	52	120	150	85									
		9.92%	13.43%	11.51%	9.63%	9.00%	11.21%	11.79%	11.52%	9.23%	7.10%	6.88%	9.38%	8.81%	12.78%	10.90%	8.16%	9.88%	6.68%	6.19%	10.88%	12.54%	9.11%	9.97%	4.58%	8.96%	5.84%	5.53%	4.39%	9.86%	5.03%	9.45%	10.34%	11.25%	9.88%	2.67%	6.91%	4.13%	12.03%	11.42%	8.61%	12.27%	13.71%	8.75%									
