Выборы Президента Российской Федерации																																						
Дата голосования: 18.03.2018																																						
																																						
Наименование Избирательной комиссии:    Даниловская																																						
																																						
Сводная таблица итогов голосования																																						
																																						
	Число участковых избирательных комиссий	27																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	27																																				
																																						
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327									
1	"Число избирателей, включенных в список избирателей"	11916	1655	2523	135	103	363	509	80	593	150	136	836	104	83	429	619	147	492	74	100	400	162	80	764	348	374	574	83									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10240	1300	1900	150	100	350	450	100	500	150	110	650	110	90	450	650	150	400	70	100	350	150	80	600	300	380	500	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6514	878	1395	84	72	225	256	45	322	105	65	389	78	44	268	382	97	236	52	67	230	70	54	367	151	206	328	48									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1698	140	232	10	10	39	141	10	80	13	24	160	26	32	78	111	21	55	12	19	47	45	12	141	65	86	77	12									
6	Число погашенных избирательных бюллетеней	2028	282	273	56	18	86	53	45	98	32	21	101	6	14	104	157	32	109	6	14	73	35	14	92	84	88	95	40									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1698	140	232	10	10	39	141	10	80	13	24	160	26	32	78	111	21	55	12	19	47	45	12	141	65	86	77	12									
8	Число бюллетеней в стационарных ящиках для голосования	6514	878	1395	84	72	225	256	45	322	105	65	389	78	44	268	382	97	236	52	67	230	70	54	367	151	206	328	48									
9	Число недействительных избирательных бюллетеней	53	8	8	0	1	3	1	0	2	0	0	3	0	2	6	2	2	0	0	0	3	0	2	1	3	4	2	0									
10	Число действительных избирательных бюллетеней	8159	1010	1619	94	81	261	396	55	400	118	89	546	104	74	340	491	116	291	64	86	274	115	64	507	213	288	403	60									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
13	Бабурин Сергей Николаевич	46	3	4	1	0	1	5	0	2	0	1	3	0	0	3	7	3	0	0	1	0	2	1	6	2	0	1	0									
		0.56%	0.29%	0.25%	1.06%	0.00%	0.38%	1.26%	0.00%	0.50%	0.00%	1.12%	0.55%	0.00%	0.00%	0.87%	1.42%	2.54%	0.00%	0.00%	1.16%	0.00%	1.74%	1.52%	1.18%	0.93%	0.00%	0.25%	0.00%									
14	Грудинин Павел Николаевич	1422	241	364	29	7	37	91	8	61	20	8	56	15	6	42	77	13	53	5	14	45	20	4	65	32	44	52	13									
		17.32%	23.67%	22.37%	30.85%	8.54%	14.02%	22.92%	14.55%	15.17%	16.95%	8.99%	10.20%	14.42%	7.89%	12.14%	15.62%	11.02%	18.21%	7.81%	16.28%	16.25%	17.39%	6.06%	12.80%	14.81%	15.07%	12.84%	21.67%									
15	Жириновский Владимир Вольфович	687	65	115	6	17	12	31	3	52	27	6	39	6	6	34	52	12	23	6	9	22	12	2	35	39	18	36	2									
		8.37%	6.39%	7.07%	6.38%	20.73%	4.55%	7.81%	5.45%	12.94%	22.88%	6.74%	7.10%	5.77%	7.89%	9.83%	10.55%	10.17%	7.90%	9.38%	10.47%	7.94%	10.43%	3.03%	6.89%	18.06%	6.16%	8.89%	3.33%									
16	Путин Владимир Владимирович	5810	673	1089	58	56	206	257	41	273	67	73	442	79	61	252	346	85	211	51	60	199	78	57	397	137	212	305	45									
		70.75%	66.11%	66.93%	61.70%	68.29%	78.03%	64.74%	74.55%	67.91%	56.78%	82.02%	80.51%	75.96%	80.26%	72.83%	70.18%	72.03%	72.51%	79.69%	69.77%	71.84%	67.83%	86.36%	78.15%	63.43%	72.60%	75.31%	75.00%									
17	Собчак Ксения Анатольевна	51	2	16	0	0	1	4	0	5	0	0	0	1	0	1	3	2	1	0	2	2	1	0	1	2	4	3	0									
		0.62%	0.20%	0.98%	0.00%	0.00%	0.38%	1.01%	0.00%	1.24%	0.00%	0.00%	0.00%	0.96%	0.00%	0.29%	0.61%	1.69%	0.34%	0.00%	2.33%	0.72%	0.87%	0.00%	0.20%	0.93%	1.37%	0.74%	0.00%									
18	Сурайкин Максим Александрович	85	14	13	0	1	2	7	3	6	2	1	2	2	1	6	4	1	1	1	0	4	1	0	2	1	6	4	0									
		1.04%	1.38%	0.80%	0.00%	1.22%	0.76%	1.76%	5.45%	1.49%	1.69%	1.12%	0.36%	1.92%	1.32%	1.73%	0.81%	0.85%	0.34%	1.56%	0.00%	1.44%	0.87%	0.00%	0.39%	0.46%	2.05%	0.99%	0.00%									
19	Титов Борис Юрьевич	37	7	14	0	0	1	0	0	1	2	0	0	1	0	1	2	0	1	1	0	2	1	0	0	0	2	1	0									
		0.45%	0.69%	0.86%	0.00%	0.00%	0.38%	0.00%	0.00%	0.25%	1.69%	0.00%	0.00%	0.96%	0.00%	0.29%	0.41%	0.00%	0.34%	1.56%	0.00%	0.72%	0.87%	0.00%	0.00%	0.00%	0.68%	0.25%	0.00%									
20	Явлинский Григорий Алексеевич	21	5	4	0	0	1	1	0	0	0	0	4	0	0	1	0	0	1	0	0	0	0	0	1	0	2	1	0									
		0.26%	0.49%	0.25%	0.00%	0.00%	0.38%	0.25%	0.00%	0.00%	0.00%	0.00%	0.73%	0.00%	0.00%	0.29%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.68%	0.25%	0.00%									
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
