Выборы Президента Российской Федерации																																				
Дата голосования: 18.03.2018																																				
																																				
Наименование Избирательной комиссии:    Ленинская																																				
																																				
Сводная таблица итогов голосования																																				
																																				
	Число участковых избирательных комиссий	25																																		
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	25																																		
																																				
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425									
1	"Число избирателей, включенных в список избирателей"	20424	1527	1565	1087	1324	1557	1544	1403	558	798	928	1135	1541	957	307	607	470	234	110	345	537	470	182	388	384	466									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21888	1500	1600	1050	1400	1600	1600	1450	600	750	1000	1300	1700	1100	400	700	550	250	120	300	750	550	200	500	450	468									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11086	920	832	501	717	825	769	674	380	313	567	564	723	545	143	339	235	96	68	142	356	296	101	257	258	465									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2010	85	61	122	87	88	92	71	28	161	104	116	215	74	53	44	60	76	20	83	117	53	41	89	70	0									
6	Число погашенных избирательных бюллетеней	8792	495	707	427	596	687	739	705	192	276	329	620	762	481	204	317	255	78	32	75	277	201	58	154	122	3									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2010	85	61	122	87	88	92	71	28	161	104	116	215	74	53	44	60	76	20	83	117	53	41	89	70	0									
8	Число бюллетеней в стационарных ящиках для голосования	11086	920	832	501	717	825	769	674	380	313	567	564	723	545	143	339	235	96	68	142	356	296	101	257	258	465									
9	Число недействительных избирательных бюллетеней	283	5	6	10	8	7	8	3	4	171	5	10	8	7	1	3	2	2	0	0	3	0	0	2	2	16									
10	Число действительных избирательных бюллетеней	12813	1000	887	613	796	906	853	742	404	303	666	670	930	612	195	380	293	170	88	225	470	349	142	344	326	449									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
13	Бабурин Сергей Николаевич	68	6	4	5	5	3	6	5	1	1	5	4	6	3	0	2	1	3	2	4	0	0	0	0	0	2									
		0.52%	0.60%	0.45%	0.80%	0.62%	0.33%	0.70%	0.67%	0.25%	0.21%	0.75%	0.59%	0.64%	0.48%	0.00%	0.52%	0.34%	1.74%	2.27%	1.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%									
14	Грудинин Павел Николаевич	1710	151	149	77	119	124	126	111	75	51	94	68	110	72	25	54	63	15	8	28	85	25	10	29	26	15									
		13.06%	15.02%	16.69%	12.36%	14.80%	13.58%	14.63%	14.90%	18.38%	10.76%	14.01%	10.00%	11.73%	11.63%	12.76%	14.10%	21.36%	8.72%	9.09%	12.44%	17.97%	7.16%	7.04%	8.38%	7.93%	3.23%									
15	Жириновский Владимир Вольфович	947	66	73	47	65	90	76	61	21	22	35	42	78	49	13	28	14	15	10	8	22	10	0	12	16	74									
		7.23%	6.57%	8.17%	7.54%	8.08%	9.86%	8.83%	8.19%	5.15%	4.64%	5.22%	6.18%	8.32%	7.92%	6.63%	7.31%	4.75%	8.72%	11.36%	3.56%	4.65%	2.87%	0.00%	3.47%	4.88%	15.91%									
16	Путин Владимир Владимирович	9744	744	639	465	591	669	623	547	298	224	523	538	713	468	152	291	212	136	68	182	359	307	127	298	276	294									
		74.40%	74.03%	71.56%	74.64%	73.51%	73.27%	72.36%	73.42%	73.04%	47.26%	77.94%	79.12%	76.01%	75.61%	77.55%	75.98%	71.86%	79.07%	77.27%	80.89%	75.90%	87.97%	89.44%	86.13%	84.15%	63.23%									
17	Собчак Ксения Анатольевна	136	7	6	7	5	5	11	6	2	1	4	5	7	7	2	1	0	1	0	1	1	6	3	2	2	44									
		1.04%	0.70%	0.67%	1.12%	0.62%	0.55%	1.28%	0.81%	0.49%	0.21%	0.60%	0.74%	0.75%	1.13%	1.02%	0.26%	0.00%	0.58%	0.00%	0.44%	0.21%	1.72%	2.11%	0.58%	0.61%	9.46%									
18	Сурайкин Максим Александрович	93	13	5	6	4	10	1	4	4	2	4	7	6	6	3	3	1	0	0	0	2	1	2	1	3	5									
		0.71%	1.29%	0.56%	0.96%	0.50%	1.10%	0.12%	0.54%	0.98%	0.42%	0.60%	1.03%	0.64%	0.97%	1.53%	0.78%	0.34%	0.00%	0.00%	0.00%	0.42%	0.29%	1.41%	0.29%	0.91%	1.08%									
19	Титов Борис Юрьевич	53	5	4	2	1	3	5	4	2	1	0	2	4	2	0	1	0	0	0	1	0	0	0	2	1	13									
		0.40%	0.50%	0.45%	0.32%	0.12%	0.33%	0.58%	0.54%	0.49%	0.21%	0.00%	0.29%	0.43%	0.32%	0.00%	0.26%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.58%	0.30%	2.80%									
20	Явлинский Григорий Алексеевич	62	8	7	4	6	2	5	4	1	1	1	4	6	5	0	0	2	0	0	1	1	0	0	0	2	2									
		0.47%	0.80%	0.78%	0.64%	0.75%	0.22%	0.58%	0.54%	0.25%	0.21%	0.15%	0.59%	0.64%	0.81%	0.00%	0.00%	0.68%	0.00%	0.00%	0.44%	0.21%	0.00%	0.00%	0.00%	0.61%	0.43%									
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
