Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Николаевская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203					
1	"Число избирателей, внесенных в список"	24989	2445	2478	2370	2610	2536	234	989	1362	975	121	910	296	1167	623	593	1057	1167	181	1028	846	224	777					
2	Число полученных избирательных бюллетеней	25250	2400	2500	2500	2550	2600	240	1020	1400	950	120	930	330	1120	610	610	1070	1140	180	1060	890	240	790					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12804	1205	1248	1231	1267	1222	78	449	653	610	77	395	158	688	361	301	514	653	105	544	472	138	435					
5	"Число избирательных бюллетеней, выданных вне помещения"	984	94	46	44	50	72	75	111	64	18	0	83	10	12	26	22	95	57	15	16	44	3	27					
6	Число погашенных избирательных бюллетеней	11462	1101	1206	1225	1233	1306	87	460	683	322	43	452	162	420	223	287	461	430	60	500	374	99	328					
7	Число избирательных бюллетеней в переносных ящиках	984	94	46	44	50	72	75	111	64	18	0	83	10	12	26	22	95	57	15	16	44	3	27					
8	Число бюллетеней в стационарных ящиках для голосования	12803	1205	1248	1231	1267	1221	78	449	653	610	77	395	158	688	361	301	514	653	105	544	472	138	435					
9	Число недействительных избирательных бюллетеней	117	9	15	2	4	2	1	8	15	9	0	1	3	6	2	3	3	9	2	9	9	2	3					
10	Число действительных избирательных бюллетеней	13670	1290	1279	1273	1313	1291	152	552	702	619	77	477	165	694	385	320	606	701	118	551	507	139	459					
11	Число полученных открепительных  удостоверений	393	40	40	40	40	35	5	15	15	15	5	15	15	15	10	10	15	15	5	15	15	5	8					
12	Число выданных открепительных удостоверений	133	8	13	10	9	29	0	10	2	2	0	9	3	4	1	9	4	0	0	6	13	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	67	2	3	38	2	2	1	2	1	1	0	0	0	4	1	0	1	3	1	2	1	1	1					
14	Число неиспользованных открепительных удостоверений	260	32	27	30	31	6	5	5	13	13	5	6	12	11	9	1	11	15	5	9	2	5	7					
15	"Число открепительных удостоверений, выданных в ТИК"	7	2	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	446	57	64	54	60	63	3	10	20	18	4	9	3	16	4	4	7	8	2	20	14	3	3					
		3.23%	4.39%	4.95%	4.24%	4.56%	4.87%	1.96%	1.79%	2.79%	2.87%	5.19%	1.88%	1.79%	2.29%	1.03%	1.24%	1.15%	1.13%	1.67%	3.57%	2.71%	2.13%	0.65%					
19	. Малышкин Олег Александрович	320	24	36	16	34	38	4	9	14	11	0	15	9	18	10	4	15	6	5	20	11	5	16					
		2.32%	1.85%	2.78%	1.25%	2.58%	2.94%	2.61%	1.61%	1.95%	1.75%	0.00%	3.14%	5.36%	2.57%	2.58%	1.24%	2.46%	0.85%	4.17%	3.57%	2.13%	3.55%	3.46%					
20	. Миронов Сергей Михайлович	77	2	5	10	8	16	1	1	4	1	1	2	0	4	2	1	8	0	1	4	5	0	1					
		0.56%	0.15%	0.39%	0.78%	0.61%	1.24%	0.65%	0.18%	0.56%	0.16%	1.30%	0.42%	0.00%	0.57%	0.52%	0.31%	1.31%	0.00%	0.83%	0.71%	0.97%	0.00%	0.22%					
21	. Путин Владимир Владимирович	8236	758	733	746	777	760	68	357	403	327	58	254	84	452	234	223	393	523	61	322	336	96	271					
		59.74%	58.35%	56.65%	58.51%	59.00%	58.78%	44.44%	63.75%	56.21%	52.07%	75.32%	53.14%	50.00%	64.57%	60.47%	69.04%	64.53%	73.66%	50.83%	57.50%	65.12%	68.09%	58.66%					
22	. Хакамада Ирина Муцуовна	315	28	26	37	29	33	3	9	16	8	4	21	2	14	11	4	10	22	2	13	4	5	14					
		2.28%	2.16%	2.01%	2.90%	2.20%	2.55%	1.96%	1.61%	2.23%	1.27%	5.19%	4.39%	1.19%	2.00%	2.84%	1.24%	1.64%	3.10%	1.67%	2.32%	0.78%	3.55%	3.03%					
23	. Харитонов Николай Михайлович	3975	401	379	371	367	336	73	164	234	240	10	161	65	180	116	81	156	135	46	159	124	30	147					
		28.83%	30.87%	29.29%	29.10%	27.87%	25.99%	47.71%	29.29%	32.64%	38.22%	12.99%	33.68%	38.69%	25.71%	29.97%	25.08%	25.62%	19.01%	38.33%	28.39%	24.03%	21.28%	31.82%					
																													
24	Против всех	301	20	36	39	38	45	0	2	11	14	0	15	2	10	8	3	17	7	1	13	13	0	7					
		2.18%	1.54%	2.78%	3.06%	2.89%	3.48%	0.00%	0.36%	1.53%	2.23%	0.00%	3.14%	1.19%	1.43%	2.07%	0.93%	2.79%	0.99%	0.83%	2.32%	2.52%	0.00%	1.52%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
