Выборы Президента Российской Федерации																																
Дата голосования: 18.03.2018																																
																																
Наименование Избирательной комиссии:    Фроловская городская																																
																																
Сводная таблица итогов голосования																																
																																
	Число участковых избирательных комиссий	21																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	21																														
																																
		Сумма	УИК №4601	УИК №4602	УИК №4603	УИК №4604	УИК №4605	УИК №4606	УИК №4607	УИК №4608	УИК №4609	УИК №4610	УИК №4611	УИК №4612	УИК №4613	УИК №4614	УИК №4615	УИК №4616	УИК №4617	УИК №4618	УИК №4619	УИК №4620	УИК №4621									
1	"Число избирателей, включенных в список избирателей"	27912	1279	1259	1153	1274	1226	1118	1485	1557	1357	1238	1350	1454	1415	1289	1544	1355	1392	1119	1202	1623	1223									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23612	1100	1000	956	950	1156	900	1200	1300	1200	1150	1200	1200	1200	1100	1300	1100	1100	1000	1000	1500	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16330	867	779	593	707	595	582	929	964	926	719	798	931	897	748	918	932	766	569	619	849	642									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4307	167	97	199	191	270	211	268	207	202	178	108	166	194	155	250	145	265	256	302	279	197									
6	Число погашенных избирательных бюллетеней	2975	66	124	164	52	291	107	3	129	72	253	294	103	109	197	132	23	69	175	79	372	161									
7	Число избирательных бюллетеней в переносных ящиках для голосования	4307	167	97	199	191	270	211	268	207	202	178	108	166	194	155	250	145	265	256	302	279	197									
8	Число бюллетеней в стационарных ящиках для голосования	16329	867	779	593	707	595	582	929	964	926	719	798	931	897	748	918	932	766	569	619	848	642									
9	Число недействительных избирательных бюллетеней	76	6	2	5	6	5	0	1	0	6	8	4	7	4	6	4	6	3	0	0	3	0									
10	Число действительных избирательных бюллетеней	20560	1028	874	787	892	860	793	1196	1171	1122	889	902	1090	1087	897	1164	1071	1028	825	921	1124	839									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
13	Бабурин Сергей Николаевич	94	7	3	4	3	7	3	4	5	6	8	4	7	5	3	5	3	5	0	3	9	0									
		0.46%	0.68%	0.34%	0.51%	0.33%	0.81%	0.38%	0.33%	0.43%	0.53%	0.89%	0.44%	0.64%	0.46%	0.33%	0.43%	0.28%	0.48%	0.00%	0.33%	0.80%	0.00%									
14	Грудинин Павел Николаевич	2194	120	92	98	90	103	70	106	135	153	83	128	118	124	75	105	98	115	94	119	79	89									
		10.63%	11.61%	10.50%	12.37%	10.02%	11.91%	8.83%	8.86%	11.53%	13.56%	9.25%	14.13%	10.76%	11.37%	8.31%	8.99%	9.10%	11.15%	11.39%	12.92%	7.01%	10.61%									
15	Жириновский Владимир Вольфович	897	47	31	56	43	50	32	57	43	33	42	47	49	37	25	53	67	25	55	49	40	16									
		4.35%	4.55%	3.54%	7.07%	4.79%	5.78%	4.04%	4.76%	3.67%	2.93%	4.68%	5.19%	4.47%	3.39%	2.77%	4.54%	6.22%	2.42%	6.67%	5.32%	3.55%	1.91%									
16	Путин Владимир Владимирович	17079	836	735	612	749	687	681	1008	969	907	736	707	893	896	783	993	896	875	660	743	982	731									
		82.76%	80.85%	83.90%	77.27%	83.41%	79.42%	85.88%	84.21%	82.75%	80.41%	82.05%	78.04%	81.40%	82.13%	86.71%	85.02%	83.19%	84.87%	80.00%	80.67%	87.13%	87.13%									
17	Собчак Ксения Анатольевна	106	6	3	5	0	10	2	9	6	12	6	11	6	7	5	2	1	3	2	3	4	3									
		0.51%	0.58%	0.34%	0.63%	0.00%	1.16%	0.25%	0.75%	0.51%	1.06%	0.67%	1.21%	0.55%	0.64%	0.55%	0.17%	0.09%	0.29%	0.24%	0.33%	0.35%	0.36%									
18	Сурайкин Максим Александрович	93	5	6	6	3	1	3	6	4	5	5	3	12	13	1	6	2	1	5	2	4	0									
		0.45%	0.48%	0.68%	0.76%	0.33%	0.12%	0.38%	0.50%	0.34%	0.44%	0.56%	0.33%	1.09%	1.19%	0.11%	0.51%	0.19%	0.10%	0.61%	0.22%	0.35%	0.00%									
19	Титов Борис Юрьевич	38	2	4	2	3	1	0	1	5	0	4	2	2	1	0	0	3	1	4	1	2	0									
		0.18%	0.19%	0.46%	0.25%	0.33%	0.12%	0.00%	0.08%	0.43%	0.00%	0.45%	0.22%	0.18%	0.09%	0.00%	0.00%	0.28%	0.10%	0.48%	0.11%	0.18%	0.00%									
20	Явлинский Григорий Алексеевич	59	5	0	4	1	1	2	5	4	6	5	0	3	4	5	0	1	3	5	1	4	0									
		0.29%	0.48%	0.00%	0.51%	0.11%	0.12%	0.25%	0.42%	0.34%	0.53%	0.56%	0.00%	0.27%	0.37%	0.55%	0.00%	0.09%	0.29%	0.61%	0.11%	0.35%	0.00%									
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
