Выборы Президента Российской Федерации																																											
Дата голосования: 04.03.2012																																											
																																											
Наименование Избирательной комиссии:    Бабаевская																																											
																																											
Сводная таблица итогов голосования																																											
																																											
	Число участковых избирательных комиссий	32																																									
	Число участковых избирательных комиссий, приступивших к передаче сведений	32																																									
																																											
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33									
1	Число избирателей, включенных в список избирателей	18938	1194	1202	1106	1062	1055	1144	1084	1237	1287	192	1751	128	191	347	122	360	266	184	382	391	91	536	298	54	674	457	196	478	239	555	487	188									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	17332	1000	1000	1000	1000	1000	1000	1000	1000	1000	200	1500	140	200	300	134	350	250	200	400	400	108	550	300	60	700	450	190	500	200	550	450	200									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	9747	638	691	597	682	663	609	503	605	678	73	801	35	86	217	67	198	139	67	146	212	49	225	129	42	346	234	113	205	114	267	233	83									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	1930	68	59	30	31	37	38	32	80	60	60	218	58	58	11	18	69	78	57	105	66	15	87	28	6	62	66	42	151	41	64	97	38									
6	Число погашенных избирательных бюллетеней	5655	294	250	373	287	300	353	465	315	262	67	481	47	56	72	49	83	33	76	149	122	44	238	143	12	292	150	35	144	45	219	120	79									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1930	68	59	30	31	37	38	32	80	60	60	218	58	58	11	18	69	78	57	105	66	15	87	28	6	62	66	42	151	41	64	97	38									
8	Число бюллетеней в стационарных ящиках для голосования	9747	638	691	597	682	663	609	503	605	678	73	801	35	86	217	67	198	139	67	146	212	49	225	129	42	346	234	113	205	114	267	233	83									
9	Число недействительных избирательных бюллетеней	109	10	5	5	9	12	4	9	8	6	0	8	1	0	2	0	0	3	1	0	0	0	2	0	0	6	0	4	4	0	4	5	1									
10	Число действительных избирательных бюллетеней	11568	696	745	622	704	688	643	526	677	732	133	1011	92	144	226	85	267	214	123	251	278	64	310	157	48	402	300	151	352	155	327	325	120									
11	Число полученных открепительных  удостоверений	593	5	14	15	15	11	15	5	13	10	7	50	10	14	7	13	15	30	18	43	47	15	25	5	5	35	12	20	58	5	19	19	18									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	559	5	14	15	14	11	9	5	13	7	6	50	10	14	7	9	10	30	16	43	47	15	25	5	5	35	11	16	58	2	19	19	14									
13	Число избирателей, проголосовавших по открепительным удостоверениям	358	52	35	17	47	15	14	15	16	24	4	23	3	6	5	1	12	4	3	10	6	1	4	2	2	3	3	4	8	9	2	7	1									
14	Число неиспользованных открепительных удостоверений	34	0	0	0	1	0	6	0	0	3	1	0	0	0	0	4	5	0	2	0	0	0	0	0	0	0	1	4	0	3	0	0	4									
15	Число открепительных удостоверений, выданных избирателям ТИК	126	7	6	5	2	4	2	1	4	8	3	11	1	5	1	1	10	5	3	3	5	0	2	6	0	10	13	0	3	1	1	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	Жириновский Владимир Вольфович	886	48	69	45	58	58	54	38	52	64	12	75	3	20	20	13	13	25	11	30	16	6	21	3	1	23	28	11	26	7	15	18	3									
		7.59%	6.80%	9.20%	7.18%	8.13%	8.29%	8.35%	7.10%	7.59%	8.67%	9.02%	7.36%	3.23%	13.89%	8.77%	15.29%	4.87%	11.52%	8.87%	11.95%	5.76%	9.38%	6.73%	1.91%	2.08%	5.64%	9.33%	7.10%	7.30%	4.52%	4.53%	5.45%	2.48%									
20	Зюганов Геннадий Андреевич	1530	109	119	82	105	93	81	83	94	102	11	147	4	10	15	9	35	24	6	28	26	4	53	7	10	42	55	19	39	17	41	32	28									
		13.10%	15.44%	15.87%	13.08%	14.73%	13.29%	12.52%	15.51%	13.72%	13.82%	8.27%	14.43%	4.30%	6.94%	6.58%	10.59%	13.11%	11.06%	4.84%	11.16%	9.35%	6.25%	16.99%	4.46%	20.83%	10.29%	18.33%	12.26%	10.96%	10.97%	12.39%	9.70%	23.14%									
21	Миронов Сергей Михайлович	775	64	57	55	63	69	62	34	42	64	8	63	6	5	10	10	10	5	3	11	13	3	10	8	1	19	14	10	14	8	19	10	5									
		6.64%	9.07%	7.60%	8.77%	8.84%	9.86%	9.58%	6.36%	6.13%	8.67%	6.02%	6.18%	6.45%	3.47%	4.39%	11.76%	3.75%	2.30%	2.42%	4.38%	4.68%	4.69%	3.21%	5.10%	2.08%	4.66%	4.67%	6.45%	3.93%	5.16%	5.74%	3.03%	4.13%									
22	Прохоров Михаил Дмитриевич	701	51	63	59	42	59	49	39	38	49	4	75	3	7	9	1	6	4	4	14	14	3	8	3	6	12	11	7	17	3	23	16	2									
		6.00%	7.22%	8.40%	9.41%	5.89%	8.43%	7.57%	7.29%	5.55%	6.64%	3.01%	7.36%	3.23%	4.86%	3.95%	1.18%	2.25%	1.84%	3.23%	5.58%	5.04%	4.69%	2.56%	1.91%	12.50%	2.94%	3.67%	4.52%	4.78%	1.94%	6.95%	4.85%	1.65%									
23	Путин Владимир Владимирович	7676	424	437	381	436	409	397	332	451	453	98	651	76	102	172	52	203	156	99	168	209	48	218	136	30	306	192	104	256	120	229	249	82									
		65.74%	60.06%	58.27%	60.77%	61.15%	58.43%	61.36%	62.06%	65.84%	61.38%	73.68%	63.89%	81.72%	70.83%	75.44%	61.18%	76.03%	71.89%	79.84%	66.93%	75.18%	75.00%	69.87%	86.62%	62.50%	75.00%	64.00%	67.10%	71.91%	77.42%	69.18%	75.45%	67.77%									
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
