Выборы Президента Российской Федерации																																							
Дата голосования: 18.03.2018																																							
																																							
Наименование Избирательной комиссии:    Верховажская																																							
																																							
Сводная таблица итогов голосования																																							
																																							
	Число участковых избирательных комиссий	28																																					
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	28																																					
																																							
		Сумма	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179									
1	"Число избирателей, включенных в список избирателей"	11283	1605	1311	1083	425	560	161	346	139	154	400	389	208	125	529	89	154	632	188	83	90	192	279	73	892	105	432	302	337									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11370	1600	1300	1100	430	550	160	350	150	150	420	400	230	100	520	100	140	630	190	90	80	200	290	80	900	100	440	320	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6263	913	718	604	245	319	88	210	87	72	226	252	119	74	266	55	80	359	98	40	55	92	141	43	467	44	246	171	179									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1305	88	83	88	43	82	4	37	10	18	63	53	20	17	81	16	37	85	16	5	8	15	65	11	162	30	69	46	53									
6	Число погашенных избирательных бюллетеней	3802	599	499	408	142	149	68	103	53	60	131	95	91	9	173	29	23	186	76	45	17	93	84	26	271	26	125	103	118									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1305	88	83	88	43	82	4	37	10	18	63	53	20	17	81	16	37	85	16	5	8	15	65	11	162	30	69	46	53									
8	Число бюллетеней в стационарных ящиках для голосования	6263	913	718	604	245	319	88	210	87	72	226	252	119	74	266	55	80	359	98	40	55	92	141	43	467	44	246	171	179									
9	Число недействительных избирательных бюллетеней	61	6	9	11	2	1	0	2	1	0	0	5	2	1	7	0	1	3	0	0	2	1	1	0	4	0	0	1	1									
10	Число действительных избирательных бюллетеней	7507	995	792	681	286	400	92	245	96	90	289	300	137	90	340	71	116	441	114	45	61	106	205	54	625	74	315	216	231									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
13	Бабурин Сергей Николаевич	61	8	9	5	4	0	0	1	0	1	4	2	1	0	5	1	3	6	0	0	0	0	2	0	5	1	1	1	1									
		0.81%	0.80%	1.12%	0.72%	1.39%	0.00%	0.00%	0.40%	0.00%	1.11%	1.38%	0.66%	0.72%	0.00%	1.44%	1.41%	2.56%	1.35%	0.00%	0.00%	0.00%	0.00%	0.97%	0.00%	0.79%	1.35%	0.32%	0.46%	0.43%									
14	Грудинин Павел Николаевич	949	178	116	108	27	14	26	45	5	8	28	36	6	10	48	19	15	58	19	3	5	14	38	6	55	16	21	15	10									
		12.54%	17.78%	14.48%	15.61%	9.38%	3.49%	28.26%	18.22%	5.15%	8.89%	9.69%	11.80%	4.32%	10.99%	13.83%	26.76%	12.82%	13.06%	16.67%	6.67%	7.94%	13.08%	18.45%	11.11%	8.74%	21.62%	6.67%	6.91%	4.31%									
