Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Кичменгско-городецкая																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597					
1	"Число избирателей, внесенных в список"	16021	534	377	652	204	308	766	858	187	222	870	200	212	661	132	331	310	138	2984	2334	231	955	226	238	361	659	279	436	356					
2	Число полученных избирательных бюллетеней	15990	540	380	650	210	310	770	850	190	230	860	200	210	660	130	330	310	140	2970	2280	220	950	240	250	360	670	280	440	360					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9449	175	251	276	88	164	564	580	145	146	412	107	130	398	92	106	221	90	1757	1409	169	660	135	149	274	268	234	215	234					
5	"Число избирательных бюллетеней, выданных вне помещения"	2004	179	16	247	78	68	25	29	11	38	147	59	50	57	5	149	21	23	145	106	10	24	38	29	24	217	8	130	71					
6	Число погашенных избирательных бюллетеней	4537	186	113	127	44	78	181	241	34	46	301	34	30	205	33	75	68	27	1068	765	41	266	67	72	62	185	38	95	55					
7	Число избирательных бюллетеней в переносных ящиках	2004	179	16	247	78	68	25	29	11	38	147	59	50	57	5	149	21	23	145	106	10	24	38	29	24	217	8	130	71					
8	Число бюллетеней в стационарных ящиках для голосования	9449	175	251	276	88	164	564	580	145	146	412	107	130	398	92	106	221	90	1757	1409	169	660	135	149	274	268	234	215	234					
9	Число недействительных избирательных бюллетеней	81	1	2	5	1	1	5	3	1	2	8	2	1	5	2	0	1	2	16	10	2	1	0	2	1	4	2	1	0					
10	Число действительных избирательных бюллетеней	11372	353	265	518	165	231	584	606	155	182	551	164	179	450	95	255	241	111	1886	1505	177	683	173	176	297	481	240	344	305					
11	Число полученных открепительных  удостоверений	295	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	5	30	15	5	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	46	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	19	10	0	2	1	0	1	5	0	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	3	0	2	1	5	2	0	1	2	0	0	0	1	2	0	4	0	6	0	1	1	0	2	1	4	1	1	4					
14	Число неиспользованных открепительных удостоверений	249	10	10	10	10	10	10	7	10	10	9	10	10	9	10	10	10	5	11	5	5	8	9	10	9	5	10	8	9					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	199	2	1	3	6	2	8	6	3	9	10	4	3	11	0	5	2	0	43	42	1	5	4	4	3	6	1	9	6					
		1.74%	0.56%	0.37%	0.57%	3.61%	0.86%	1.36%	0.99%	1.92%	4.89%	1.79%	2.41%	1.67%	2.42%	0.00%	1.96%	0.83%	0.00%	2.26%	2.77%	0.56%	0.73%	2.31%	2.25%	1.01%	1.24%	0.41%	2.61%	1.97%					
19	. Малышкин Олег Александрович	203	8	3	7	4	5	8	7	0	5	10	4	4	11	0	0	2	0	40	32	1	10	6	7	4	9	6	8	2					
		1.77%	2.26%	1.12%	1.34%	2.41%	2.16%	1.36%	1.15%	0.00%	2.72%	1.79%	2.41%	2.22%	2.42%	0.00%	0.00%	0.83%	0.00%	2.10%	2.11%	0.56%	1.46%	3.47%	3.93%	1.34%	1.86%	2.48%	2.32%	0.66%					
20	. Миронов Сергей Михайлович	63	2	3	4	1	0	4	4	0	1	1	2	0	5	1	6	0	0	10	5	0	4	0	0	3	3	0	2	2					
		0.55%	0.56%	1.12%	0.76%	0.60%	0.00%	0.68%	0.66%	0.00%	0.54%	0.18%	1.20%	0.00%	1.10%	1.03%	2.35%	0.00%	0.00%	0.53%	0.33%	0.00%	0.58%	0.00%	0.00%	1.01%	0.62%	0.00%	0.58%	0.66%					
21	. Путин Владимир Владимирович	9279	294	230	439	133	195	499	516	138	137	443	129	146	365	77	203	187	92	1477	1220	160	549	136	135	245	380	214	293	247					
