Выборы Президента Российской Федерации																																																																
Дата голосования: 02.03.2008																																																																
																																																																
Наименование Избирательной комиссии:    Аннинская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
	Число участковых избирательных комиссий	57																																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	57																																																														
																																																																
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157					
1	"Число избирателей, включенных в списки избирателей"	38870	1096	1123	1461	2120	1364	1704	1040	1550	1229	1386	1128	1080	923	437	507	518	219	1136	482	180	530	781	345	476	238	356	190	253	447	299	109	967	344	919	469	400	343	426	133	276	174	609	121	119	760	952	559	635	904	1044	946	920	633	514	189	531	276					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	38985	1070	1085	1420	2110	1370	1710	1050	1550	1210	1390	1090	1070	910	440	530	530	230	1150	510	180	560	780	350	470	240	360	200	260	460	310	110	970	370	930	470	400	340	430	140	280	180	620	120	120	770	960	570	660	900	1040	930	920	630	520	190	540	280					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	29351	976	756	1168	1872	1203	1493	848	1169	1072	1106	757	869	706	280	307	417	121	942	269	92	466	545	326	339	148	217	123	193	322	192	72	679	301	673	233	164	251	309	72	193	78	469	119	117	636	660	315	495	710	821	518	650	380	373	130	403	236					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	8476	67	313	230	197	97	178	161	350	109	232	333	168	182	146	190	93	96	172	182	85	56	229	14	122	88	132	64	60	68	84	29	269	36	236	233	228	89	115	60	81	93	134	0	0	105	292	236	134	174	204	401	251	247	125	54	117	35					
6	Число погашенных избирательных бюллетеней	1158	27	16	22	41	70	39	41	31	29	52	0	33	22	14	33	20	13	36	59	3	38	6	10	9	4	11	13	7	70	34	9	22	33	21	4	8	0	6	8	6	9	17	1	3	29	8	19	31	16	15	11	19	3	22	6	20	9					
7	Число избирательных бюллетеней в переносных ящиках для голосования	8476	67	313	230	197	97	178	161	350	109	232	333	168	182	146	190	93	96	172	182	85	56	229	14	122	88	132	64	60	68	84	29	269	36	236	233	228	89	115	60	81	93	134	0	0	105	292	236	134	174	204	401	251	247	125	54	117	35					
8	Число бюллетеней в стационарных ящиках для голосования	29351	976	756	1168	1872	1203	1493	848	1169	1072	1106	757	869	706	280	307	417	121	942	269	92	466	545	326	339	148	217	123	193	322	192	72	679	301	673	233	164	251	309	72	193	78	469	119	117	636	660	315	495	710	821	518	650	380	373	130	403	236					
9	Число недействительных избирательных бюллетеней	138	0	8	2	0	11	0	2	0	5	0	0	5	4	1	0	0	0	4	0	0	5	13	0	0	0	0	0	0	2	21	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	4	0	32	0	0	8	0	1	0	0	0	5					
10	Число действительных избирательных бюллетеней	37689	1043	1061	1396	2069	1289	1671	1007	1519	1176	1338	1090	1032	884	425	497	510	217	1110	451	177	517	761	340	461	236	349	187	253	388	255	101	948	337	909	465	392	337	424	132	273	171	603	119	117	741	948	551	597	884	1025	911	901	626	498	184	520	266					
11	Число полученных открепительных  удостоверений	596	12	15	12	25	25	35	18	20	11	25	15	15	5	5	15	10	7	13	40	6	55	9	17	2	2	2	2	2	10	20	9	20	2	4	7	4	2	10	5	2	5	3	2	2	4	4	7	14	5	5	5	8	2	7	2	4	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	509	11	8	12	18	23	35	18	20	11	17	9	15	5	5	15	10	7	13	40	6	55	8	17	1	0	0	2	0	10	20	9	15	0	1	6	1	2	10	5	2	5	0	1	1	4	0	7	14	3	0	1	8	1	0	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	234	2	30	19	9	8	8	8	2	3	8	16	4	3	3	2	3	3	8	3	5	2	3	1	1	1	1	2	3	3	6	2	11	2	0	7	2	1	0	1	3	1	0	1	1	3	1	3	3	2	6	2	5	2	1	2	2	0					
14	Число неиспользованных открепительных удостоверений	87	1	7	0	7	2	0	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	0	2	0	0	0	5	2	3	1	3	0	0	0	0	0	3	1	1	0	4	0	0	2	5	4	0	1	7	2	2	2					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	4	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																
18	Богданов Андрей Владимирович	78	1	6	1	5	9	3	1	7	2	1	1	3	4	3	0	0	0	2	1	1	2	2	1	0	0	0	0	0	7	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	2	0	1	0	3	0	1	0	0	3	1					
		0.21%	0.10%	0.56%	0.07%	0.24%	0.69%	0.18%	0.10%	0.46%	0.17%	0.07%	0.09%	0.29%	0.45%	0.70%	0.00%	0.00%	0.00%	0.18%	0.22%	0.56%	0.38%	0.26%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	1.79%	0.36%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	0.36%	0.00%	0.11%	0.00%	0.33%	0.00%	0.16%	0.00%	0.00%	0.58%	0.37%					
19	Жириновский Владимир Вольфович	781	7	20	34	20	50	17	14	38	17	12	9	16	22	16	8	9	4	23	44	2	55	6	7	9	2	7	4	4	32	13	1	28	10	4	8	15	3	2	1	2	4	5	1	1	14	24	5	6	11	19	58	13	6	7	2	7	3					
		2.06%	0.67%	1.87%	2.43%	0.97%	3.85%	1.02%	1.39%	2.50%	1.44%	0.90%	0.83%	1.54%	2.48%	3.76%	1.61%	1.76%	1.84%	2.06%	9.76%	1.13%	10.54%	0.78%	2.06%	1.95%	0.85%	2.01%	2.14%	1.58%	8.21%	4.71%	0.99%	2.95%	2.97%	0.44%	1.72%	3.83%	0.88%	0.47%	0.76%	0.73%	2.34%	0.83%	0.84%	0.85%	1.89%	2.52%	0.91%	0.95%	1.24%	1.85%	6.31%	1.44%	0.96%	1.41%	1.09%	1.35%	1.11%					
20	Зюганов Геннадий Андреевич	2048	95	63	89	109	85	147	33	61	75	85	55	131	23	35	17	17	8	58	71	6	77	17	9	14	5	10	5	5	84	25	6	19	13	22	11	16	12	4	1	9	2	12	2	2	21	81	18	15	36	31	98	33	8	30	9	16	7					
