Выборы Президента Российской Федерации																																																									
Дата голосования: 18.03.2018																																																									
																																																									
Наименование Избирательной комиссии:    Бобровская																																																									
																																																									
Сводная таблица итогов голосования																																																									
																																																									
	Число участковых избирательных комиссий	46																																																							
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	46																																																							
																																																									
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246									
1	"Число избирателей, включенных в список избирателей"	38823	1242	1499	496	1517	1337	1655	1648	1187	1531	1322	715	436	472	665	781	399	90	729	297	46	1315	268	890	1053	1497	871	592	310	1165	1176	821	868	836	854	749	209	217	651	966	1192	1109	1440	752	676	187	95									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39175	1240	1470	520	1500	1320	1590	1630	1200	1540	1300	720	450	490	640	790	406	99	770	310	46	1330	279	900	1080	1560	900	600	320	1180	1170	830	900	880	910	740	216	216	660	980	1200	1100	1450	780	670	191	102									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26567	809	909	342	774	989	1096	1119	785	1336	902	415	385	216	469	487	296	58	416	211	27	793	219	658	757	1054	580	469	257	754	811	601	750	632	720	491	121	151	450	663	830	524	1016	592	471	67	95									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5653	182	231	64	173	142	132	132	91	102	139	210	45	248	124	164	41	18	206	37	9	339	36	143	129	249	134	70	20	218	200	152	49	153	105	124	56	49	83	177	148	152	128	35	94	120	0									
6	Число погашенных избирательных бюллетеней	6955	249	330	114	553	189	362	379	324	102	259	95	20	26	47	139	69	23	148	62	10	198	24	99	194	257	186	61	43	208	159	77	101	95	85	125	39	16	127	140	222	424	306	153	105	4	7									
7	Число избирательных бюллетеней в переносных ящиках для голосования	5653	182	231	64	173	142	132	132	91	102	139	210	45	248	124	164	41	18	206	37	9	339	36	143	129	249	134	70	20	218	200	152	49	153	105	124	56	49	83	177	148	152	128	35	94	120	0									
8	Число бюллетеней в стационарных ящиках для голосования	26567	809	909	342	774	989	1096	1119	785	1336	902	415	385	216	469	487	296	58	416	211	27	793	219	658	757	1054	580	469	257	754	811	601	750	632	720	491	121	151	450	663	830	524	1016	592	471	67	95									
9	Число недействительных избирательных бюллетеней	156	2	8	1	1	14	11	7	2	6	6	0	0	0	2	2	13	0	0	0	0	0	0	7	5	0	4	1	1	0	0	4	3	34	0	0	0	0	2	5	5	3	2	0	5	0	0									
10	Число действительных избирательных бюллетеней	32064	989	1132	405	946	1117	1217	1244	874	1432	1035	625	430	464	591	649	324	76	622	248	36	1132	255	794	881	1303	710	538	276	972	1011	749	796	751	825	615	177	200	531	835	973	673	1142	627	560	187	95									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																									
13	Бабурин Сергей Николаевич	120	4	3	2	1	7	8	7	0	5	5	2	0	0	1	3	1	0	2	0	0	1	0	2	5	10	4	2	0	0	0	3	1	8	3	4	2	1	5	2	2	7	1	2	2	1	1									
		0.37%	0.40%	0.26%	0.49%	0.11%	0.62%	0.65%	0.56%	0.00%	0.35%	0.48%	0.32%	0.00%	0.00%	0.17%	0.46%	0.30%	0.00%	0.32%	0.00%	0.00%	0.09%	0.00%	0.25%	0.56%	0.77%	0.56%	0.37%	0.00%	0.00%	0.00%	0.40%	0.13%	1.02%	0.36%	0.65%	1.13%	0.50%	0.94%	0.24%	0.20%	1.04%	0.09%	0.32%	0.35%	0.53%	1.05%									
14	Грудинин Павел Николаевич	1773	53	58	32	31	89	113	116	32	45	99	32	5	7	54	36	7	2	21	28	1	9	9	40	44	91	36	55	23	72	52	32	35	40	44	20	9	1	27	40	31	59	69	38	27	6	3									
		5.50%	5.35%	5.09%	7.88%	3.27%	7.87%	9.20%	9.27%	3.65%	3.13%	9.51%	5.12%	1.16%	1.51%	9.11%	5.53%	2.08%	2.63%	3.38%	11.29%	2.78%	0.80%	3.53%	4.99%	4.97%	6.98%	5.04%	10.20%	8.30%	7.41%	5.14%	4.25%	4.38%	5.10%	5.33%	3.25%	5.08%	0.50%	5.07%	4.76%	3.17%	8.73%	6.03%	6.06%	4.78%	3.21%	3.16%									
15	Жириновский Владимир Вольфович	1197	36	26	29	11	43	57	30	42	51	55	26	15	8	25	24	4	0	24	6	4	5	9	24	33	50	35	13	21	48	59	27	36	37	25	22	4	20	26	41	32	36	38	15	18	4	3									
		3.72%	3.63%	2.28%	7.14%	1.16%	3.80%	4.64%	2.40%	4.79%	3.55%	5.28%	4.16%	3.49%	1.72%	4.22%	3.69%	1.19%	0.00%	3.86%	2.42%	11.11%	0.44%	3.53%	2.99%	3.72%	3.84%	4.90%	2.41%	7.58%	4.94%	5.84%	3.59%	4.51%	4.71%	3.03%	3.58%	2.26%	10.00%	4.88%	4.88%	3.27%	5.33%	3.32%	2.39%	3.19%	2.14%	3.16%									
16	Путин Владимир Владимирович	28472	877	1026	328	898	956	1019	1074	797	1311	852	556	410	443	497	579	311	74	567	211	29	1115	235	710	770	1120	632	458	225	836	880	675	711	647	740	564	161	178	467	740	904	554	1010	560	505	172	88									
		88.37%	88.50%	90.00%	80.79%	94.83%	84.53%	82.98%	85.85%	90.98%	91.17%	81.84%	88.96%	95.35%	95.47%	83.81%	88.94%	92.28%	97.37%	91.16%	85.08%	80.56%	98.50%	92.16%	88.64%	86.91%	85.96%	88.52%	84.97%	81.23%	86.01%	87.04%	89.64%	88.99%	82.42%	89.70%	91.71%	90.96%	89.00%	87.62%	88.10%	92.43%	81.95%	88.29%	89.31%	89.38%	91.98%	92.63%									
17	Собчак Ксения Анатольевна	162	7	4	2	2	8	6	11	0	9	10	6	0	2	5	2	0	0	4	1	0	2	1	9	7	4	0	2	0	0	12	2	5	5	4	1	0	0	1	5	1	7	8	4	2	1	0									
