Выборы Президента Российской Федерации																																																																																																																					
Дата голосования: 04.03.2012																																																																																																																					
																																																																																																																					
Наименование Избирательной комиссии:    Воронеж, Коминтерновская																																																																																																																					
																																																																																																																					
Сводная таблица итогов голосования																																																																																																																					
																																																																																																																					
	Число участковых избирательных комиссий	106																																																																																																																			
	Число участковых избирательных комиссий, приступивших к передаче сведений	106																																																																																																																			
																																																																																																																					
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №4001	УИК №4002	УИК №4003	УИК №4004	УИК №4005	УИК №4006	УИК №4007									
1	Число избирателей, включенных в список избирателей	232955	2021	1284	2442	2739	2200	2491	2412	1385	2643	1813	1246	2062	2295	2361	2488	2160	2311	2194	2202	2604	2547	2256	2048	2064	2696	2464	2141	1245	2109	2091	2280	2064	2443	2293	2299	2027	2149	2286	1343	1756	2360	2088	2287	1629	2121	2622	2475	2192	1895	2660	2286	2545	2160	2531	2351	2329	2333	2361	1970	2125	2582	2401	2706	1714	2349	2324	2371	2179	2360	2141	2398	2312	2230	2483	2191	2157	2112	2724	2507	2543	2667	2205	2677	2668	2409	2027	2278	2291	2578	2505	2501	2041	2374	2579	2307	2453	2389	2306	2266	2510	2198	2237	884	447	427	673									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	217300	1800	1000	2300	2500	1900	2400	2300	1300	2400	1700	1100	2000	2100	2300	2300	2000	2000	2000	2000	2500	2500	2200	1900	1900	2600	2300	2000	1100	2000	1900	2000	1900	2100	2200	2200	1900	1900	2200	1200	1700	2200	1900	2100	1500	1900	2400	2300	2000	1700	2500	2200	2400	2000	2300	2200	2200	2200	2100	1900	2000	2300	2300	2400	1600	2200	2200	2100	2000	2300	2000	2300	2200	2100	2300	2100	2000	2000	2500	2300	2300	2500	2100	2500	2400	2300	1900	2200	2100	2500	2400	2300	2000	2200	2400	2200	2300	2300	2200	2100	2400	2100	2100	900	600	500	700									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	140534	1078	850	1364	1556	1303	1484	1398	741	1501	970	662	1071	1400	1223	1506	1363	1143	1445	1466	1584	1593	1366	1285	1253	1418	1359	1166	647	1017	1136	1435	1260	1521	1350	1249	1228	1272	1313	793	1129	1262	1183	1341	864	1201	1367	1565	1396	1077	1649	1300	1582	1211	1484	1459	1525	1463	1573	1124	1382	1559	1382	1426	986	1351	1443	1510	1422	1471	1356	1495	1410	1457	1566	1321	1309	1262	1748	1624	1672	1735	1381	1738	1793	1460	1282	1458	1461	1616	1602	1606	1260	1448	1643	1765	1382	1407	1413	1328	1293	1459	1464	668	349	288	559									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	3831	67	11	39	48	35	34	41	14	36	80	24	54	27	9	54	16	18	30	33	18	19	18	25	14	39	40	62	32	72	41	110	46	36	49	44	29	37	33	29	56	68	51	57	20	57	79	22	36	8	37	47	33	5	11	24	28	51	20	16	33	38	20	10	31	44	26	28	16	28	13	16	15	9	23	15	20	31	23	26	36	13	25	31	19	10	12	31	15	18	14	27	12	12	15	8	120	86	46	18	22	18	13	207	98	137	114									
6	Число погашенных избирательных бюллетеней	72935	655	139	897	896	562	882	861	545	863	650	414	875	673	1068	740	621	839	525	501	898	888	816	590	633	1143	901	772	421	911	723	455	594	543	801	907	643	591	854	378	515	870	666	702	616	642	954	713	568	615	814	853	785	784	805	717	647	686	507	760	585	703	898	964	583	805	731	562	562	801	631	789	775	634	711	764	671	707	729	650	592	752	694	731	588	830	606	711	624	866	784	667	728	740	742	427	798	807	741	754	1085	623	623	25	153	75	27									
