Выборы Президента Российской Федерации																																																						
Дата голосования: 02.03.2008																																																						
																																																						
"Наименование Избирательной комиссии:    Воронеж, Ленинская"																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
	Число участковых избирательных комиссий	47																																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	47																																																				
																																																						
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247					
1	"Число избирателей, включенных в списки избирателей"	99348	2952	2609	1753	2504	1801	1922	2388	2486	2031	2174	2308	1916	2414	2031	2723	1937	3060	2797	2953	284	1978	1999	2237	2117	1837	2075	2057	1501	1691	1780	1650	2075	1816	1843	1632	1391	1508	2624	2777	2760	2519	1735	1424	2586	2625	1815	2253					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	93100	2800	2300	1700	2400	1700	1800	2300	2000	1900	2000	2000	1900	2300	1900	2400	1900	2700	2700	2800	300	1900	1800	2000	2000	1800	1900	1900	1600	1600	1600	1600	2000	1700	1700	1600	1300	1400	2500	2500	2500	2500	1700	1400	2400	2600	1800	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	54907	1777	1628	996	1419	947	1086	1342	1459	1043	1032	1099	933	1276	913	1812	1149	1816	1631	1630	272	1127	1099	1225	993	875	1117	1110	974	819	1078	944	1259	1019	1132	842	745	727	1335	1589	1471	1354	903	670	1459	1442	1045	1294					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2923	77	134	19	35	48	18	29	59	70	123	80	40	49	42	116	83	69	35	111	0	141	119	52	180	61	146	89	17	50	133	43	29	78	48	27	57	32	43	26	46	24	38	50	55	22	23	57					
6	Число погашенных избирательных бюллетеней	35270	946	538	685	946	705	696	929	482	787	845	821	927	975	945	472	668	815	1034	1059	28	632	582	723	827	864	637	701	609	731	389	613	712	603	520	731	498	641	1122	885	983	1122	759	680	886	1136	732	649					
