Выборы Президента Российской Федерации																																																																																	
Дата голосования: 18.03.2018																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Россошанская																																																																																	
																																																																																	
Сводная таблица итогов голосования																																																																																	
																																																																																	
	Число участковых избирательных комиссий	70																																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	70																																																																															
																																																																																	
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3442	УИК №3443	УИК №3444	УИК №3445	УИК №3446	УИК №3447	УИК №3448	УИК №3449	УИК №3450	УИК №3451	УИК №3452	УИК №3453	УИК №3454	УИК №3455	УИК №3456	УИК №3457	УИК №3458	УИК №3459	УИК №3460	УИК №3461	УИК №3462	УИК №3463	УИК №3464	УИК №3465	УИК №3466	УИК №3467	УИК №3468	УИК №3469	УИК №3470									
1	"Число избирателей, включенных в список избирателей"	70422	1753	2114	1663	1931	1698	1915	1843	1909	1748	1683	1836	1705	1666	1789	1688	1620	1439	1794	1713	1577	1603	1474	1545	1528	1712	1659	1513	1535	285	465	316	867	1008	443	1164	597	350	447	278	696	576	343	958	249	162	313	1001	501	121	1609	157	213	147	117	1396	335	226	220	291	257	1925	1784	70	640	541	406	328	486	261	220									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	69089	1700	1900	1650	1800	1700	1800	1900	1850	1700	1600	1800	1700	1650	1800	1700	1650	1400	1750	1700	1600	1600	1450	1500	1500	1700	1650	1500	1500	250	450	300	900	1000	400	1150	600	350	450	250	650	550	300	950	200	150	300	1000	500	120	1600	150	230	150	110	1400	320	220	220	280	250	1900	1800	70	650	520	400	310	460	260	219									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	37602	849	1089	840	976	819	983	969	1055	1046	928	1099	993	919	1032	940	892	603	955	936	828	816	812	773	766	920	880	802	729	183	302	175	498	654	300	608	344	162	282	131	363	284	225	456	140	78	149	519	228	38	926	87	92	83	56	723	179	125	87	193	178	1084	882	41	313	227	224	150	297	165	122									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5339	205	244	116	67	92	237	97	91	49	88	21	65	40	48	56	68	37	71	63	120	109	74	85	88	75	98	65	116	48	41	49	144	138	39	169	70	70	45	51	114	100	45	107	39	32	53	116	79	9	166	23	28	17	12	99	34	22	50	24	15	124	169	6	80	108	40	40	97	24	18									
6	Число погашенных избирательных бюллетеней	26148	646	567	694	757	789	580	834	704	605	584	680	642	691	720	704	690	760	724	701	652	675	564	642	646	705	672	633	655	19	107	76	258	208	61	373	186	118	123	68	173	166	30	387	21	40	98	365	193	73	508	40	110	50	42	578	107	73	83	63	57	692	749	23	257	185	136	120	66	71	79									
7	Число избирательных бюллетеней в переносных ящиках для голосования	5339	205	244	116	67	92	237	97	91	49	88	21	65	40	48	56	68	37	71	63	120	109	74	85	88	75	98	65	116	48	41	49	144	138	39	169	70	70	45	51	114	100	45	107	39	32	53	116	79	9	166	23	28	17	12	99	34	22	50	24	15	124	169	6	80	108	40	40	97	24	18									
8	Число бюллетеней в стационарных ящиках для голосования	37597	849	1089	840	976	819	983	969	1055	1046	928	1099	993	919	1032	940	892	603	955	936	827	816	812	773	765	920	880	801	729	183	302	175	498	654	300	608	344	162	282	131	363	284	225	455	140	78	149	519	228	38	925	87	92	83	56	723	179	125	87	193	178	1084	882	41	313	227	224	150	297	165	122									
9	Число недействительных избирательных бюллетеней	431	14	5	4	15	9	10	11	11	15	13	9	6	8	9	10	5	6	7	8	8	11	7	9	8	20	16	6	9	0	5	2	1	15	0	11	3	1	2	3	2	2	3	7	1	3	2	14	9	1	22	1	1	0	0	6	2	0	2	0	2	13	10	1	2	1	1	0	8	1	2									
10	Число действительных избирательных бюллетеней	42505	1040	1328	952	1028	902	1210	1055	1135	1080	1003	1111	1052	951	1071	986	955	634	1019	991	939	914	879	849	845	975	962	860	836	231	338	222	641	777	339	766	411	231	325	179	475	382	267	555	178	107	200	621	298	46	1069	109	119	100	68	816	211	147	135	217	191	1195	1041	46	391	334	263	190	386	188	138									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																	
13	Бабурин Сергей Николаевич	312	7	11	10	9	7	7	8	5	10	7	5	11	3	9	4	8	8	7	10	12	6	5	5	5	10	8	6	7	1	5	1	2	4	0	10	2	2	2	0	1	3	3	5	1	1	1	3	1	0	9	0	1	1	0	9	2	1	0	0	3	11	4	1	1	3	1	4	2	0	1									
