Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Алексеевский район																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №3067					
1	"Число избирателей, внесенных в список"	46240	2652	1920	1932	1887	1941	2685	2684	2657	2051	1833	2236	1558	1924	2387	1899	2023	1768	1874	1594	2262	2256	1739	478					
2	Число полученных избирательных бюллетеней	44800	2600	1800	1900	1900	1900	2600	2400	2600	2000	1800	2200	1500	1900	2400	1800	2000	1700	1800	1600	2100	2000	1700	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25191	1477	1044	1125	994	1011	1429	1413	1344	1064	944	1160	822	1114	1361	1027	1028	989	1005	930	1383	1238	993	296					
5	"Число избирательных бюллетеней, выданных вне помещения"	960	27	33	20	29	41	44	45	55	42	34	66	24	39	40	38	40	24	25	11	36	41	24	182					
6	Число погашенных избирательных бюллетеней	18649	1096	723	755	877	848	1127	942	1201	894	822	974	654	747	999	735	932	687	770	659	681	721	683	122					
7	Число избирательных бюллетеней в переносных ящиках	960	27	33	20	29	41	44	45	55	42	34	66	24	39	40	38	40	24	25	11	36	41	24	182					
8	Число бюллетеней в стационарных ящиках для голосования	25125	1477	1039	1125	994	1011	1429	1413	1344	1057	944	1154	818	1109	1352	1025	1027	986	1005	929	1383	1236	972	296					
9	Число недействительных избирательных бюллетеней	181	7	10	5	1	9	13	40	10	5	6	9	4	4	5	6	9	3	8	6	4	6	6	5					
10	Число действительных избирательных бюллетеней	25904	1497	1062	1140	1022	1043	1460	1418	1389	1094	972	1211	838	1144	1387	1057	1058	1007	1022	934	1415	1271	990	473					
11	Число полученных открепительных  удостоверений	1185	50	35	35	35	35	40	40	40	35	35	40	35	35	40	35	35	35	35	400	40	40	35	0					
12	Число выданных открепительных удостоверений	800	35	19	19	17	13	32	28	34	27	23	23	21	30	38	14	14	19	20	305	30	22	17	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	662	51	24	15	10	24	15	47	21	36	15	44	12	27	27	33	20	48	28	42	37	30	20	36					
14	Число неиспользованных открепительных удостоверений	385	15	16	16	18	22	8	12	6	8	12	17	14	5	2	21	21	16	15	95	10	18	18	0					
15	"Число открепительных удостоверений, выданных в ТИК"	4	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	1910	97	80	97	70	95	106	112	103	86	49	90	82	121	87	71	81	61	98	51	94	84	66	29					
		7.32%	6.45%	7.46%	8.47%	6.84%	9.03%	7.20%	7.68%	7.36%	7.83%	5.01%	7.38%	9.74%	10.54%	6.25%	6.68%	7.59%	6.04%	9.51%	5.43%	6.62%	6.58%	6.63%	6.07%					
19	. Малышкин Олег Александрович	257	14	18	11	10	11	14	10	17	12	5	13	3	13	12	11	9	13	10	12	4	13	17	5					
		0.99%	0.93%	1.68%	0.96%	0.98%	1.05%	0.95%	0.69%	1.22%	1.09%	0.51%	1.07%	0.36%	1.13%	0.86%	1.03%	0.84%	1.29%	0.97%	1.28%	0.28%	1.02%	1.71%	1.05%					
20	. Миронов Сергей Михайлович	137	7	7	9	3	6	8	3	7	8	2	5	5	5	7	6	3	8	7	7	5	12	6	1					
		0.53%	0.47%	0.65%	0.79%	0.29%	0.57%	0.54%	0.21%	0.50%	0.73%	0.20%	0.41%	0.59%	0.44%	0.50%	0.56%	0.28%	0.79%	0.68%	0.74%	0.35%	0.94%	0.60%	0.21%					
21	. Путин Владимир Владимирович	16326	885	751	710	612	674	935	863	904	708	658	691	528	667	841	664	661	636	611	631	885	803	656	352					
		62.59%	58.84%	70.06%	62.01%	59.82%	64.07%	63.48%	59.19%	64.62%	64.42%	67.28%	56.64%	62.71%	58.10%	60.42%	62.46%	61.95%	62.97%	59.32%	67.13%	62.37%	62.88%	65.86%	73.64%					
22	. Хакамада Ирина Муцуовна	2984	249	74	134	123	114	153	176	154	90	101	217	80	164	211	132	83	119	118	113	154	115	89	21					
		11.44%	16.56%	6.90%	11.70%	12.02%	10.84%	10.39%	12.07%	11.01%	8.19%	10.33%	17.79%	9.50%	14.29%	15.16%	12.42%	7.78%	11.78%	11.46%	12.02%	10.85%	9.01%	8.94%	4.39%					
23	. Харитонов Николай Михайлович	2212	118	68	85	87	80	128	143	125	103	94	94	74	93	117	87	143	89	93	30	146	96	83	36					
		8.48%	7.85%	6.34%	7.42%	8.50%	7.60%	8.69%	9.81%	8.93%	9.37%	9.61%	7.70%	8.79%	8.10%	8.41%	8.18%	13.40%	8.81%	9.03%	3.19%	10.29%	7.52%	8.33%	7.53%					
																														
24	Против всех	2078	127	64	94	117	63	116	111	79	87	63	101	66	81	112	86	78	81	85	90	127	148	73	29					
		7.97%	8.44%	5.97%	8.21%	11.44%	5.99%	7.88%	7.61%	5.65%	7.92%	6.44%	8.28%	7.84%	7.06%	8.05%	8.09%	7.31%	8.02%	8.25%	9.57%	8.95%	11.59%	7.33%	6.07%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
