Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Головинский район																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335					
1	"Число избирателей, внесенных в список"	66382	2189	2452	2784	2655	2562	2756	2771	2867	2704	2714	2594	2228	2454	2393	2536	2574	2623	2539	2589	2458	2584	2643	2432	2485	2269	2527					
2	Число полученных избирательных бюллетеней	65000	2000	2400	2800	2500	2500	2700	2700	2700	2700	2700	2600	2200	2500	2400	2500	2500	2600	2500	2500	2400	2500	2600	2400	2400	2200	2500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	35192	1118	1330	1527	1402	1385	1470	1594	1569	1430	1514	1493	1187	1332	1151	1284	1401	1289	1292	1321	1366	1284	1361	1336	1238	1170	1348					
5	"Число избирательных бюллетеней, выданных вне помещения"	1111	32	20	41	53	47	38	44	50	97	34	32	31	30	47	34	68	47	56	46	22	39	35	34	48	57	29					
6	Число погашенных избирательных бюллетеней	28697	850	1050	1232	1045	1068	1192	1062	1081	1173	1152	1075	982	1138	1202	1182	1031	1264	1152	1133	1012	1177	1204	1030	1114	973	1123					
7	Число избирательных бюллетеней в переносных ящиках	1111	32	20	41	53	47	38	44	50	97	34	32	31	30	47	34	68	47	56	46	22	39	35	34	48	57	29					
8	Число бюллетеней в стационарных ящиках для голосования	34997	1114	1319	1521	1399	1385	1464	1550	1564	1410	1514	1488	1187	1302	1151	1284	1395	1280	1287	1317	1362	1284	1345	1325	1234	1168	1348					
9	Число недействительных избирательных бюллетеней	298	14	14	10	4	12	8	13	11	11	9	7	8	5	12	10	13	15	8	7	8	3	19	15	18	8	36					
10	Число действительных избирательных бюллетеней	35810	1132	1325	1552	1448	1420	1494	1581	1603	1496	1539	1513	1210	1327	1186	1308	1450	1312	1335	1356	1376	1320	1361	1344	1264	1217	1341					
11	Число полученных открепительных  удостоверений	1880	155	45	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70					
12	Число выданных открепительных удостоверений	966	146	34	25	33	31	30	45	33	33	25	36	25	38	23	29	32	37	32	43	47	28	44	40	33	26	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	588	18	22	16	51	32	25	26	49	13	25	16	17	16	20	21	22	16	12	15	25	31	26	23	23	20	8					
14	Число неиспользованных открепительных удостоверений	914	9	11	45	37	39	40	25	37	37	45	34	45	32	47	41	38	33	38	27	23	42	26	30	37	44	52					
15	"Число открепительных удостоверений, выданных в ТИК"	18	0	1	3	0	0	1	0	2	1	0	1	0	2	1	1	0	0	0	2	0	0	0	0	0	3	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	2351	75	68	107	140	87	91	119	106	121	129	103	93	78	56	71	82	89	76	89	105	70	92	83	82	71	68					
		6.51%	6.54%	5.08%	6.85%	9.64%	6.08%	6.06%	7.47%	6.57%	8.03%	8.33%	6.78%	7.64%	5.86%	4.67%	5.39%	5.60%	6.71%	5.66%	6.53%	7.59%	5.29%	6.67%	6.11%	6.40%	5.80%	4.94%					
19	. Малышкин Олег Александрович	492	23	34	28	12	17	19	16	25	12	15	11	12	22	22	18	16	22	19	28	23	15	26	18	21	8	10					
		1.36%	2.01%	2.54%	1.79%	0.83%	1.19%	1.26%	1.00%	1.55%	0.80%	0.97%	0.72%	0.99%	1.65%	1.84%	1.37%	1.09%	1.66%	1.41%	2.05%	1.66%	1.13%	1.88%	1.32%	1.64%	0.65%	0.73%					
20	. Миронов Сергей Михайлович	188	9	7	2	5	13	13	9	4	9	4	5	8	7	8	5	9	8	8	6	6	2	5	6	15	3	12					
		0.52%	0.79%	0.52%	0.13%	0.34%	0.91%	0.87%	0.56%	0.25%	0.60%	0.26%	0.33%	0.66%	0.53%	0.67%	0.38%	0.62%	0.60%	0.60%	0.44%	0.43%	0.15%	0.36%	0.44%	1.17%	0.24%	0.87%					
21	. Путин Владимир Владимирович	24358	778	971	1033	871	985	1021	1037	1096	934	977	988	798	901	849	917	990	939	974	911	948	879	933	909	891	889	939					
		67.46%	67.89%	72.52%	66.13%	59.99%	68.78%	67.98%	65.06%	67.91%	61.98%	63.11%	65.00%	65.52%	67.64%	70.87%	69.58%	67.67%	70.76%	72.52%	66.84%	68.50%	66.44%	67.61%	66.89%	69.50%	72.57%	68.19%					
22	. Хакамада Ирина Муцуовна	3043	48	87	154	155	113	132	160	133	172	177	143	114	116	100	100	134	81	85	114	110	148	115	122	80	70	80					
		8.43%	4.19%	6.50%	9.86%	10.67%	7.89%	8.79%	10.04%	8.24%	11.41%	11.43%	9.41%	9.36%	8.71%	8.35%	7.59%	9.16%	6.10%	6.33%	8.36%	7.95%	11.19%	8.33%	8.98%	6.24%	5.71%	5.81%					
23	. Харитонов Николай Михайлович	3039	97	83	116	136	126	130	142	140	158	114	173	95	127	77	121	118	93	96	129	104	101	120	102	106	100	135					
		8.42%	8.46%	6.20%	7.43%	9.37%	8.80%	8.66%	8.91%	8.67%	10.48%	7.36%	11.38%	7.80%	9.53%	6.43%	9.18%	8.07%	7.01%	7.15%	9.46%	7.51%	7.63%	8.70%	7.51%	8.27%	8.16%	9.80%					
																																	
24	Против всех	2339	102	75	112	129	79	88	98	99	90	123	90	90	76	74	76	101	80	77	79	80	105	70	104	69	76	97					
		6.48%	8.90%	5.60%	7.17%	8.88%	5.52%	5.86%	6.15%	6.13%	5.97%	7.95%	5.92%	7.39%	5.71%	6.18%	5.77%	6.90%	6.03%	5.73%	5.80%	5.78%	7.94%	5.07%	7.65%	5.38%	6.20%	7.04%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
