Выборы Президента Российской Федерации								
								
Наименование Избирательной комиссии:    Молжаниновский район								
								
Итоги голосования 								
								
		Сумма	УИК №412					
1	"Число избирателей, внесенных в список"	1849	1849					
2	Число полученных избирательных бюллетеней	1900	1900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	959	959					
5	"Число избирательных бюллетеней, выданных вне помещения"	136	136					
6	Число погашенных избирательных бюллетеней	805	805					
7	Число избирательных бюллетеней в переносных ящиках	136	136					
8	Число бюллетеней в стационарных ящиках для голосования	959	959					
9	Число недействительных избирательных бюллетеней	13	13					
10	Число действительных избирательных бюллетеней	1082	1082					
11	Число полученных открепительных  удостоверений	99	99					
12	Число выданных открепительных удостоверений	79	79					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	55	55					
14	Число неиспользованных открепительных удостоверений	20	20					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1					
16	Число утраченных избирательных бюллетеней	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0					
"Число голосов избирателей, поданных за каждый список"								
18	. Глазьев Сергей Юрьевич	75	75					
		6.85%	6.85%					
19	. Малышкин Олег Александрович	17	17					
		1.55%	1.55%					
20	. Миронов Сергей Михайлович	8	8					
		0.73%	0.73%					
21	. Путин Владимир Владимирович	776	776					
		70.87%	70.87%					
22	. Хакамада Ирина Муцуовна	44	44					
		4.02%	4.02%					
23	. Харитонов Николай Михайлович	101	101					
		9.22%	9.22%					
								
24	Против всех	61	61					
		5.57%	5.57%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
