Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Район Замоскворечье																											
																											
Итоги голосования 																											
																											
		Сумма	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  45	УИК  46	УИК  47	УИК  48	УИК  49	УИК  50	УИК  51	УИК  52	УИК  53	УИК  54	УИК  3010	УИК  3011	УИК  3012					
1	"Число избирателей, внесенных в список"	30704	1850	2174	1750	1622	1523	2419	2081	1369	2268	1001	1880	1600	2057	1406	1023	1830	2397	151	178	125					
2	Число полученных избирательных бюллетеней	28520	1700	2000	1700	1400	1400	2100	2000	1200	1900	800	1900	1400	1900	1300	1000	1700	2400	200	320	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19397	1185	1209	1146	947	797	1669	1328	880	1412	701	1257	1055	1159	884	676	1177	1467	151	172	125					
5	"Число избирательных бюллетеней, выданных вне помещения"	710	55	33	44	31	53	52	53	27	64	11	24	26	46	72	15	32	72	0	0	0					
6	Число погашенных избирательных бюллетеней	8413	460	758	510	422	550	379	619	293	424	88	619	319	695	344	309	491	861	49	148	75					
7	Число избирательных бюллетеней в переносных ящиках	709	55	33	44	31	53	52	53	27	64	11	24	26	46	72	14	32	72	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	19160	1185	1207	1146	943	787	1537	1325	873	1402	701	1240	1055	1155	884	674	1139	1459	151	172	125					
9	Число недействительных избирательных бюллетеней	323	101	14	8	11	6	6	5	46	43	9	12	5	9	8	10	19	8	3	0	0					
10	Число действительных избирательных бюллетеней	19546	1139	1226	1182	963	834	1583	1373	854	1423	703	1252	1076	1192	948	678	1152	1523	148	172	125					
11	Число полученных открепительных  удостоверений	994	38	50	50	45	40	319	40	35	60	27	50	35	50	40	28	45	42	0	0	0					
12	Число выданных открепительных удостоверений	882	30	45	46	40	37	311	33	29	50	16	45	29	45	21	26	37	42	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1278	46	50	44	68	87	59	31	74	229	173	65	60	45	59	48	60	80	0	0	0					
14	Число неиспользованных открепительных удостоверений	112	8	5	4	5	3	8	7	6	10	11	5	6	5	19	2	8	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	18	2	2	1	2	0	2	0	0	1	0	4	1	2	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	1427	66	125	100	60	55	118	98	54	121	34	113	84	89	52	47	80	115	7	6	3					
		7.18%	5.32%	10.08%	8.40%	6.16%	6.55%	7.43%	7.11%	6.00%	8.25%	4.78%	8.94%	7.77%	7.41%	5.44%	6.83%	6.83%	7.51%	4.64%	3.49%	2.40%					
19	. Малышкин Олег Александрович	205	13	14	8	18	10	20	12	12	14	3	11	9	12	6	13	13	13	1	1	2					
		1.03%	1.05%	1.13%	0.67%	1.85%	1.19%	1.26%	0.87%	1.33%	0.95%	0.42%	0.87%	0.83%	1.00%	0.63%	1.89%	1.11%	0.85%	0.66%	0.58%	1.60%					
20	. Миронов Сергей Михайлович	116	11	11	6	6	4	7	7	7	6	2	8	3	13	1	7	4	10	1	0	2					
		0.58%	0.89%	0.89%	0.50%	0.62%	0.48%	0.44%	0.51%	0.78%	0.41%	0.28%	0.63%	0.28%	1.08%	0.10%	1.02%	0.34%	0.65%	0.66%	0.00%	1.60%					
21	. Путин Владимир Владимирович	12818	733	720	729	578	509	1100	883	603	937	573	790	728	739	614	459	760	1047	106	132	78					
		64.51%	59.11%	58.06%	61.26%	59.34%	60.60%	69.23%	64.08%	67.00%	63.92%	80.48%	62.50%	67.35%	61.53%	64.23%	66.72%	64.90%	68.39%	70.20%	76.74%	62.40%					
22	. Хакамада Ирина Муцуовна	2208	139	171	127	131	133	130	167	110	143	36	120	136	153	117	75	114	163	12	13	18					
		11.11%	11.21%	13.79%	10.67%	13.45%	15.83%	8.18%	12.12%	12.22%	9.75%	5.06%	9.49%	12.58%	12.74%	12.24%	10.90%	9.74%	10.65%	7.95%	7.56%	14.40%					
23	. Харитонов Николай Михайлович	1415	77	83	126	78	39	91	112	53	94	30	111	89	98	67	33	92	124	11	7	0					
		7.12%	6.21%	6.69%	10.59%	8.01%	4.64%	5.73%	8.13%	5.89%	6.41%	4.21%	8.78%	8.23%	8.16%	7.01%	4.80%	7.86%	8.10%	7.28%	4.07%	0.00%					
																											
24	Против всех	1357	100	102	86	92	84	117	94	15	108	25	99	27	88	91	44	89	51	10	13	22					
		6.83%	8.06%	8.23%	7.23%	9.45%	10.00%	7.36%	6.82%	1.67%	7.37%	3.51%	7.83%	2.50%	7.33%	9.52%	6.40%	7.60%	3.33%	6.62%	7.56%	17.60%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
