Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    район Марьина Роща																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №3073	УИК №3074					
1	"Число избирателей, внесенных в список"	38850	2305	2445	2135	2508	2306	2516	2615	2475	2451	2420	2426	2107	2408	2471	2267	2715	85	195					
2	Число полученных избирательных бюллетеней	38100	2200	2400	2100	2400	2100	2500	2600	2400	2400	2400	2400	2100	2400	2400	2200	2700	200	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20644	1342	1301	1157	1351	1187	1271	1357	1356	1292	1274	1352	1096	1270	1248	1173	1338	84	195					
5	"Число избирательных бюллетеней, выданных вне помещения"	591	36	28	31	29	57	53	36	33	37	33	50	33	32	25	21	57	0	0					
6	Число погашенных избирательных бюллетеней	16865	822	1071	912	1020	856	1176	1207	1011	1071	1093	998	971	1098	1127	1006	1305	116	5					
7	Число избирательных бюллетеней в переносных ящиках	590	36	28	31	29	56	53	36	33	37	33	50	33	32	25	21	57	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	20583	1342	1301	1154	1351	1186	1263	1346	1355	1286	1270	1346	1090	1270	1244	1172	1328	84	195					
9	Число недействительных избирательных бюллетеней	154	13	10	1	13	9	13	9	13	10	7	12	10	6	4	11	12	1	0					
10	Число действительных избирательных бюллетеней	21019	1365	1319	1184	1367	1233	1303	1373	1375	1313	1296	1384	1113	1296	1265	1182	1373	83	195					
11	Число полученных открепительных  удостоверений	800	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0					
12	Число выданных открепительных удостоверений	526	30	30	31	32	40	41	37	26	35	34	38	26	47	24	28	27	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	470	31	17	22	43	25	27	27	21	36	31	22	38	42	14	11	35	10	18					
14	Число неиспользованных открепительных удостоверений	274	20	20	19	18	10	9	13	24	15	16	12	24	3	26	22	23	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	1	0	0	1	0	0	2	0	2	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	1427	102	102	88	94	87	87	98	95	93	100	99	73	79	66	75	72	2	15					
		6.74%	7.40%	7.67%	7.43%	6.81%	7.00%	6.61%	7.09%	6.84%	7.03%	7.67%	7.09%	6.50%	6.07%	5.20%	6.29%	5.20%	2.38%	7.69%					
19	. Малышкин Олег Александрович	248	13	13	11	10	8	22	31	15	22	21	17	9	19	10	13	11	2	1					
		1.17%	0.94%	0.98%	0.93%	0.72%	0.64%	1.67%	2.24%	1.08%	1.66%	1.61%	1.22%	0.80%	1.46%	0.79%	1.09%	0.79%	2.38%	0.51%					
20	. Миронов Сергей Михайлович	130	14	5	8	7	6	6	4	10	9	8	5	8	8	7	12	9	3	1					
		0.61%	1.02%	0.38%	0.68%	0.51%	0.48%	0.46%	0.29%	0.72%	0.68%	0.61%	0.36%	0.71%	0.61%	0.55%	1.01%	0.65%	3.57%	0.51%					
21	. Путин Владимир Владимирович	13902	879	829	725	896	817	810	938	906	858	843	956	732	902	845	817	951	56	142					
		65.66%	63.79%	62.38%	61.18%	64.93%	65.78%	61.55%	67.87%	65.27%	64.85%	64.70%	68.48%	65.18%	69.28%	66.59%	68.48%	68.66%	66.67%	72.82%					
22	. Хакамада Ирина Муцуовна	2081	143	157	114	134	97	189	120	141	124	119	114	119	100	144	113	139	9	5					
		9.83%	10.38%	11.81%	9.62%	9.71%	7.81%	14.36%	8.68%	10.16%	9.37%	9.13%	8.17%	10.60%	7.68%	11.35%	9.47%	10.04%	10.71%	2.56%					
23	. Харитонов Николай Михайлович	1711	112	105	162	113	125	89	85	113	98	121	108	69	85	114	79	108	2	23					
		8.08%	8.13%	7.90%	13.67%	8.19%	10.06%	6.76%	6.15%	8.14%	7.41%	9.29%	7.74%	6.14%	6.53%	8.98%	6.62%	7.80%	2.38%	11.79%					
																									
24	Против всех	1520	102	108	76	113	93	100	97	95	109	84	85	103	103	79	73	83	9	8					
		7.18%	7.40%	8.13%	6.41%	8.19%	7.49%	7.60%	7.02%	6.84%	8.24%	6.45%	6.09%	9.17%	7.91%	6.23%	6.12%	5.99%	10.71%	4.10%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
