Выборы Президента Российской Федерации																																											
Дата голосования: 02.03.2008																																											
																																											
Наименование Избирательной комиссии:    район Раменки																																											
																																											
Сводная таблица результатов выборов																																											
																																											
	Число участковых избирательных комиссий	36																																									
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	36																																									
																																											
		Сумма	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №3280	УИК №3281					
1	"Число избирателей, включенных в списки избирателей"	75294	1984	1348	2134	1627	2470	2217	2151	2658	1258	2711	2627	2525	1761	2794	1987	1730	2346	2791	2025	2498	2091	1705	2497	2755	2825	2728	2157	1697	2237	2163	2001	2007	2240	2364	111	74					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	67150	1900	1100	1700	1550	2400	1750	2100	2000	1050	2050	2600	2050	2500	2800	2000	1350	2400	2050	1700	2500	2100	1700	2000	2150	2800	2150	1700	1300	2100	1650	1650	1900	1600	2500	200	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	44717	1385	642	940	1187	1890	1347	1193	1305	672	1269	1146	1221	1549	1465	1408	1036	1402	1992	1599	2229	1223	812	1120	1699	1516	1303	1340	911	1683	932	1169	1444	1038	1465	111	74					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2638	41	22	43	235	194	311	43	9	65	39	52	48	15	95	32	107	50	30	60	14	76	35	37	16	22	14	78	8	99	253	203	181	51	60	0	0					
6	Число погашенных избирательных бюллетеней	19795	474	436	717	128	316	92	864	686	313	742	1402	781	936	1240	560	207	948	28	41	257	801	853	843	435	1262	833	282	381	318	465	278	275	511	975	89	26					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2626	41	22	43	234	194	305	43	9	65	39	51	47	15	94	32	106	50	30	60	14	76	35	37	16	22	14	77	8	99	253	203	181	51	60	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	43819	1380	639	934	972	1885	1341	1193	1289	670	1258	1136	1101	1529	1453	1406	1033	1402	1935	1594	2229	1165	771	1118	1659	1504	1294	1258	909	1584	922	1161	1420	1032	1458	111	74					
9	Число недействительных избирательных бюллетеней	1043	36	21	35	19	24	29	36	17	27	39	18	22	74	34	20	25	10	28	36	32	12	21	27	58	46	35	37	24	23	19	27	40	33	57	0	2					
10	Число действительных избирательных бюллетеней	45402	1385	640	942	1187	2055	1617	1200	1281	708	1258	1169	1126	1470	1513	1418	1114	1442	1937	1618	2211	1229	785	1128	1617	1480	1273	1298	893	1660	1156	1337	1561	1050	1461	111	72					
11	Число полученных открепительных  удостоверений	1648	40	38	40	30	50	50	40	45	70	50	45	50	20	55	45	28	60	60	47	60	63	37	50	55	75	50	30	40	70	47	58	55	45	50	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1463	36	38	36	19	47	44	38	42	56	38	45	44	10	52	43	24	59	55	46	59	63	31	42	53	69	40	29	33	70	30	45	42	43	42	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2665	65	64	41	61	53	75	40	119	22	109	26	23	345	150	72	46	84	64	109	63	33	45	70	114	56	82	33	99	55	37	44	79	201	45	23	18					
14	Число неиспользованных открепительных удостоверений	185	4	0	4	11	3	6	2	3	14	12	0	6	10	3	2	4	1	5	1	1	0	6	8	2	6	10	1	7	0	17	13	13	2	8	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	202	7	5	5	7	7	8	5	2	1	9	13	2	0	3	7	3	14	2	3	6	5	2	12	10	7	1	7	3	14	4	5	13	10	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	Богданов Андрей Владимирович	1122	28	19	39	27	20	39	29	32	20	61	36	42	73	62	26	26	16	36	3	18	32	25	31	42	61	33	27	22	27	28	34	29	25	50	2	2					
		2.42%	1.97%	2.87%	3.99%	2.24%	0.96%	2.37%	2.35%	2.47%	2.72%	4.70%	3.03%	3.66%	4.73%	4.01%	1.81%	2.28%	1.10%	1.83%	0.18%	0.80%	2.58%	3.10%	2.68%	2.51%	3.99%	2.52%	2.02%	2.40%	1.60%	2.38%	2.49%	1.81%	2.31%	3.29%	1.80%	2.70%					
19	Жириновский Владимир Вольфович	3223	128	63	86	62	76	83	83	105	55	131	83	89	151	110	62	75	67	124	28	74	32	71	78	121	120	115	108	115	102	80	119	114	137	163	9	4					
		6.94%	9.01%	9.53%	8.80%	5.14%	3.66%	5.04%	6.72%	8.09%	7.48%	10.10%	6.99%	7.75%	9.78%	7.11%	4.31%	6.58%	4.61%	6.31%	1.69%	3.30%	2.58%	8.81%	6.75%	7.22%	7.86%	8.79%	8.09%	12.54%	6.06%	6.81%	8.72%	7.12%	12.65%	10.74%	8.11%	5.41%					
20	Зюганов Геннадий Андреевич	8353	179	142	197	148	165	193	261	200	266	361	334	344	387	241	159	139	124	251	43	121	250	193	316	346	344	386	292	253	306	252	243	269	221	403	16	8					
