Выборы Президента Российской Федерации																																									
Дата голосования: 18.03.2018																																									
																																									
Наименование Избирательной комиссии:    район Солнцево																																									
																																									
Сводная таблица итогов голосования																																									
																																									
	Число участковых избирательных комиссий	30																																							
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	30																																							
																																									
		Сумма	УИК №2791	УИК №2792	УИК №2793	УИК №2794	УИК №2795	УИК №2796	УИК №2797	УИК №2798	УИК №2799	УИК №2800	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №3423	УИК №3765									
1	"Число избирателей, включенных в список избирателей"	71776	2818	3033	3106	2430	2657	2622	2198	2249	2684	2861	2399	2675	1451	1673	2653	2503	2390	3054	2679	2364	2150	2160	2247	2914	2142	2453	2289	2397	2135	390									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	55400	1800	2200	2100	1800	2100	2000	1700	1800	2100	2300	1900	2100	1200	1300	2000	2000	1900	2100	2200	1900	1600	1700	1800	2100	1800	1900	1900	1900	1700	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	41359	1380	1617	1783	1407	1450	1475	1190	1276	1582	1503	1357	1524	734	991	1556	1535	1385	1880	1640	1436	1318	1300	1317	1796	1409	1425	1182	1298	1299	314									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1636	96	69	78	50	57	69	30	50	67	69	80	57	59	39	48	56	57	40	39	47	11	56	45	45	32	37	73	74	32	74									
6	Число погашенных избирательных бюллетеней	12405	324	514	239	343	593	456	480	474	451	728	463	519	407	270	396	409	458	180	521	417	271	344	438	259	359	438	645	528	369	112									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1636	96	69	78	50	57	69	30	50	67	69	80	57	59	39	48	56	57	40	39	47	11	56	45	45	32	37	73	74	32	74									
8	Число бюллетеней в стационарных ящиках для голосования	41309	1375	1617	1782	1400	1448	1472	1185	1276	1582	1501	1353	1518	734	987	1555	1532	1385	1880	1640	1435	1316	1298	1317	1795	1408	1425	1182	1298	1299	314									
9	Число недействительных избирательных бюллетеней	570	13	23	23	21	22	14	13	21	18	25	5	14	8	13	26	31	15	35	33	24	15	18	17	37	17	16	15	12	16	10									
10	Число действительных избирательных бюллетеней	42375	1458	1663	1837	1429	1483	1527	1202	1305	1631	1545	1428	1561	785	1013	1577	1557	1427	1885	1646	1458	1312	1336	1345	1803	1423	1446	1240	1360	1315	378									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
13	Бабурин Сергей Николаевич	375	11	15	23	7	7	13	11	7	7	9	10	11	11	11	13	12	20	16	13	15	9	16	16	26	11	7	19	12	16	1									
		0.87%	0.75%	0.89%	1.24%	0.48%	0.47%	0.84%	0.91%	0.53%	0.42%	0.57%	0.70%	0.70%	1.39%	1.07%	0.81%	0.76%	1.39%	0.83%	0.77%	1.01%	0.68%	1.18%	1.17%	1.41%	0.76%	0.48%	1.51%	0.87%	1.20%	0.26%									
14	Грудинин Павел Николаевич	4866	185	201	238	174	162	169	139	136	167	195	141	178	87	104	155	190	153	263	189	145	183	129	149	219	207	167	139	164	114	24									
		11.33%	12.58%	11.92%	12.80%	12.00%	10.76%	10.97%	11.44%	10.26%	10.13%	12.42%	9.84%	11.30%	10.97%	10.14%	9.67%	11.96%	10.61%	13.70%	11.26%	9.78%	13.79%	9.53%	10.94%	11.90%	14.38%	11.42%	11.08%	11.95%	8.56%	6.19%									
15	Жириновский Владимир Вольфович	2269	77	78	124	72	83	71	71	68	97	84	77	76	40	52	90	88	93	86	70	81	48	68	81	107	97	68	66	77	75	4									
		5.28%	5.23%	4.63%	6.67%	4.97%	5.51%	4.61%	5.84%	5.13%	5.88%	5.35%	5.37%	4.83%	5.04%	5.07%	5.61%	5.54%	6.45%	4.48%	4.17%	5.47%	3.62%	5.02%	5.95%	5.82%	6.74%	4.65%	5.26%	5.61%	5.63%	1.03%									
16	Путин Владимир Владимирович	31929	1077	1276	1311	1052	1126	1167	912	1005	1284	1117	1081	1188	572	774	1217	1170	1082	1380	1245	1120	947	1042	1036	1362	1011	1070	947	1007	1011	340									
		74.35%	73.22%	75.68%	70.48%	72.55%	74.82%	75.73%	75.06%	75.79%	77.87%	71.15%	75.44%	75.43%	72.13%	75.44%	75.92%	73.68%	75.03%	71.88%	74.15%	75.57%	71.36%	76.96%	76.06%	74.02%	70.21%	73.19%	75.46%	73.40%	75.96%	87.63%									
17	Собчак Ксения Анатольевна	1262	60	50	52	51	37	46	24	40	31	73	59	39	28	32	44	46	37	66	49	35	52	29	15	49	39	57	32	44	43	3									
