Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    район Царицыно																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №3156	УИК №3157					
1	"Число избирателей, внесенных в список"	71433	2439	2609	2049	2631	2451	1661	1741	1914	2108	2051	2619	2121	2521	2448	2603	2439	2243	1580	1896	1700	1780	2126	1826	2161	2393	2386	1465	1754	1708	2486	1916	2336	2082	634	556					
2	Число полученных избирательных бюллетеней	71156	2400	2600	2000	2500	2500	1600	1700	2000	2100	2000	2400	2100	2600	2500	2500	2400	2200	1500	1800	1800	1700	2000	2000	2200	2300	2400	1500	1700	1800	2500	1900	2400	2200	800	556					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	48906	1697	1943	1348	1737	1437	1303	1284	1433	1512	1153	1415	1731	2019	1955	1386	1888	1407	973	1069	1293	1012	1097	1384	1604	1805	1970	849	1093	892	1651	1496	1717	1163	634	556					
5	"Число избирательных бюллетеней, выданных вне помещения"	2326	162	191	139	26	34	79	88	125	153	55	36	55	94	38	64	142	20	39	40	34	45	32	62	97	133	37	17	23	36	52	70	85	23	0	0					
6	Число погашенных избирательных бюллетеней	19924	541	466	513	737	1029	218	328	442	435	792	949	314	487	507	1050	370	773	488	691	473	643	871	554	499	362	393	634	584	872	797	334	598	1014	166	0					
7	Число избирательных бюллетеней в переносных ящиках	2316	162	181	139	26	34	79	88	125	153	55	36	55	94	38	64	142	20	39	40	34	45	32	62	97	133	37	17	23	36	52	70	85	23	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	48728	1682	1918	1348	1737	1420	1303	1284	1433	1512	1085	1414	1731	2019	1917	1385	1888	1406	973	1069	1293	1012	1097	1384	1604	1805	1970	849	1090	888	1646	1496	1717	1163	634	556					
9	Число недействительных избирательных бюллетеней	716	1	7	4	241	12	11	7	16	10	11	5	9	14	10	12	96	13	5	17	8	13	5	1	8	11	11	1	13	9	9	98	14	5	7	2					
10	Число действительных избирательных бюллетеней	50328	1843	2092	1483	1522	1442	1371	1365	1542	1655	1129	1445	1777	2099	1945	1437	1934	1413	1007	1092	1319	1044	1124	1445	1693	1927	1996	865	1100	915	1689	1468	1788	1181	627	554					
11	Число полученных открепительных  удостоверений	2020	60	60	60	60	60	60	60	60	60	60	60	60	60	60	80	80	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	0	0					
12	Число выданных открепительных удостоверений	1541	45	59	58	57	47	51	48	51	55	30	41	36	43	50	63	63	39	40	28	32	24	20	56	55	28	45	55	54	39	57	59	58	55	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	865	23	23	22	16	31	35	15	25	17	7	30	37	30	23	17	31	45	37	29	18	35	16	28	33	32	28	18	20	19	23	32	17	16	37	0					
14	Число неиспользованных открепительных удостоверений	479	15	1	2	3	13	9	12	9	5	30	19	24	17	10	17	17	21	20	32	28	36	40	4	5	32	15	5	6	21	3	1	2	5	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	10	1	0	0	1	1	1	0	0	0	0	2	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	2811	111	105	105	105	87	87	87	76	70	60	91	79	95	124	86	93	89	60	83	64	59	97	63	78	126	91	42	55	56	74	74	132	65	24	18					
		5.51%	6.02%	5.00%	7.06%	5.96%	5.98%	6.30%	6.34%	4.88%	4.20%	5.26%	6.28%	4.42%	4.50%	6.34%	5.94%	4.58%	6.24%	5.93%	7.48%	4.82%	5.58%	8.59%	4.36%	4.59%	6.50%	4.53%	4.85%	4.94%	6.06%	4.36%	4.73%	7.33%	5.48%	3.79%	3.24%					
19	. Малышкин Олег Александрович	793	11	26	12	20	19	17	19	29	30	18	27	27	27	40	20	37	21	18	14	59	11	16	29	15	59	23	7	17	9	13	27	28	19	18	11					
		1.55%	0.60%	1.24%	0.81%	1.13%	1.31%	1.23%	1.38%	1.86%	1.80%	1.58%	1.86%	1.51%	1.28%	2.05%	1.38%	1.82%	1.47%	1.78%	1.26%	4.45%	1.04%	1.42%	2.01%	0.88%	3.04%	1.15%	0.81%	1.53%	0.97%	0.77%	1.72%	1.55%	1.60%	2.84%	1.98%					
20	. Миронов Сергей Михайлович	462	10	37	5	0	2	12	14	5	21	8	13	4	19	17	10	27	3	10	4	28	26	13	7	11	49	38	4	8	9	9	12	16	6	1	4					
		0.91%	0.54%	1.76%	0.34%	0.00%	0.14%	0.87%	1.02%	0.32%	1.26%	0.70%	0.90%	0.22%	0.90%	0.87%	0.69%	1.33%	0.21%	0.99%	0.36%	2.11%	2.46%	1.15%	0.48%	0.65%	2.53%	1.89%	0.46%	0.72%	0.97%	0.53%	0.77%	0.89%	0.51%	0.16%	0.72%					
