Выборы Президента Российской Федерации																																										
Дата голосования: 18.03.2018																																										
																																										
Наименование Избирательной комиссии:    район Черемушки																																										
																																										
Сводная таблица итогов голосования																																										
																																										
	Число участковых избирательных комиссий	31																																								
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	31																																								
																																										
		Сумма	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №3748									
1	"Число избирателей, включенных в список избирателей"	65033	2633	2073	2260	2086	2033	2839	2356	759	2344	2216	2168	1796	2295	1945	2158	2099	2425	2669	2057	2565	2194	2092	1622	2188	2238	2482	2586	1635	2058	1778	384									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52050	2200	1700	1800	1700	1600	2000	1800	700	1800	1800	1800	1500	1800	1500	1700	1700	2000	2000	1974	2000	1800	1700	1300	1700	1800	1900	1900	1300	1700	1500	376									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	35533	1357	1167	1290	1031	1071	1621	1193	446	1261	1184	1134	1002	1214	1052	1202	1190	1372	1423	1119	1352	1109	1086	862	1229	1304	1470	1486	888	1125	1046	247									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1466	49	38	51	70	42	35	31	12	23	34	39	51	30	31	58	75	55	37	49	39	77	36	40	66	73	32	20	37	63	51	122									
6	Число погашенных избирательных бюллетеней	15051	794	495	459	599	487	344	576	242	516	582	627	447	556	417	440	435	573	540	806	609	614	578	398	405	423	398	394	375	512	403	7									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1466	49	38	51	70	42	35	31	12	23	34	39	51	30	31	58	75	55	37	49	39	77	36	40	66	73	32	20	37	63	51	122									
8	Число бюллетеней в стационарных ящиках для голосования	35490	1357	1167	1289	1030	1071	1620	1193	445	1261	1179	1133	997	1214	1052	1201	1189	1370	1415	1119	1352	1106	1085	862	1226	1301	1470	1482	888	1124	1046	246									
9	Число недействительных избирательных бюллетеней	498	15	8	11	9	21	14	14	2	20	17	10	15	9	12	9	15	33	22	28	13	8	11	12	15	34	22	40	21	16	19	3									
10	Число действительных избирательных бюллетеней	36458	1391	1197	1329	1091	1092	1641	1210	455	1264	1196	1162	1033	1235	1071	1250	1249	1392	1430	1140	1378	1175	1110	890	1277	1340	1480	1462	904	1171	1078	365									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
13	Бабурин Сергей Николаевич	377	12	14	15	11	13	10	11	1	10	7	8	10	10	15	16	10	14	14	6	13	14	13	4	18	26	13	10	16	13	25	5									
		1.02%	0.85%	1.16%	1.12%	1.00%	1.17%	0.60%	0.90%	0.22%	0.78%	0.58%	0.68%	0.95%	0.80%	1.39%	1.27%	0.79%	0.98%	0.96%	0.51%	0.93%	1.18%	1.16%	0.44%	1.39%	1.89%	0.87%	0.67%	1.73%	1.10%	2.28%	1.36%									
14	Грудинин Павел Николаевич	5053	155	185	166	137	158	252	149	56	208	168	157	130	189	165	152	161	181	170	142	162	155	166	103	163	206	203	191	169	192	216	46									
		13.67%	11.02%	15.35%	12.39%	12.45%	14.20%	15.23%	12.17%	12.25%	16.20%	13.85%	13.40%	12.40%	15.19%	15.24%	12.07%	12.74%	12.70%	11.71%	12.16%	11.65%	13.10%	14.81%	11.42%	12.62%	14.99%	13.52%	12.72%	18.27%	16.18%	19.69%	12.50%									
15	Жириновский Владимир Вольфович	1508	66	44	66	50	49	107	67	21	42	40	53	49	33	22	49	51	51	47	45	66	58	66	44	54	39	41	73	27	35	26	27									
