Выборы Президента Российской Федерации																																																																																																																																
Дата голосования: 18.03.2018																																																																																																																																
																																																																																																																																
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №5																																																																																																																																
																																																																																																																																
Сводная таблица предварительных итогов голосования																																																																																																																																
																																																																																																																																
	Число участковых избирательных комиссий	117																																																																																																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	117																																																																																																																														
																																																																																																																																
		Сумма	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538									
1	"Число избирателей, включенных в список избирателей"	245125	1779	1750	1720	1789	1870	1821	2486	2186	2092	1984	2127	2071	1921	1941	2042	2323	1800	2250	1896	2346	2320	2023	1810	1849	1980	2225	2082	2144	1793	1899	1795	2121	1979	2407	2295	2249	2184	2449	1784	1909	1843	1866	1819	2028	2302	1966	2076	2308	2392	2314	1825	2292	2017	2191	2685	3497	2466	2553	2541	2362	1794	1681	1588	1731	1936	2143	2181	1975	2207	1914	2276	1979	2130	2027	2321	2224	2024	2335	2245	2002	2011	1869	2219	2150	1979	1850	648	2649	2262	2143	2635	2328	1902	1909	2183	2453	2439	2527	2252	1742	2153	2165	2085	2459	2499	2255	2147	2462	2547	2272	2629	2105	1977	1643	1785	1036	1209									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	220150	1500	1500	1500	1800	1800	1800	2000	1800	1800	1800	2000	2000	1800	1800	2000	2000	1500	2000	1500	2000	2000	1800	1500	1800	1800	1800	2000	1800	1500	1800	1500	2000	1800	2000	2000	2000	2000	2500	1500	1500	1800	1800	1500	1800	2000	1800	1800	2000	2000	2000	1800	2000	1800	2000	2500	2500	2000	2500	2500	2000	1500	1500	1500	1500	1800	2000	1800	1800	2000	1800	2000	1800	1800	1800	2000	2000	1800	1800	2000	1800	1800	1800	2000	2000	1800	1800	650	2500	2000	1800	3000	2000	1800	1800	2000	2000	2500	2000	2000	1500	1800	2000	2000	2000	2000	2000	2000	2000	2500	2000	2000	1500	2500	1500	1500	1500	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	146550	1129	1042	830	957	1036	1007	1527	1210	1236	1040	1179	1106	1052	1138	1180	1361	1031	1291	986	1534	1486	1400	1146	1134	1278	1111	1275	1103	1017	1030	1057	1254	1207	1330	1398	1318	1330	1337	996	1106	1124	1070	1126	1266	1213	1158	1206	1388	1418	1319	1071	1333	1244	1207	1561	1850	1469	1530	1456	1249	1075	1060	897	1022	1155	1282	1300	1200	1372	1058	1365	1155	1358	1209	1354	1389	1287	1511	1283	1187	1145	1088	1257	1271	1262	1138	589	1544	1356	1419	1895	1445	1147	1187	1163	1715	1515	1566	1324	1132	1322	1443	1326	1511	1595	1432	1325	1685	1571	1322	1430	1236	1204	981	1072	788	1187									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3258	11	15	22	30	19	31	22	14	22	14	31	27	21	29	20	36	20	14	26	14	24	20	36	39	21	35	22	28	34	37	90	28	25	12	36	32	33	57	67	32	32	23	14	14	29	21	34	24	48	56	19	28	29	28	5	11	18	33	40	30	26	26	23	32	52	22	25	23	35	25	43	39	33	40	36	26	37	25	36	47	27	34	12	25	33	29	15	12	27	21	19	23	10	23	18	12	14	110	45	16	16	12	12	17	14	17	17	15	17	21	7	7	0	2	7	219	0									
6	Число погашенных избирательных бюллетеней	70342	360	443	648	813	745	762	451	576	542	746	790	867	727	633	800	603	449	695	488	452	490	380	318	627	501	654	703	669	449	733	353	718	568	658	566	650	637	1106	437	362	644	707	360	520	758	621	560	588	534	625	710	639	527	765	934	639	513	937	1004	721	399	414	580	446	593	696	475	577	593	717	592	606	409	551	610	585	476	264	681	566	628	678	731	704	505	633	46	944	617	360	1086	532	643	590	819	273	971	324	631	352	462	545	662	472	391	551	658	300	912	657	563	257	1296	517	421	493	813									
