Выборы Президента Российской Федерации																																					
Дата голосования: 18.03.2018																																					
																																					
Наименование Избирательной комиссии:    Александрово-Заводская																																					
																																					
Сводная таблица итогов голосования																																					
																																					
	Число участковых избирательных комиссий	26																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	26																																			
																																					
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026									
1	"Число избирателей, включенных в список избирателей"	6670	1962	52	287	340	203	149	124	98	125	99	188	153	98	380	256	112	116	548	209	180	162	125	317	271	35	81									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7000	2100	55	300	350	215	155	130	100	120	105	185	160	110	400	270	115	120	580	225	185	170	125	330	280	35	80									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	17	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3348	945	36	188	165	92	90	79	41	82	50	90	85	62	161	123	57	77	205	115	87	85	68	149	138	21	57									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	536	66	0	20	50	16	7	9	17	24	10	12	9	5	18	24	14	13	92	14	15	4	15	34	37	4	7									
6	Число погашенных избирательных бюллетеней	3099	1089	19	92	135	107	58	42	42	14	45	83	66	43	204	123	44	30	283	96	83	81	42	147	105	10	16									
7	Число избирательных бюллетеней в переносных ящиках для голосования	553	66	0	20	50	16	7	9	17	24	10	12	9	5	35	24	14	13	92	14	15	4	15	34	37	4	7									
8	Число бюллетеней в стационарных ящиках для голосования	3348	945	36	188	165	92	90	79	41	82	50	90	85	62	161	123	57	77	205	115	87	85	68	149	138	21	57									
9	Число недействительных избирательных бюллетеней	28	10	0	1	1	0	0	1	0	1	0	0	1	2	2	0	0	0	2	2	1	1	0	1	2	0	0									
10	Число действительных избирательных бюллетеней	3873	1001	36	207	214	108	97	87	58	105	60	102	93	65	194	147	71	90	295	127	101	88	83	182	173	25	64									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
13	Бабурин Сергей Николаевич	21	5	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	3	1	0	1	0	2	2	1	2									
		0.54%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.94%	1.67%	0.00%	1.06%	0.00%	0.51%	0.00%	0.00%	0.00%	1.01%	0.78%	0.00%	1.12%	0.00%	1.09%	1.14%	4.00%	3.13%									
14	Грудинин Павел Николаевич	347	135	0	7	18	6	12	3	3	5	4	13	3	2	14	4	3	10	56	3	9	3	9	10	9	0	6									
		8.90%	13.35%	0.00%	3.37%	8.37%	5.56%	12.37%	3.41%	5.17%	4.72%	6.67%	12.75%	3.19%	2.99%	7.14%	2.72%	4.23%	11.11%	18.86%	2.33%	8.82%	3.37%	10.84%	5.46%	5.14%	0.00%	9.38%									
15	Жириновский Владимир Вольфович	418	115	3	30	14	11	5	16	3	18	11	11	10	12	34	10	11	4	29	8	11	9	8	16	16	2	1									
		10.72%	11.37%	8.33%	14.42%	6.51%	10.19%	5.15%	18.18%	5.17%	16.98%	18.33%	10.78%	10.64%	17.91%	17.35%	6.80%	15.49%	4.44%	9.76%	6.20%	10.78%	10.11%	9.64%	8.74%	9.14%	8.00%	1.56%									
16	Путин Владимир Владимирович	3047	735	33	168	181	91	80	68	51	79	44	77	78	50	143	131	57	75	203	114	81	72	66	151	145	20	54									
		78.11%	72.70%	91.67%	80.77%	84.19%	84.26%	82.47%	77.27%	87.93%	74.53%	73.33%	75.49%	82.98%	74.63%	72.96%	89.12%	80.28%	83.33%	68.35%	88.37%	79.41%	80.90%	79.52%	82.51%	82.86%	80.00%	84.38%									
17	Собчак Ксения Анатольевна	16	3	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	2	1	0	0	0	3	0	2	0									
		0.41%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%	1.06%	1.49%	0.51%	0.00%	0.00%	1.11%	0.67%	0.78%	0.00%	0.00%	0.00%	1.64%	0.00%	8.00%	0.00%									
18	Сурайкин Максим Александрович	16	5	0	1	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	1									
		0.41%	0.49%	0.00%	0.48%	0.47%	0.00%	0.00%	0.00%	1.72%	1.89%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.37%	0.00%	0.00%	0.57%	0.00%	1.56%									
19	Титов Борис Юрьевич	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0									
		0.10%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	Явлинский Григорий Алексеевич	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0									
		0.10%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.36%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
