Выборы Президента Российской Федерации																																							
Дата голосования: 18.03.2018																																							
																																							
Наименование Избирательной комиссии:    Хилокская																																							
																																							
Сводная таблица итогов голосования																																							
																																							
	Число участковых избирательных комиссий	28																																					
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	28																																					
																																							
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428									
1	"Число избирателей, включенных в список избирателей"	21728	1943	1738	1376	1898	1461	112	296	118	1200	1379	193	201	125	233	875	1758	555	160	127	1173	127	87	774	1013	835	789	1087	95									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17700	1550	1390	1050	1530	1200	100	255	100	1000	1160	180	165	100	185	735	1460	455	145	105	960	100	80	625	840	665	650	835	80									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10323	892	846	656	861	666	93	200	92	524	617	161	148	96	129	477	810	285	122	87	520	70	54	343	452	325	319	398	80									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	801	59	26	23	28	66	5	20	1	34	45	4	8	0	24	20	69	36	16	2	52	7	14	45	77	47	37	36	0									
6	Число погашенных избирательных бюллетеней	6576	599	518	371	641	468	2	35	7	442	498	15	9	4	32	238	581	134	7	16	388	23	12	237	311	293	294	401	0									
7	Число избирательных бюллетеней в переносных ящиках для голосования	801	59	26	23	28	66	5	20	1	34	45	4	8	0	24	20	69	36	16	2	52	7	14	45	77	47	37	36	0									
8	Число бюллетеней в стационарных ящиках для голосования	10323	892	846	656	861	666	93	200	92	524	617	161	148	96	129	477	810	285	122	87	520	70	54	343	452	325	319	398	80									
9	Число недействительных избирательных бюллетеней	116	10	12	4	11	7	0	1	1	7	4	2	2	1	2	8	7	10	0	1	10	0	0	4	3	2	0	7	0									
10	Число действительных избирательных бюллетеней	11008	941	860	675	878	725	98	219	92	551	658	163	154	95	151	489	872	311	138	88	562	77	68	384	526	370	356	427	80									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
13	Бабурин Сергей Николаевич	47	3	5	2	1	3	0	0	0	3	1	1	0	0	0	5	6	3	0	0	2	0	1	1	3	2	1	3	1									
		0.42%	0.32%	0.57%	0.29%	0.11%	0.41%	0.00%	0.00%	0.00%	0.54%	0.15%	0.61%	0.00%	0.00%	0.00%	1.01%	0.68%	0.93%	0.00%	0.00%	0.35%	0.00%	1.47%	0.26%	0.57%	0.54%	0.28%	0.69%	1.25%									
14	Грудинин Павел Николаевич	1495	162	160	127	136	150	9	24	2	71	72	19	8	7	5	50	133	37	13	4	57	4	1	50	62	52	42	34	4									
		13.44%	17.03%	18.35%	18.70%	15.30%	20.49%	9.18%	10.91%	2.15%	12.72%	10.88%	11.52%	5.13%	7.29%	3.27%	10.06%	15.13%	11.53%	9.42%	4.49%	9.97%	5.19%	1.47%	12.89%	11.72%	13.98%	11.80%	7.83%	5.00%									
