Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Лежневская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596					
1	"Число избирателей, внесенных в список"	15372	1018	1396	760	877	1296	1126	635	318	264	329	609	253	873	736	1508	433	680	1075	1186					
2	Число полученных избирательных бюллетеней	14150	892	1274	698	756	1190	1006	568	288	228	299	566	235	805	695	1387	444	655	1013	1151					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7175	520	590	383	414	628	500	363	183	59	190	281	52	427	427	789	231	160	445	533					
5	"Число избирательных бюллетеней, выданных вне помещения"	1834	38	47	51	97	78	61	50	24	137	77	129	147	132	79	64	62	255	142	164					
6	Число погашенных избирательных бюллетеней	5141	334	637	264	245	484	445	155	81	32	32	156	36	246	189	534	151	240	426	454					
7	Число избирательных бюллетеней в переносных ящиках	1834	38	47	51	97	78	61	50	24	137	77	129	147	132	79	64	62	255	142	164					
8	Число бюллетеней в стационарных ящиках для голосования	7175	520	590	383	414	628	500	363	183	59	190	281	52	427	427	789	231	160	445	533					
9	Число недействительных избирательных бюллетеней	72	2	5	1	2	5	7	3	0	0	4	0	2	3	3	8	1	3	8	15					
10	Число действительных избирательных бюллетеней	8937	556	632	433	509	701	554	410	207	196	263	410	197	556	503	845	292	412	579	682					
11	Число полученных открепительных  удостоверений	190	10	10	10	10	10	10	10	5	5	5	5	5	20	30	10	5	10	10	10					
12	Число выданных открепительных удостоверений	79	1	1	5	0	8	0	3	1	1	1	2	2	10	24	8	1	1	6	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	66	6	6	2	2	3	1	2	0	4	0	4	0	10	4	7	3	4	5	3					
14	Число неиспользованных открепительных удостоверений	111	9	9	5	10	2	10	7	4	4	4	3	3	10	6	2	4	9	4	6					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	337	15	27	24	22	28	22	15	7	9	8	5	1	26	20	52	7	12	17	20					
		3.74%	2.69%	4.24%	5.53%	4.31%	3.97%	3.92%	3.63%	3.38%	4.59%	3.00%	1.22%	0.50%	4.65%	3.95%	6.10%	2.39%	2.89%	2.90%	2.87%					
19	. Малышкин Олег Александрович	341	14	29	19	19	30	23	9	7	14	3	8	11	20	11	47	9	14	23	31					
		3.79%	2.51%	4.55%	4.38%	3.72%	4.25%	4.10%	2.18%	3.38%	7.14%	1.12%	1.95%	5.53%	3.58%	2.17%	5.51%	3.07%	3.37%	3.92%	4.45%					
20	. Миронов Сергей Михайлович	91	3	9	2	7	6	8	5	0	1	2	4	2	11	8	3	4	2	6	8					
		1.01%	0.54%	1.41%	0.46%	1.37%	0.85%	1.43%	1.21%	0.00%	0.51%	0.75%	0.98%	1.01%	1.97%	1.58%	0.35%	1.37%	0.48%	1.02%	1.15%					
21	. Путин Владимир Владимирович	6199	345	442	287	338	470	356	294	163	142	191	331	139	409	398	534	196	280	415	469					
		68.81%	61.83%	69.39%	66.13%	66.14%	66.57%	63.46%	71.19%	78.74%	72.45%	71.54%	80.73%	69.85%	73.17%	78.66%	62.60%	66.89%	67.47%	70.70%	67.29%					
22	. Хакамада Ирина Муцуовна	199	14	13	7	12	23	8	6	0	1	4	4	6	18	12	21	7	11	14	18					
		2.21%	2.51%	2.04%	1.61%	2.35%	3.26%	1.43%	1.45%	0.00%	0.51%	1.50%	0.98%	3.02%	3.22%	2.37%	2.46%	2.39%	2.65%	2.39%	2.58%					
23	. Харитонов Николай Михайлович	1421	143	87	78	90	103	115	61	21	19	35	44	34	64	35	142	60	89	89	112					
		15.77%	25.63%	13.66%	17.97%	17.61%	14.59%	20.50%	14.77%	10.14%	9.69%	13.11%	10.73%	17.09%	11.45%	6.92%	16.65%	20.48%	21.45%	15.16%	16.07%					
																										
24	Против всех	349	22	25	16	21	41	22	20	9	10	20	14	4	8	19	46	9	4	15	24					
		3.87%	3.94%	3.92%	3.69%	4.11%	5.81%	3.92%	4.84%	4.35%	5.10%	7.49%	3.41%	2.01%	1.43%	3.75%	5.39%	3.07%	0.96%	2.56%	3.44%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
