Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Пучежская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698					
1	"Число избирателей, внесенных в список"	14418	1438	1230	1056	1577	1935	604	1092	433	923	384	569	177	188	285	143	212	260	382	434	485	186	241	184					
2	Число полученных избирательных бюллетеней	13872	1300	1180	1010	1490	1850	580	1040	420	890	370	550	188	194	280	146	215	260	385	410	480	189	250	195					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7117	794	667	525	728	895	332	526	211	409	201	282	65	102	141	93	113	144	145	180	265	93	104	102					
5	"Число избирательных бюллетеней, выданных вне помещения"	1791	44	84	78	44	105	187	21	94	138	76	102	63	22	64	8	64	51	145	139	58	41	108	55					
6	Число погашенных избирательных бюллетеней	4964	462	429	407	718	850	61	493	115	343	93	166	60	70	75	45	38	65	95	91	157	55	38	38					
7	Число избирательных бюллетеней в переносных ящиках	1791	44	84	78	44	105	187	21	94	138	76	102	63	22	64	8	64	51	145	139	58	41	108	55					
8	Число бюллетеней в стационарных ящиках для голосования	7117	794	667	525	728	895	332	526	211	409	201	282	65	102	141	93	113	144	145	180	265	93	104	102					
9	Число недействительных избирательных бюллетеней	50	3	5	3	4	4	2	2	1	11	0	1	0	3	0	1	1	3	1	1	2	0	2	0					
10	Число действительных избирательных бюллетеней	8858	835	746	600	768	996	517	545	304	536	277	383	128	121	205	100	176	192	289	318	321	134	210	157					
11	Число полученных открепительных  удостоверений	228	10	16	16	10	15	10	10	8	10	10	8	8	8	12	5	5	5	16	10	13	8	10	5					
12	Число выданных открепительных удостоверений	164	9	15	16	9	9	1	3	8	6	10	7	7	7	12	2	3	0	16	1	12	3	7	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	90	10	10	14	4	16	2	3	2	4	1	2	0	3	1	3	0	0	2	5	3	1	2	2					
14	Число неиспользованных открепительных удостоверений	64	1	1	0	1	6	9	7	0	4	0	1	1	1	0	3	2	5	0	9	1	5	3	4					
15	"Число открепительных удостоверений, выданных в ТИК"	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	264	21	31	32	32	19	14	30	3	18	8	7	3	2	4	7	5	3	3	2	7	0	10	3					
		2.96%	2.51%	4.13%	5.31%	4.15%	1.90%	2.70%	5.48%	0.98%	3.29%	2.89%	1.82%	2.34%	1.61%	1.95%	6.93%	2.82%	1.54%	1.03%	0.63%	2.17%	0.00%	4.72%	1.91%					
19	. Малышкин Олег Александрович	214	15	9	17	17	38	14	17	6	10	7	6	5	2	7	2	8	5	11	5	7	1	5	0					
		2.40%	1.79%	1.20%	2.82%	2.20%	3.80%	2.70%	3.11%	1.97%	1.83%	2.53%	1.56%	3.91%	1.61%	3.41%	1.98%	4.52%	2.56%	3.79%	1.57%	2.17%	0.75%	2.36%	0.00%					
20	. Миронов Сергей Михайлович	98	7	6	8	15	14	5	7	6	5	1	4	0	0	1	2	2	3	5	2	1	2	1	1					
		1.10%	0.84%	0.80%	1.33%	1.94%	1.40%	0.96%	1.28%	1.97%	0.91%	0.36%	1.04%	0.00%	0.00%	0.49%	1.98%	1.13%	1.54%	1.72%	0.63%	0.31%	1.49%	0.47%	0.64%					
21	. Путин Владимир Владимирович	6189	566	474	389	511	704	420	365	224	396	176	298	77	89	146	58	122	131	218	222	223	108	147	125					
		69.48%	67.54%	63.12%	64.51%	66.19%	70.40%	80.92%	66.73%	73.44%	72.39%	63.54%	77.60%	60.16%	71.77%	71.22%	57.43%	68.93%	67.18%	75.17%	69.59%	69.04%	80.60%	69.34%	79.62%					
22	. Хакамада Ирина Муцуовна	157	12	23	13	9	17	10	8	8	5	9	3	4	1	3	3	1	3	9	6	5	3	2	0					
		1.76%	1.43%	3.06%	2.16%	1.17%	1.70%	1.93%	1.46%	2.62%	0.91%	3.25%	0.78%	3.12%	0.81%	1.46%	2.97%	0.56%	1.54%	3.10%	1.88%	1.55%	2.24%	0.94%	0.00%					
23	. Харитонов Николай Михайлович	1746	193	175	121	173	186	48	106	49	92	73	59	38	22	39	27	35	45	40	70	71	17	41	26					
		19.60%	23.03%	23.30%	20.07%	22.41%	18.60%	9.25%	19.38%	16.07%	16.82%	26.35%	15.36%	29.69%	17.74%	19.02%	26.73%	19.77%	23.08%	13.79%	21.94%	21.98%	12.69%	19.34%	16.56%					
																														
24	Против всех	190	21	28	20	11	18	6	12	8	10	3	6	1	5	5	1	3	2	3	11	7	3	4	2					
		2.13%	2.51%	3.73%	3.32%	1.42%	1.80%	1.16%	2.19%	2.62%	1.83%	1.08%	1.56%	0.78%	4.03%	2.44%	0.99%	1.69%	1.03%	1.03%	3.45%	2.17%	2.24%	1.89%	1.27%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
