Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Южская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК  808	УИК  809	УИК  810	УИК  811	УИК  812	УИК  813	УИК  814	УИК  815	УИК  816	УИК  817	УИК  818	УИК  819	УИК  820	УИК  821	УИК  822	УИК  823	УИК  824	УИК  825	УИК  826	УИК  827	УИК  828	УИК  829					
1	"Число избирателей, внесенных в список"	19247	1723	1778	2002	1761	1587	1592	1740	761	505	732	86	1722	438	215	505	458	218	198	356	206	447	217					
2	Число полученных избирательных бюллетеней	18610	1700	1750	2000	1700	1550	1550	1700	700	500	650	80	1650	400	200	450	450	200	180	350	200	450	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9651	809	809	926	858	714	722	791	458	267	400	53	1217	225	120	319	135	128	108	170	41	277	104					
5	"Число избирательных бюллетеней, выданных вне помещения"	1564	100	68	96	100	59	132	57	46	77	111	0	31	112	39	47	171	31	37	64	92	45	49					
6	Число погашенных избирательных бюллетеней	7393	791	873	978	742	777	696	852	196	156	137	27	402	63	41	84	144	41	35	116	67	128	47					
7	Число избирательных бюллетеней в переносных ящиках	1564	100	68	96	100	59	132	57	46	77	111	0	31	112	39	47	171	31	37	64	92	45	49					
8	Число бюллетеней в стационарных ящиках для голосования	9651	809	809	926	858	714	722	791	458	267	400	53	1217	225	120	319	135	128	108	170	41	277	104					
9	Число недействительных избирательных бюллетеней	77	9	8	3	5	12	8	8	0	2	4	1	9	1	0	0	2	1	0	1	0	2	1					
10	Число действительных избирательных бюллетеней	11138	900	869	1019	953	761	846	840	504	342	507	52	1239	336	159	366	304	158	145	233	133	320	152					
11	Число полученных открепительных  удостоверений	275	20	30	20	20	20	20	20	10	10	20	3	20	7	5	5	5	5	5	5	5	10	10					
12	Число выданных открепительных удостоверений	157	19	25	14	12	13	9	12	2	8	8	0	14	0	1	5	1	1	0	2	0	5	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	162	9	4	7	5	4	12	6	2	1	21	2	63	1	1	7	1	6	1	2	1	6	0					
14	Число неиспользованных открепительных удостоверений	118	1	5	6	8	7	11	8	8	2	12	3	6	7	4	0	4	4	5	3	5	5	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	344	29	16	24	46	15	27	22	19	25	21	1	33	9	1	5	22	0	5	3	3	15	3					
		3.07%	3.19%	1.82%	2.35%	4.80%	1.94%	3.16%	2.59%	3.77%	7.27%	4.11%	1.89%	2.64%	2.67%	0.63%	1.37%	7.19%	0.00%	3.45%	1.28%	2.26%	4.66%	1.96%					
19	. Малышкин Олег Александрович	391	28	25	26	32	32	26	28	14	17	21	3	62	6	7	10	11	4	5	9	4	15	6					
		3.49%	3.08%	2.85%	2.54%	3.34%	4.14%	3.04%	3.30%	2.78%	4.94%	4.11%	5.66%	4.97%	1.78%	4.40%	2.73%	3.59%	2.52%	3.45%	3.85%	3.01%	4.66%	3.92%					
20	. Миронов Сергей Михайлович	80	4	7	13	12	1	5	9	3	1	2	1	7	3	0	1	1	1	1	3	1	2	2					
		0.71%	0.44%	0.80%	1.27%	1.25%	0.13%	0.59%	1.06%	0.60%	0.29%	0.39%	1.89%	0.56%	0.89%	0.00%	0.27%	0.33%	0.63%	0.69%	1.28%	0.75%	0.62%	1.31%					
21	. Путин Владимир Владимирович	8066	662	617	786	702	532	609	602	367	241	330	40	856	233	134	275	233	128	101	190	93	224	111					
		71.92%	72.83%	70.35%	76.91%	73.28%	68.82%	71.31%	70.99%	72.82%	70.06%	64.58%	75.47%	68.59%	69.14%	84.28%	75.14%	76.14%	80.50%	69.66%	81.20%	69.92%	69.57%	72.55%					
22	. Хакамада Ирина Муцуовна	210	17	19	21	20	15	10	21	14	2	12	0	23	9	1	5	3	0	4	4	1	5	4					
		1.87%	1.87%	2.17%	2.05%	2.09%	1.94%	1.17%	2.48%	2.78%	0.58%	2.35%	0.00%	1.84%	2.67%	0.63%	1.37%	0.98%	0.00%	2.76%	1.71%	0.75%	1.55%	2.61%					
23	. Харитонов Николай Михайлович	1704	132	164	126	107	144	147	137	66	48	109	7	194	65	14	62	28	24	27	19	31	36	17					
		15.19%	14.52%	18.70%	12.33%	11.17%	18.63%	17.21%	16.16%	13.10%	13.95%	21.33%	13.21%	15.54%	19.29%	8.81%	16.94%	9.15%	15.09%	18.62%	8.12%	23.31%	11.18%	11.11%					
																													
24	Против всех	343	28	21	23	34	22	22	21	21	8	12	0	64	11	2	8	6	1	2	5	0	23	9					
		3.06%	3.08%	2.39%	2.25%	3.55%	2.85%	2.58%	2.48%	4.17%	2.33%	2.35%	0.00%	5.13%	3.26%	1.26%	2.19%	1.96%	0.63%	1.38%	2.14%	0.00%	7.14%	5.88%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
