Выборы Президента Российской Федерации																																																								
Дата голосования: 02.03.2008																																																								
																																																								
Наименование Избирательной комиссии:    Аларская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
	Число участковых избирательных комиссий	49																																																						
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	49																																																						
																																																								
		Сумма	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703					
1	"Число избирателей, включенных в списки избирателей"	17966	895	100	158	103	430	97	525	75	68	384	103	80	638	316	69	1223	108	113	239	509	509	126	238	173	222	470	189	162	623	1864	1027	98	206	296	112	138	98	340	156	442	152	219	118	575	111	484	188	407	1990					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15617	740	100	150	100	430	100	450	70	70	360	105	80	620	305	75	763	97	95	240	495	480	125	220	150	230	480	205	135	442	1235	665	100	185	280	110	140	100	340	150	400	150	210	100	450	110	430	190	360	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	13808	723	89	103	90	362	76	370	60	62	340	99	73	501	276	60	708	77	78	164	420	415	110	216	120	201	419	146	120	324	1095	653	90	162	232	82	125	84	283	129	339	126	195	95	398	87	375	161	332	1963					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1303	14	1	34	4	68	21	80	10	5	20	0	2	99	10	8	55	19	9	75	72	47	14	4	30	17	41	19	10	111	57	12	0	16	18	7	7	14	37	21	58	12	15	5	52	11	26	8	28	0					
6	Число погашенных избирательных бюллетеней	506	3	10	13	6	0	3	0	0	3	0	6	5	20	19	7	0	1	8	1	3	18	1	0	0	12	20	40	5	7	83	0	10	7	30	21	8	2	20	0	3	12	0	0	0	12	29	21	0	37					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1303	14	1	34	4	68	21	80	10	5	20	0	2	99	10	8	55	19	9	75	72	47	14	4	30	17	41	19	10	111	57	12	0	16	18	7	7	14	37	21	58	12	15	5	52	11	26	8	28	0					
8	Число бюллетеней в стационарных ящиках для голосования	13808	723	89	103	90	362	76	370	60	62	340	99	73	501	276	60	708	77	78	164	420	415	110	216	120	201	419	146	120	324	1095	653	90	162	232	82	125	84	283	129	339	126	195	95	398	87	375	161	332	1963					
9	Число недействительных избирательных бюллетеней	122	6	0	1	2	7	3	2	0	1	2	0	2	1	2	0	2	0	1	5	4	2	1	4	0	0	2	3	1	8	10	10	0	3	1	2	0	0	6	0	1	1	0	3	1	0	3	0	0	19					
10	Число действительных избирательных бюллетеней	14989	731	90	136	92	423	94	448	70	66	358	99	73	599	284	68	761	96	86	234	488	460	123	216	150	218	458	162	129	427	1142	655	90	175	249	87	132	98	314	150	396	137	210	97	449	98	398	169	360	1944					
11	Число полученных открепительных  удостоверений	885	34	5	5	5	62	10	20	5	5	25	5	5	50	20	5	35	3	8	10	15	40	7	10	10	15	46	29	5	16	67	21	5	5	15	8	5	5	46	10	20	5	5	5	38	10	25	10	20	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	867	34	5	5	3	62	10	20	5	5	25	5	5	50	19	5	35	1	8	10	15	40	7	10	10	15	46	29	5	16	67	21	5	5	15	8	5	5	46	10	20	5	5	5	38	10	25	10	20	37					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	176	1	0	1	2	2	0	5	0	1	3	1	1	5	2	2	12	3	1	1	10	6	1	3	2	2	4	3	3	6	41	9	1	5	3	0	0	4	7	3	4	1	1	1	2	1	1	1	2	6					
14	Число неиспользованных открепительных удостоверений	18	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
