Выборы Президента Российской Федерации																																																																																																								
																																																																																																								
Наименование Избирательной комиссии:    Братская городская																																																																																																								
																																																																																																								
Итоги голосования 																																																																																																								
																																																																																																								
		Сумма	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №292	УИК №293	УИК №1593					
1	"Число избирателей, внесенных в список"	198407	1733	1561	2768	1900	1925	2154	1890	2074	2021	1881	2369	1742	2145	2178	1879	1860	2833	2925	2856	2632	2399	2028	1815	2910	2852	2225	2542	2392	2491	2518	2501	2257	2182	2668	2935	1743	3001	2662	2838	2643	2314	2327	2051	2326	2233	2258	2052	2093	2199	1904	2198	1759	119	250	1554	721	1330	1810	1597	1515	1504	1283	1153	1982	2233	1848	2282	2298	2107	2065	2438	2780	2545	2038	2611	2644	2042	2062	2301	292	1729	1955	2486	2328	2456	2088	795	2606	1043	976	1132	951	2546	2094	1300	1645	2231					
2	Число полученных избирательных бюллетеней	197427	1720	1560	2770	1910	1910	2160	1890	2060	2030	1870	2360	1750	2150	2150	1820	1850	2840	2930	2850	2470	2400	2020	1820	2900	2840	2230	2550	2390	2490	2520	2500	2260	2190	2680	2940	1740	2990	2660	2850	2650	2300	2250	2040	2330	2230	2260	2040	2090	2190	1900	2190	1720	119	249	1530	727	1330	1638	1570	1510	1510	1270	1140	1970	2240	1837	2290	2300	2100	2070	2450	2760	2560	1800	2740	2650	2040	2080	2300	303	1734	1956	2486	2344	2464	1989	772	2613	1035	978	987	952	2548	2092	1297	1643	2244					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	98592	586	493	1120	963	952	1039	926	1033	976	881	1122	735	807	901	757	689	1485	1631	1549	1423	1259	987	941	1521	1483	1158	1291	1214	1232	1363	1281	1191	1213	1560	1547	851	1280	1432	1394	1414	1058	1160	1058	1222	1170	1157	1173	1177	1114	1013	1176	796	108	144	544	721	538	881	667	721	755	534	576	1079	1276	953	1158	1278	1061	1136	1391	1542	1366	940	1365	1310	1109	1060	1271	148	856	856	1300	1238	1241	826	372	1164	474	352	510	463	1171	971	508	738	966					
5	"Число избирательных бюллетеней, выданных вне помещения"	3855	62	30	52	38	32	21	31	30	36	42	37	23	24	33	42	37	50	36	38	30	41	30	21	29	36	69	40	14	37	25	8	19	9	19	29	22	12	44	26	29	252	100	22	10	11	14	16	23	25	18	11	57	11	103	76	0	50	19	26	55	26	22	46	32	7	9	12	17	14	20	22	37	37	225	18	23	26	30	38	77	29	39	29	22	37	221	30	46	30	33	170	16	29	96	20	27	61					
6	Число погашенных избирательных бюллетеней	94980	1072	1037	1598	909	926	1100	933	997	1018	947	1201	992	1319	1216	1021	1124	1305	1263	1263	1017	1100	1003	858	1350	1321	1003	1219	1162	1221	1132	1211	1050	968	1101	1364	867	1698	1184	1430	1207	990	990	960	1098	1049	1089	851	890	1051	869	1003	867	0	2	910	6	742	738	877	734	729	714	518	859	957	875	1120	1005	1025	914	1037	1181	1157	635	1357	1317	905	990	991	78	849	1061	1157	1084	1186	942	370	1403	531	593	307	473	1348	1025	769	878	1217					
7	Число избирательных бюллетеней в переносных ящиках	3853	62	30	52	38	32	21	31	30	36	42	37	23	24	33	42	37	50	36	38	30	41	30	21	29	36	69	40	14	37	25	8	19	9	19	29	22	12	44	26	29	252	100	22	10	11	14	16	23	25	18	11	57	11	103	76	0	50	19	26	55	26	22	46	32	7	9	12	17	14	20	22	37	37	224	18	23	26	30	38	77	29	39	29	22	37	221	30	46	30	33	169	16	29	96	20	27	61					
8	Число бюллетеней в стационарных ящиках для голосования	98570	586	493	1120	962	952	1039	926	1033	974	881	1122	735	807	900	757	689	1485	1629	1549	1423	1259	985	941	1521	1483	1158	1291	1214	1232	1362	1281	1191	1213	1560	1547	851	1280	1426	1391	1413	1057	1160	1058	1222	1170	1157	1173	1176	1114	1013	1176	796	108	144	544	721	538	881	667	721	755	534	576	1079	1276	953	1158	1278	1061	1136	1391	1542	1366	940	1365	1309	1109	1060	1271	148	856	856	1300	1238	1241	826	372	1164	474	352	510	463	1171	971	508	738	966					
9	Число недействительных избирательных бюллетеней	602	2	3	12	5	3	9	3	4	3	7	11	8	7	9	4	4	5	11	6	18	10	6	5	3	7	4	6	10	11	10	5	4	5	3	6	5	15	8	3	5	10	9	5	7	6	11	6	3	9	3	7	7	1	3	8	30	0	5	6	7	3	6	2	7	2	3	5	8	1	5	7	10	6	6	6	6	4	4	7	1	0	11	10	4	5	4	2	3	0	6	7	13	5	7	5	4	9					
10	Число действительных избирательных бюллетеней	101821	646	520	1160	995	981	1051	954	1059	1007	916	1148	750	824	924	795	722	1530	1654	1581	1435	1290	1009	957	1547	1512	1223	1325	1218	1258	1377	1284	1206	1217	1576	1570	868	1277	1462	1414	1437	1299	1251	1075	1225	1175	1160	1183	1196	1130	1028	1180	846	118	244	612	691	588	895	687	769	778	550	620	1104	1281	959	1165	1287	1074	1151	1406	1569	1397	1158	1377	1326	1131	1086	1302	224	885	884	1319	1256	1273	1043	400	1207	504	379	672	466	1195	1060	523	761	1018					
