Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Зиминская городская																							
																							
Итоги голосования 																							
																							
		Сумма	УИК  387	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394	УИК  395	УИК  396	УИК  397	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402					
1	"Число избирателей, внесенных в список"	25197	1314	911	1210	1478	1358	1421	2666	1719	1238	1060	2222	2563	1322	1636	1280	1799					
2	Число полученных избирательных бюллетеней	22745	1197	833	1058	1338	1224	1291	2430	1569	1121	932	2002	2335	1203	1478	1108	1626					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11683	618	330	639	824	713	701	1236	860	501	457	854	1379	577	636	523	835					
5	"Число избирательных бюллетеней, выданных вне помещения"	680	47	90	78	17	35	21	18	30	20	27	57	47	22	13	137	21					
6	Число погашенных избирательных бюллетеней	10382	532	413	341	497	476	569	1176	679	600	448	1091	909	604	829	448	770					
7	Число избирательных бюллетеней в переносных ящиках	680	47	90	78	17	35	21	18	30	20	27	57	47	22	13	137	21					
8	Число бюллетеней в стационарных ящиках для голосования	11683	618	330	639	824	713	701	1236	860	501	457	854	1379	577	636	523	835					
9	Число недействительных избирательных бюллетеней	118	2	6	2	9	5	9	0	15	4	4	7	16	8	7	15	9					
10	Число действительных избирательных бюллетеней	12245	663	414	715	832	743	713	1254	875	517	480	904	1410	591	642	645	847					
11	Число полученных открепительных  удостоверений	200	10	10	10	12	12	12	17	12	10	10	9	23	17	12	12	12					
12	Число выданных открепительных удостоверений	102	6	0	7	4	3	4	11	11	5	2	7	23	7	4	4	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	62	4	4	6	1	2	5	3	2	4	4	9	4	1	3	2	8					
14	Число неиспользованных открепительных удостоверений	98	4	10	3	8	9	8	6	1	5	8	2	0	10	8	8	8					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	495	19	11	47	48	36	27	56	33	18	11	31	75	13	23	19	28					
		4.00%	2.86%	2.62%	6.56%	5.71%	4.81%	3.74%	4.47%	3.71%	3.45%	2.27%	3.40%	5.26%	2.17%	3.54%	2.88%	3.27%					
19	. Малышкин Олег Александрович	803	31	38	31	50	48	46	90	68	27	28	62	78	49	49	44	64					
		6.50%	4.66%	9.05%	4.32%	5.95%	6.42%	6.37%	7.18%	7.64%	5.18%	5.79%	6.81%	5.47%	8.18%	7.55%	6.67%	7.48%					
20	. Миронов Сергей Михайлович	124	7	3	6	17	11	8	12	4	4	3	12	10	5	11	7	4					
		1.00%	1.05%	0.71%	0.84%	2.02%	1.47%	1.11%	0.96%	0.45%	0.77%	0.62%	1.32%	0.70%	0.83%	1.69%	1.06%	0.47%					
21	. Путин Владимир Владимирович	7041	401	266	409	449	419	365	714	515	335	272	523	759	359	361	381	513					
		56.95%	60.30%	63.33%	57.04%	53.39%	56.02%	50.55%	56.94%	57.87%	64.30%	56.20%	57.41%	53.23%	59.93%	55.62%	57.73%	59.93%					
22	. Хакамада Ирина Муцуовна	424	22	9	22	37	41	23	33	28	13	26	24	40	28	23	29	26					
		3.43%	3.31%	2.14%	3.07%	4.40%	5.48%	3.19%	2.63%	3.15%	2.50%	5.37%	2.63%	2.81%	4.67%	3.54%	4.39%	3.04%					
23	. Харитонов Николай Михайлович	2949	163	79	176	190	166	222	307	194	103	122	232	397	124	152	134	188					
		23.85%	24.51%	18.81%	24.55%	22.59%	22.19%	30.75%	24.48%	21.80%	19.77%	25.21%	25.47%	27.84%	20.70%	23.42%	20.30%	21.96%					
																							
24	Против всех	409	20	8	24	41	22	22	42	33	17	18	20	51	13	23	31	24					
		3.31%	3.01%	1.90%	3.35%	4.88%	2.94%	3.05%	3.35%	3.71%	3.26%	3.72%	2.20%	3.58%	2.17%	3.54%	4.70%	2.80%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
