Выборы Президента Российской Федерации																
																
Наименование Избирательной комиссии:    Мамско-Чуйская																
																
Итоги голосования 																
																
		Сумма	УИК  863	УИК  864	УИК  865	УИК  866	УИК  867	УИК  868	УИК  869	УИК  870	УИК  871					
1	"Число избирателей, внесенных в список"	6078	2039	1430	223	692	225	466	153	409	441					
2	Число полученных избирательных бюллетеней	6096	2051	1373	223	702	227	473	156	423	468					
3	"Число избирательных бюллетеней, выданных  досрочно"	37	0	37	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2921	807	605	122	402	130	279	93	229	254					
5	"Число избирательных бюллетеней, выданных вне помещения"	189	43	63	9	20	0	21	3	19	11					
6	Число погашенных избирательных бюллетеней	2949	1201	668	92	280	97	173	60	175	203					
7	Число избирательных бюллетеней в переносных ящиках	226	43	100	9	20	0	21	3	19	11					
8	Число бюллетеней в стационарных ящиках для голосования	2921	807	605	122	402	130	279	93	229	254					
9	Число недействительных избирательных бюллетеней	32	7	7	1	5	3	3	1	1	4					
10	Число действительных избирательных бюллетеней	3115	843	698	130	417	127	297	95	247	261					
11	Число полученных открепительных  удостоверений	185	25	25	15	25	15	25	15	20	20					
12	Число выданных открепительных удостоверений	44	12	5	0	9	0	2	0	10	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	20	8	6	0	1	0	1	0	4	0					
14	Число неиспользованных открепительных удостоверений	141	13	20	15	16	15	23	15	10	14					
15	"Число открепительных удостоверений, выданных в ТИК"	3	2	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																
18	. Глазьев Сергей Юрьевич	74	26	14	2	12	0	7	0	2	11					
		2.35%	3.06%	1.99%	1.53%	2.84%	0.00%	2.33%	0.00%	0.81%	4.15%					
19	. Малышкин Олег Александрович	90	22	17	2	10	0	5	3	9	22					
		2.86%	2.59%	2.41%	1.53%	2.37%	0.00%	1.67%	3.12%	3.63%	8.30%					
20	. Миронов Сергей Михайлович	30	9	12	0	4	1	1	0	1	2					
		0.95%	1.06%	1.70%	0.00%	0.95%	0.77%	0.33%	0.00%	0.40%	0.75%					
21	. Путин Владимир Владимирович	2350	626	499	114	336	114	222	71	186	182					
		74.67%	73.65%	70.78%	87.02%	79.62%	87.69%	74.00%	73.96%	75.00%	68.68%					
22	. Хакамада Ирина Муцуовна	92	25	39	0	9	1	2	3	4	9					
		2.92%	2.94%	5.53%	0.00%	2.13%	0.77%	0.67%	3.12%	1.61%	3.40%					
23	. Харитонов Николай Михайлович	386	108	91	10	39	8	50	17	38	25					
		12.27%	12.71%	12.91%	7.63%	9.24%	6.15%	16.67%	17.71%	15.32%	9.43%					
																
24	Против всех	93	27	26	2	7	3	10	1	7	10					
		2.96%	3.18%	3.69%	1.53%	1.66%	2.31%	3.33%	1.04%	2.82%	3.77%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
