Выборы Президента Российской Федерации																																																																																																				
Дата голосования: 18.03.2018																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Нижнеудинская																																																																																																				
																																																																																																				
Сводная таблица итогов голосования																																																																																																				
																																																																																																				
	Число участковых избирательных комиссий	89																																																																																																		
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	89																																																																																																		
																																																																																																				
		Сумма	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154									
1	"Число избирателей, включенных в список избирателей"	51805	832	783	956	500	597	710	537	1014	138	160	115	153	91	82	129	72	273	704	189	44	283	237	138	409	173	110	106	376	203	62	40	793	165	1494	1212	1458	1084	1909	871	1867	1850	887	2030	1603	2630	617	876	1219	1312	1614	1979	1061	421	169	269	115	85	176	138	365	902	527	147	440	1233	387	345	557	118	148	105	126	806	713	75	66	157	62	278	70	455	93	253	209	408	204	183	126	2127									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	47465	800	800	900	500	600	700	550	1000	140	150	110	170	95	85	130	65	280	700	190	50	295	250	145	400	180	105	105	360	200	65	45	800	155	1300	1100	1300	1000	1700	700	1700	1700	900	1800	1400	2500	500	600	1000	1100	1500	1700	900	350	160	250	120	85	190	140	370	800	500	150	400	1000	390	300	500	120	140	105	120	650	600	75	70	140	60	250	70	400	95	250	200	400	190	190	115	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24489	336	341	466	190	189	322	223	482	59	60	54	52	33	44	73	51	151	323	82	32	137	161	51	176	130	78	45	226	57	34	15	386	127	738	549	646	522	961	421	806	966	367	861	901	1204	283	489	677	568	729	868	481	257	69	158	74	39	101	84	145	368	195	138	194	674	169	180	291	65	87	58	67	369	327	39	31	85	30	94	42	194	67	173	82	223	155	60	45	837									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1800	32	27	53	20	10	44	16	24	12	40	16	0	0	8	4	0	0	35	14	5	19	8	29	40	5	3	3	19	56	3	2	22	0	41	8	40	9	52	66	17	17	9	33	70	22	24	29	13	12	19	26	25	27	34	20	7	8	5	13	0	31	35	0	36	26	31	12	18	3	7	5	4	54	36	8	2	5	1	45	8	83	0	0	27	15	2	6	44	41									
6	Число погашенных избирательных бюллетеней	21170	432	432	381	290	401	334	311	494	69	50	40	118	62	33	53	14	126	342	94	13	139	81	65	184	45	24	57	115	87	28	28	392	25	521	543	614	469	687	213	877	717	524	906	429	1274	193	82	310	520	752	806	394	66	57	72	39	38	84	43	225	401	270	12	170	300	190	108	191	52	46	42	49	227	237	28	37	50	29	111	20	123	28	77	91	162	33	124	26	1122									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1806	32	27	53	20	10	44	16	24	12	40	16	0	0	8	4	0	3	35	14	5	19	8	29	40	5	3	3	19	56	3	2	22	3	41	8	40	9	52	66	17	17	9	33	70	22	24	29	13	12	19	26	25	27	34	20	7	8	5	13	0	31	35	0	36	26	31	12	18	3	7	5	4	54	36	8	2	5	1	45	8	83	0	0	27	15	2	6	44	41									
8	Число бюллетеней в стационарных ящиках для голосования	24486	336	341	466	190	189	322	223	482	59	60	54	52	33	44	73	51	151	323	82	32	137	161	51	176	130	78	45	226	57	34	15	386	127	738	549	645	522	960	421	806	966	367	861	901	1204	283	489	676	568	729	868	481	257	69	158	74	39	101	84	145	368	195	138	194	674	169	180	291	65	87	58	67	369	327	39	31	85	30	94	42	194	67	173	82	223	155	60	45	837									
9	Число недействительных избирательных бюллетеней	317	6	8	0	2	1	1	2	6	0	0	0	0	2	0	0	0	0	4	0	0	2	5	4	3	0	0	0	2	0	0	0	8	1	18	6	8	3	19	9	11	12	3	14	15	13	8	8	13	7	11	15	4	0	0	4	2	0	2	1	1	3	4	0	0	8	3	3	2	1	1	2	1	3	1	0	0	2	1	0	0	2	1	0	0	4	1	0	0	10									
10	Число действительных избирательных бюллетеней	25975	362	360	519	208	198	365	237	500	71	100	70	52	31	52	77	51	154	354	96	37	154	164	76	213	135	81	48	243	113	37	17	400	129	761	551	677	528	993	478	812	971	373	880	956	1213	299	510	676	573	737	879	502	284	103	174	79	47	104	96	144	396	226	138	230	692	197	189	307	67	93	61	70	420	362	47	33	88	30	139	50	275	66	173	109	234	156	66	89	868									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																				
13	Бабурин Сергей Николаевич	121	0	0	1	1	0	2	6	3	0	0	1	1	0	0	1	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	5	1	1	7	4	4	2	6	0	2	9	3	1	3	3	7	4	4	1	1	0	0	0	0	1	1	0	2	0	1	0	2	2	1	1	0	0	0	0	0	1	0	0	1	0	1	0	5	0	0	1	1	0	0	0	6									
