Выборы Президента Российской Федерации																																																								
Дата голосования: 18.03.2018																																																								
																																																								
Наименование Избирательной комиссии:    Усольская																																																								
																																																								
Сводная таблица итогов голосования																																																								
																																																								
	Число участковых избирательных комиссий	45																																																						
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	45																																																						
																																																								
		Сумма	УИК №1387	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566									
1	"Число избирателей, включенных в список избирателей"	36500	504	783	128	748	457	514	1380	1112	502	1501	609	1854	769	2124	1600	494	339	433	1103	949	717	496	268	484	1290	633	1347	1117	228	1664	678	1078	1056	1104	257	1259	388	611	1249	185	430	1002	148	832	76									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35510	480	750	130	740	450	500	1380	880	490	1450	600	1850	730	2100	1600	480	330	410	1100	950	700	480	245	470	1200	520	1450	1100	210	1650	650	1050	1030	1150	230	1200	400	590	1250	175	400	950	135	800	75									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19394	307	286	32	285	234	264	706	750	231	897	372	1227	527	1406	814	251	162	179	536	490	337	242	156	283	823	378	967	502	108	767	286	565	573	440	129	629	122	253	662	71	190	456	75	383	41									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	875	13	48	0	33	8	12	35	4	27	54	8	18	20	23	32	17	8	7	17	25	11	4	6	10	13	4	2	16	3	47	13	13	7	59	4	37	14	36	36	10	16	74	9	19	3									
6	Число погашенных избирательных бюллетеней	15241	160	416	98	422	208	224	639	126	232	499	220	605	183	671	754	212	160	224	547	435	352	234	83	177	364	138	481	582	99	836	351	472	450	651	97	534	264	301	552	94	194	420	51	398	31									
7	Число избирательных бюллетеней в переносных ящиках для голосования	875	13	48	0	33	8	12	35	4	27	54	8	18	20	23	32	17	8	7	17	25	11	4	6	10	13	4	2	16	3	47	13	13	7	59	4	37	14	36	36	10	16	74	9	19	3									
8	Число бюллетеней в стационарных ящиках для голосования	19392	307	286	32	285	234	264	706	750	231	897	372	1227	527	1406	814	251	162	179	536	490	337	242	156	283	823	378	967	502	108	767	286	565	573	440	129	627	122	253	662	71	190	456	75	383	41									
9	Число недействительных избирательных бюллетеней	257	11	3	1	3	3	4	11	20	3	7	2	14	7	13	9	5	2	0	4	5	8	1	1	2	15	3	14	7	3	12	5	10	8	6	0	9	1	1	7	0	2	6	0	9	0									
10	Число действительных избирательных бюллетеней	20010	309	331	31	315	239	272	730	734	255	944	378	1231	540	1416	837	263	168	186	549	510	340	245	161	291	821	379	955	511	108	802	294	568	572	493	133	655	135	288	691	81	204	524	84	393	44									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
13	Бабурин Сергей Николаевич	87	1	2	1	2	3	3	6	2	1	1	0	7	0	1	2	0	0	0	0	3	0	1	0	0	10	2	0	3	0	4	1	4	0	4	1	1	1	1	0	0	1	11	1	6	0									
		0.43%	0.31%	0.60%	3.13%	0.63%	1.24%	1.09%	0.81%	0.27%	0.39%	0.11%	0.00%	0.56%	0.00%	0.07%	0.24%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.41%	0.00%	0.00%	1.20%	0.52%	0.00%	0.58%	0.00%	0.49%	0.33%	0.69%	0.00%	0.80%	0.75%	0.15%	0.74%	0.35%	0.00%	0.00%	0.49%	2.08%	1.19%	1.49%	0.00%									
14	Грудинин Павел Николаевич	4152	111	49	3	60	50	50	90	136	36	321	130	405	190	516	228	34	22	29	84	58	61	41	16	50	136	61	152	79	12	154	57	99	112	83	36	84	17	40	110	5	21	59	7	54	4									
		20.49%	34.69%	14.67%	9.38%	18.87%	20.66%	18.12%	12.15%	18.04%	13.95%	33.75%	34.21%	32.53%	34.73%	36.11%	26.95%	12.69%	12.94%	15.59%	15.19%	11.26%	17.53%	16.67%	9.88%	17.06%	16.27%	15.97%	15.69%	15.25%	10.81%	18.92%	19.06%	17.13%	19.31%	16.63%	27.07%	12.65%	12.50%	13.84%	15.76%	6.17%	10.19%	11.13%	8.33%	13.43%	9.09%									
