Выборы Президента Российской Федерации																																																							
Дата голосования: 18.03.2018																																																							
																																																							
Наименование Избирательной комиссии:    Усть-Кутская																																																							
																																																							
Сводная таблица итогов голосования																																																							
																																																							
	Число участковых избирательных комиссий	44																																																					
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	44																																																					
																																																							
		Сумма	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1915	УИК №1916	УИК №1933									
1	"Число избирателей, включенных в список избирателей"	41540	49	71	54	95	80	914	1313	1122	392	330	863	882	1288	796	806	1846	1461	988	1901	1075	1482	1220	1026	1350	1131	2252	1608	2191	571	1248	1313	1314	1428	1405	682	259	59	910	459	713	709	145	1605	134									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	40375	55	70	55	95	75	900	1200	1100	400	300	900	900	1100	800	800	1900	1400	1000	1900	1000	1500	1200	1000	1300	1000	2000	1500	2000	500	1200	1350	1300	1450	1450	650	250	50	900	370	750	750	140	1600	215									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	14	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20095	25	37	27	41	36	378	554	420	202	163	282	375	463	366	296	856	812	460	1019	403	642	563	492	758	516	1010	861	1064	266	685	563	564	650	715	281	139	27	475	230	368	368	139	1380	124									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	812	1	0	0	5	0	14	19	14	13	8	9	31	34	15	38	32	18	7	26	27	67	15	31	34	22	37	15	46	13	13	23	29	11	30	33	7	4	38	5	13	15	0	0	0									
6	Число погашенных избирательных бюллетеней	19454	29	33	28	49	39	502	627	666	185	129	609	494	603	419	466	1012	570	533	855	570	791	622	477	508	462	953	624	890	221	502	764	707	789	705	328	104	19	387	135	369	367	1	220	91									
7	Число избирательных бюллетеней в переносных ящиках для голосования	826	1	0	0	5	0	20	19	14	13	8	9	31	34	15	38	32	18	7	26	27	67	15	31	34	22	37	15	46	13	13	23	29	11	30	41	7	4	38	5	13	15	0	0	0									
8	Число бюллетеней в стационарных ящиках для голосования	20094	25	37	27	41	36	378	554	420	202	163	282	375	463	366	296	856	812	460	1019	403	642	563	492	757	516	1010	861	1064	266	685	563	564	650	715	281	139	27	475	230	368	368	139	1380	124									
9	Число недействительных избирательных бюллетеней	279	0	0	0	0	1	4	8	6	4	4	5	3	7	6	6	17	7	0	12	2	12	8	5	7	6	15	11	19	6	5	4	6	10	9	6	4	0	11	1	6	7	2	23	4									
10	Число действительных избирательных бюллетеней	20641	26	37	27	46	35	394	565	428	211	167	286	403	490	375	328	871	823	467	1033	428	697	570	518	784	532	1032	865	1091	273	693	582	587	651	736	316	142	31	502	234	375	376	137	1357	120									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																							
