Выборы Президента Российской Федерации																																																											
Дата голосования: 04.03.2012																																																											
																																																											
Наименование Избирательной комиссии:    Черемховская городская																																																											
																																																											
Сводная таблица итогов голосования																																																											
																																																											
	Число участковых избирательных комиссий	48																																																									
	Число участковых избирательных комиссий, приступивших к передаче сведений	48																																																									
																																																											
		Сумма	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761									
1	Число избирателей, включенных в список избирателей	41568	664	712	1453	957	610	996	1143	1368	883	843	1246	1127	757	815	1090	1198	649	1125	779	688	1210	1543	167	1408	689	1061	1293	257	623	660	740	201	1336	315	769	1095	1295	1328	1092	210	257	1086	1090	1518	447	320	165	290									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	39380	650	650	1350	900	550	950	1100	1300	850	800	1200	1050	750	800	1050	1150	600	1100	750	650	1150	1450	150	1300	650	1000	1200	300	600	650	700	180	1250	300	750	1050	1250	1250	950	200	200	1050	1000	1350	400	300	300	250									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	21142	303	347	586	480	260	517	560	733	464	491	681	565	446	456	585	639	397	608	465	401	690	884	96	691	230	493	689	137	321	303	274	116	659	129	394	568	717	781	494	109	155	389	532	754	225	164	0	164									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	2714	50	49	93	45	41	20	47	70	29	26	61	30	26	26	53	72	41	73	31	39	46	45	20	66	102	67	46	27	50	46	125	36	84	71	32	70	51	46	206	23	13	160	48	98	21	16	165	12									
6	Число погашенных избирательных бюллетеней	15524	297	254	671	375	249	413	493	497	357	283	458	455	278	318	412	439	162	419	254	210	414	521	34	543	318	440	465	136	229	301	301	28	507	100	324	412	482	423	250	68	32	501	420	498	154	120	135	74									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2714	50	49	93	45	41	20	47	70	29	26	61	30	26	26	53	72	41	73	31	39	46	45	20	66	102	67	46	27	50	46	125	36	84	71	32	70	51	46	206	23	13	160	48	98	21	16	165	12									
8	Число бюллетеней в стационарных ящиках для голосования	21141	303	347	586	480	260	517	560	733	464	491	680	565	446	456	585	639	397	608	465	401	690	884	96	691	230	493	689	137	321	303	274	116	659	129	394	568	717	781	494	109	155	389	532	754	225	164	0	164									
9	Число недействительных избирательных бюллетеней	249	2	4	7	3	3	10	5	6	11	4	15	10	8	6	8	3	1	11	2	3	9	8	0	11	0	3	4	2	9	3	4	1	4	1	3	5	11	4	5	3	2	6	10	10	6	0	0	3									
10	Число действительных избирательных бюллетеней	23606	351	392	672	522	298	527	602	797	482	513	726	585	464	476	630	708	437	670	494	437	727	921	116	746	332	557	731	162	362	346	395	151	739	199	423	633	757	823	695	129	166	543	570	842	240	180	165	173									
11	Число полученных открепительных  удостоверений	819	8	13	16	8	3	17	22	20	47	16	30	23	16	10	30	20	13	23	20	11	23	48	6	24	8	14	17	8	8	14	12	5	27	6	17	28	25	23	31	4	5	34	21	22	10	3	0	10									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	677	7	10	7	8	3	9	15	15	41	15	25	21	12	5	28	19	10	22	19	10	17	46	0	20	5	10	17	8	5	5	6	5	22	6	16	22	25	18	27	4	5	34	20	14	10	1	0	8									
13	Число избирателей, проголосовавших по открепительным удостоверениям	577	16	17	15	9	10	4	11	11	20	12	15	18	6	14	5	23	15	16	19	14	10	14	5	14	7	17	17	3	9	8	14	5	14	7	11	15	19	21	5	4	22	11	14	17	7	5	9	3									
14	Число неиспользованных открепительных удостоверений	142	1	3	9	0	0	8	7	5	6	1	5	2	4	5	2	1	3	1	1	1	6	2	6	4	3	4	0	0	3	9	6	0	5	0	1	6	0	5	4	0	0	0	1	8	0	2	0	2									
15	Число открепительных удостоверений, выданных избирателям ТИК	148	3	4	3	4	1	2	3	3	7	4	2	6	4	6	8	8	5	5	4	0	4	7	0	1	1	2	4	1	1	1	1	1	3	0	5	4	10	6	2	0	0	1	3	4	0	3	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																											
19	Жириновский Владимир Вольфович	2638	48	38	83	94	38	55	45	83	50	56	67	74	54	47	54	60	31	57	50	34	75	89	9	87	35	49	134	29	55	38	35	32	88	26	49	81	62	100	82	32	21	44	72	92	28	33	25	18									
		11.06%	13.60%	9.60%	12.22%	17.90%	12.62%	10.24%	7.41%	10.34%	10.14%	10.83%	9.04%	12.44%	11.44%	9.75%	8.46%	8.44%	7.08%	8.37%	10.08%	7.73%	10.19%	9.58%	7.76%	11.49%	10.54%	8.75%	18.23%	17.68%	14.82%	10.89%	8.77%	21.05%	11.84%	13.00%	11.50%	12.70%	8.07%	12.09%	11.71%	24.24%	12.50%	8.01%	12.41%	10.80%	11.38%	18.33%	15.15%	10.23%									
20	Зюганов Геннадий Андреевич	4420	67	85	91	82	69	90	115	158	79	85	127	118	81	96	117	110	94	133	89	122	172	178	25	152	69	99	135	20	63	63	69	13	133	43	90	122	140	187	137	13	20	92	101	148	41	26	32	29									
		18.53%	18.98%	21.46%	13.40%	15.62%	22.92%	16.76%	18.95%	19.68%	16.02%	16.44%	17.14%	19.83%	17.16%	19.92%	18.34%	15.47%	21.46%	19.53%	17.94%	27.73%	23.37%	19.16%	21.55%	20.08%	20.78%	17.68%	18.37%	12.20%	16.98%	18.05%	17.29%	8.55%	17.90%	21.50%	21.13%	19.12%	18.23%	22.61%	19.57%	9.85%	11.90%	16.76%	17.41%	17.37%	16.67%	14.44%	19.39%	16.48%									
21	Миронов Сергей Михайлович	854	12	13	25	30	16	12	24	27	24	30	27	20	20	27	22	28	12	21	20	23	16	38	1	22	19	17	13	9	11	9	13	4	26	3	16	22	37	27	26	5	7	25	14	25	1	5	7	3									
		3.58%	3.40%	3.28%	3.68%	5.71%	5.32%	2.23%	3.95%	3.36%	4.87%	5.80%	3.64%	3.36%	4.24%	5.60%	3.45%	3.94%	2.74%	3.08%	4.03%	5.23%	2.17%	4.09%	0.86%	2.91%	5.72%	3.04%	1.77%	5.49%	2.96%	2.58%	3.26%	2.63%	3.50%	1.50%	3.76%	3.45%	4.82%	3.26%	3.71%	3.79%	4.17%	4.55%	2.41%	2.93%	0.41%	2.78%	4.24%	1.70%									
22	Прохоров Михаил Дмитриевич	1394	16	32	33	24	23	29	34	45	34	32	40	33	31	30	35	68	29	55	51	40	51	55	4	41	16	29	33	8	19	16	16	10	33	9	28	40	31	49	30	3	14	26	30	53	11	9	6	10									
		5.84%	4.53%	8.08%	4.86%	4.57%	7.64%	5.40%	5.60%	5.60%	6.90%	6.19%	5.40%	5.55%	6.57%	6.22%	5.49%	9.56%	6.62%	8.08%	10.28%	9.09%	6.93%	5.92%	3.45%	5.42%	4.82%	5.18%	4.49%	4.88%	5.12%	4.58%	4.01%	6.58%	4.44%	4.50%	6.57%	6.27%	4.04%	5.93%	4.29%	2.27%	8.33%	4.74%	5.17%	6.22%	4.47%	5.00%	3.64%	5.68%									
23	Путин Владимир Владимирович	14300	208	224	440	292	152	341	384	484	295	310	465	340	278	276	402	442	271	404	284	218	413	561	77	444	193	363	416	96	214	220	262	92	459	118	240	368	487	460	420	76	104	356	353	524	159	107	95	113									
		59.95%	58.92%	56.57%	64.80%	55.62%	50.50%	63.50%	63.26%	60.27%	59.84%	59.96%	62.75%	57.14%	58.90%	57.26%	63.01%	62.17%	61.87%	59.32%	57.26%	49.55%	56.11%	60.39%	66.38%	58.65%	58.13%	64.82%	56.60%	58.54%	57.68%	63.04%	65.66%	60.53%	61.78%	59.00%	56.34%	57.68%	63.41%	55.62%	60.00%	57.58%	61.90%	64.85%	60.86%	61.50%	64.63%	59.44%	57.58%	64.20%									
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
