Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Баксанская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25					
1	"Число избирателей, внесенных в список"	38683	1363	2570	1568	1771	1299	1322	1501	1288	1521	1532	1590	1217	2478	1156	1094	1203	995	1014	1551	743	871	2984	1963	1248	2841					
2	Число полученных избирательных бюллетеней	38885	1370	2583	1576	1783	1306	1329	1509	1294	1529	1540	1598	1223	2490	1163	1099	1209	1000	1019	1559	747	875	2999	1973	1254	2858					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	37434	1350	2567	1555	1769	1260	1301	1499	1287	1508	1494	1537	1182	2470	1155	864	1010	893	823	1519	737	852	2961	1803	1229	2809					
5	"Число избирательных бюллетеней, выданных вне помещения"	1194	12	0	11	0	36	20	0	0	10	36	50	33	5	0	229	192	100	190	30	5	18	17	156	18	26					
6	Число погашенных избирательных бюллетеней	257	8	16	10	14	10	8	10	7	11	10	11	8	15	8	6	7	7	6	10	5	5	21	14	7	23					
7	Число избирательных бюллетеней в переносных ящиках	1193	12	0	10	0	36	20	0	0	10	36	50	33	5	0	229	192	100	190	30	5	18	17	156	18	26					
8	Число бюллетеней в стационарных ящиках для голосования	37434	1350	2567	1555	1769	1260	1301	1499	1287	1508	1494	1537	1182	2470	1155	864	1010	893	823	1519	737	852	2961	1803	1229	2809					
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	38627	1362	2567	1565	1769	1296	1321	1499	1287	1518	1530	1587	1215	2475	1155	1093	1202	993	1013	1549	742	870	2978	1959	1247	2835					
11	Число полученных открепительных  удостоверений	348	14	15	14	14	14	14	14	14	14	14	14	14	14	14	13	14	13	13	14	13	13	15	15	14	14					
12	Число выданных открепительных удостоверений	29	1	0	3	0	0	0	2	1	0	1	2	2	0	1	0	0	0	0	3	0	0	5	1	4	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	319	13	15	11	14	14	14	12	13	14	13	12	12	14	13	13	14	13	13	11	13	13	10	14	10	11					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0					
		0.02%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	38517	1357	2565	1562	1764	1292	1317	1495	1283	1513	1524	1582	1211	2467	1152	1090	1198	990	1010	1545	740	867	2970	1953	1243	2827					
		99.72%	99.63%	99.92%	99.81%	99.72%	99.69%	99.70%	99.73%	99.69%	99.67%	99.61%	99.68%	99.67%	99.68%	99.74%	99.73%	99.67%	99.70%	99.70%	99.74%	99.73%	99.66%	99.73%	99.69%	99.68%	99.72%					
22	. Хакамада Ирина Муцуовна	6	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	90	5	2	0	5	4	4	4	4	5	2	5	2	8	3	3	4	0	3	0	2	3	8	6	0	8					
		0.23%	0.37%	0.08%	0.00%	0.28%	0.31%	0.30%	0.27%	0.31%	0.33%	0.13%	0.32%	0.16%	0.32%	0.26%	0.27%	0.33%	0.00%	0.30%	0.00%	0.27%	0.34%	0.27%	0.31%	0.00%	0.28%					
																																
24	Против всех	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
