Выборы Президента Российской Федерации																						
																						
Наименование Избирательной комиссии:    Светловская																						
																						
Итоги голосования 																						
																						
		Сумма	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467					
1	"Число избирателей, внесенных в список"	22001	1790	1716	1724	1540	1774	1385	907	1499	1731	1251	1923	1546	1382	1296	537					
2	Число полученных избирательных бюллетеней	20350	1700	1600	1600	1400	1600	1300	900	1400	1600	1200	1700	1400	1300	1200	450					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11693	902	952	975	844	974	745	462	835	891	710	1001	803	661	641	297					
5	"Число избирательных бюллетеней, выданных вне помещения"	264	17	13	51	15	14	5	13	18	14	6	39	26	18	15	0					
6	Число погашенных избирательных бюллетеней	8393	781	635	574	541	612	550	425	547	695	484	660	571	621	544	153					
7	Число избирательных бюллетеней в переносных ящиках	264	17	13	51	15	14	5	13	18	14	6	39	26	18	15	0					
8	Число бюллетеней в стационарных ящиках для голосования	11681	901	952	975	843	974	745	462	835	882	710	1000	803	661	641	297					
9	Число недействительных избирательных бюллетеней	109	11	6	11	9	4	6	3	10	13	5	8	6	11	3	3					
10	Число действительных избирательных бюллетеней	11836	907	959	1015	849	984	744	472	843	883	711	1031	823	668	653	294					
11	Число полученных открепительных  удостоверений	190	14	14	14	14	14	14	10	14	14	14	14	10	10	10	10					
12	Число выданных открепительных удостоверений	60	6	2	5	7	4	0	4	4	8	4	4	4	2	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	58	6	0	4	4	4	4	0	2	5	3	7	7	5	4	3					
14	Число неиспользованных открепительных удостоверений	130	8	12	9	7	10	14	6	10	6	10	10	6	8	6	8					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																						
18	. Глазьев Сергей Юрьевич	782	59	68	74	70	58	77	24	57	56	65	66	40	30	34	4					
		6.55%	6.43%	7.05%	7.21%	8.16%	5.87%	10.27%	5.05%	6.68%	6.25%	9.08%	6.35%	4.83%	4.42%	5.18%	1.35%					
19	. Малышкин Олег Александрович	226	27	10	13	14	21	13	12	16	13	15	15	27	12	15	3					
		1.89%	2.94%	1.04%	1.27%	1.63%	2.13%	1.73%	2.53%	1.88%	1.45%	2.09%	1.44%	3.26%	1.77%	2.29%	1.01%					
20	. Миронов Сергей Михайлович	106	10	9	11	5	11	8	4	6	8	6	6	11	5	4	2					
		0.89%	1.09%	0.93%	1.07%	0.58%	1.11%	1.07%	0.84%	0.70%	0.89%	0.84%	0.58%	1.33%	0.74%	0.61%	0.67%					
21	. Путин Владимир Владимирович	8409	653	667	710	580	682	499	328	560	611	487	748	614	512	518	240					
		70.40%	71.13%	69.12%	69.20%	67.60%	69.03%	66.53%	69.05%	65.65%	68.19%	68.02%	71.99%	74.07%	75.41%	78.96%	80.81%					
22	. Хакамада Ирина Муцуовна	490	34	36	46	44	50	35	19	47	45	31	32	25	22	16	8					
		4.10%	3.70%	3.73%	4.48%	5.13%	5.06%	4.67%	4.00%	5.51%	5.02%	4.33%	3.08%	3.02%	3.24%	2.44%	2.69%					
23	. Харитонов Николай Михайлович	1198	78	117	116	93	91	71	64	119	97	50	103	79	50	45	25					
		10.03%	8.50%	12.12%	11.31%	10.84%	9.21%	9.47%	13.47%	13.95%	10.83%	6.98%	9.91%	9.53%	7.36%	6.86%	8.42%					
																						
24	Против всех	625	46	52	45	43	71	41	21	38	53	57	61	27	37	21	12					
		5.23%	5.01%	5.39%	4.39%	5.01%	7.19%	5.47%	4.42%	4.45%	5.92%	7.96%	5.87%	3.26%	5.45%	3.20%	4.04%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
