Выборы Президента Российской Федерации																																																
Дата голосования: 18.03.2018																																																
																																																
Наименование Избирательной комиссии:    Черняховская																																																
																																																
Сводная таблица итогов голосования																																																
																																																
	Число участковых избирательных комиссий	37																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	37																																														
																																																
		Сумма	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617									
1	"Число избирателей, включенных в список избирателей"	40818	567	1820	1228	1210	1363	2011	987	1202	2475	1851	990	1978	2464	2107	2018	1238	1464	1125	1447	1536	1113	846	658	440	316	557	412	281	812	375	498	631	630	411	546	298	913									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36000	500	1800	1100	1100	1200	1700	900	1100	2300	1700	900	1800	2200	1800	1800	1100	1000	1000	1300	1400	1000	700	500	400	300	500	350	200	700	300	450	500	500	400	450	250	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23130	283	968	732	885	674	951	537	702	1437	1092	534	1120	1576	1194	1199	652	654	633	849	931	694	433	368	222	183	336	224	174	377	251	290	416	436	193	300	164	466									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2057	16	40	90	7	86	316	24	30	50	23	21	41	21	127	57	29	169	25	34	23	8	49	52	60	6	86	26	24	102	29	66	33	35	56	46	14	136									
6	Число погашенных избирательных бюллетеней	10813	201	792	278	208	440	433	339	368	813	585	345	639	603	479	544	419	177	342	417	446	298	218	80	118	111	78	100	2	221	20	94	51	29	151	104	72	198									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2057	16	40	90	7	86	316	24	30	50	23	21	41	21	127	57	29	169	25	34	23	8	49	52	60	6	86	26	24	102	29	66	33	35	56	46	14	136									
8	Число бюллетеней в стационарных ящиках для голосования	23127	283	968	732	885	674	951	537	702	1437	1092	534	1120	1575	1194	1197	652	654	633	849	931	694	433	368	222	183	336	224	174	377	251	290	416	436	193	300	164	466									
9	Число недействительных избирательных бюллетеней	306	2	12	10	15	9	7	8	8	12	14	8	13	15	11	20	3	6	10	15	12	7	11	13	1	6	1	6	3	2	12	3	2	3	12	4	2	8									
10	Число действительных избирательных бюллетеней	24878	297	996	812	877	751	1260	553	724	1475	1101	547	1148	1581	1310	1234	678	817	648	868	942	695	471	407	281	183	421	244	195	477	268	353	447	468	237	342	176	594									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
13	Бабурин Сергей Николаевич	179	1	6	6	10	3	14	4	2	13	9	5	13	13	7	13	7	6	4	2	8	8	5	2	4	0	0	1	0	4	0	0	0	5	0	1	1	2									
		0.71%	0.33%	0.60%	0.73%	1.12%	0.39%	1.10%	0.71%	0.27%	0.87%	0.81%	0.90%	1.12%	0.81%	0.53%	1.04%	1.03%	0.73%	0.61%	0.23%	0.84%	1.14%	1.04%	0.48%	1.42%	0.00%	0.00%	0.40%	0.00%	0.84%	0.00%	0.00%	0.00%	1.06%	0.00%	0.29%	0.56%	0.33%									
14	Грудинин Павел Николаевич	2684	32	114	98	90	81	111	69	79	177	144	55	126	195	160	146	82	78	70	104	126	68	19	44	16	15	70	11	14	51	26	58	24	45	11	40	5	30									
		10.66%	10.70%	11.31%	11.92%	10.09%	10.66%	8.76%	12.30%	10.79%	11.90%	12.91%	9.91%	10.85%	12.22%	12.11%	11.64%	12.04%	9.48%	10.64%	11.78%	13.21%	9.69%	3.94%	10.48%	5.67%	7.94%	16.59%	4.40%	7.07%	10.65%	9.29%	16.29%	5.35%	9.55%	4.42%	11.56%	2.81%	4.98%									
15	Жириновский Владимир Вольфович	1722	36	75	35	64	66	92	30	31	104	72	38	55	129	79	77	46	73	37	65	60	34	43	39	19	11	36	24	18	35	4	29	31	29	24	29	9	44									
		6.84%	12.04%	7.44%	4.26%	7.17%	8.68%	7.26%	5.35%	4.23%	6.99%	6.46%	6.85%	4.74%	8.08%	5.98%	6.14%	6.75%	8.87%	5.62%	7.36%	6.29%	4.84%	8.92%	9.29%	6.74%	5.82%	8.53%	9.60%	9.09%	7.31%	1.43%	8.15%	6.90%	6.16%	9.64%	8.38%	5.06%	7.31%									
16	Путин Владимир Владимирович	19374	227	772	647	679	575	979	425	581	1128	832	424	913	1160	1010	941	519	624	521	658	708	566	395	315	236	154	302	204	159	350	232	259	382	373	200	264	160	500									
		76.93%	75.92%	76.59%	78.71%	76.12%	75.66%	77.27%	75.76%	79.37%	75.86%	74.62%	76.40%	78.64%	72.68%	76.46%	75.04%	76.21%	75.82%	79.18%	74.52%	74.21%	80.63%	81.95%	75.00%	83.69%	81.48%	71.56%	81.60%	80.30%	73.07%	82.86%	72.75%	85.08%	79.19%	80.32%	76.30%	89.89%	83.06%									
17	Собчак Ксения Анатольевна	416	0	14	13	19	10	34	12	13	25	23	14	17	41	26	24	8	8	3	21	15	8	3	3	3	2	7	1	1	13	4	1	5	10	0	6	1	8									
		1.65%	0.00%	1.39%	1.58%	2.13%	1.32%	2.68%	2.14%	1.78%	1.68%	2.06%	2.52%	1.46%	2.57%	1.97%	1.91%	1.17%	0.97%	0.46%	2.38%	1.57%	1.14%	0.62%	0.71%	1.06%	1.06%	1.66%	0.40%	0.51%	2.71%	1.43%	0.28%	1.11%	2.12%	0.00%	1.73%	0.56%	1.33%									
18	Сурайкин Максим Александрович	175	1	7	4	4	6	6	3	4	11	11	5	10	11	3	14	6	15	3	5	9	5	3	3	2	1	3	1	1	6	0	5	1	2	0	0	0	4									
		0.69%	0.33%	0.69%	0.49%	0.45%	0.79%	0.47%	0.53%	0.55%	0.74%	0.99%	0.90%	0.86%	0.69%	0.23%	1.12%	0.88%	1.82%	0.46%	0.57%	0.94%	0.71%	0.62%	0.71%	0.71%	0.53%	0.71%	0.40%	0.51%	1.25%	0.00%	1.40%	0.22%	0.42%	0.00%	0.00%	0.00%	0.66%									
19	Титов Борис Юрьевич	155	0	6	4	8	3	8	4	5	8	6	3	7	12	9	13	6	8	7	6	6	2	2	1	1	0	2	1	1	6	0	1	1	2	2	1	0	3									
		0.62%	0.00%	0.60%	0.49%	0.90%	0.39%	0.63%	0.71%	0.68%	0.54%	0.54%	0.54%	0.60%	0.75%	0.68%	1.04%	0.88%	0.97%	1.06%	0.68%	0.63%	0.28%	0.41%	0.24%	0.35%	0.00%	0.47%	0.40%	0.51%	1.25%	0.00%	0.28%	0.22%	0.42%	0.80%	0.29%	0.00%	0.50%									
20	Явлинский Григорий Алексеевич	173	0	2	5	3	7	16	6	9	9	4	3	7	20	16	6	4	5	3	7	10	4	1	0	0	0	1	1	1	12	2	0	3	2	0	1	0	3									
		0.69%	0.00%	0.20%	0.61%	0.34%	0.92%	1.26%	1.07%	1.23%	0.61%	0.36%	0.54%	0.60%	1.25%	1.21%	0.48%	0.59%	0.61%	0.46%	0.79%	1.05%	0.57%	0.21%	0.00%	0.00%	0.00%	0.24%	0.40%	0.51%	2.51%	0.71%	0.00%	0.67%	0.42%	0.00%	0.29%	0.00%	0.50%									
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
