Выборы Президента Российской Федерации																																																				
Дата голосования: 18.03.2018																																																				
																																																				
Наименование Избирательной комиссии:    Дзержинская																																																				
																																																				
Сводная таблица итогов голосования																																																				
																																																				
	Число участковых избирательных комиссий	41																																																		
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	41																																																		
																																																				
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441									
1	"Число избирателей, включенных в список избирателей"	41799	232	303	299	319	271	523	459	131	582	1517	1375	1517	275	415	292	502	301	2268	2982	1573	1858	1593	988	1383	969	1404	2035	2000	989	1108	1656	1727	2116	947	1135	563	261	515	179	138	2099									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	40050	240	300	260	300	250	500	440	110	590	1500	1300	1400	255	350	270	470	310	2300	2700	1500	1800	1500	1000	1400	900	1400	1900	1900	1000	1050	1550	1600	2000	900	1100	550	240	500	190	125	2100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25797	152	211	158	193	171	345	302	75	398	938	902	933	157	267	177	374	165	1474	1834	963	1181	972	469	814	550	894	1186	1187	641	676	1039	1173	1339	639	691	274	117	291	122	84	1269									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2091	27	12	82	32	29	42	35	17	80	44	28	105	45	37	24	46	79	29	136	78	96	39	85	81	36	47	78	64	32	18	28	22	82	21	47	125	61	38	20	13	51									
6	Число погашенных избирательных бюллетеней	12162	61	77	20	75	50	113	103	18	112	518	370	362	53	46	69	50	66	797	730	459	523	489	446	505	314	459	636	649	327	356	483	405	579	240	362	151	62	171	48	28	780									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2091	27	12	82	32	29	42	35	17	80	44	28	105	45	37	24	46	79	29	136	78	96	39	85	81	36	47	78	64	32	18	28	22	82	21	47	125	61	38	20	13	51									
8	Число бюллетеней в стационарных ящиках для голосования	25792	152	211	158	193	171	345	302	75	398	938	902	933	157	267	177	374	165	1474	1834	963	1181	972	469	813	550	893	1186	1186	641	676	1039	1172	1339	638	691	274	117	291	122	84	1269									
9	Число недействительных избирательных бюллетеней	369	4	4	0	7	1	7	6	1	3	18	21	10	2	0	6	2	0	30	17	13	13	15	3	14	8	9	13	16	11	12	17	20	13	19	4	3	0	5	2	0	20									
10	Число действительных избирательных бюллетеней	27514	175	219	240	218	199	380	331	91	475	964	909	1028	200	304	195	418	244	1473	1953	1028	1264	996	551	880	578	931	1251	1234	662	682	1050	1174	1408	640	734	396	178	324	140	97	1300									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																				
13	Бабурин Сергей Николаевич	180	0	1	4	2	0	0	1	1	3	4	4	7	4	0	2	2	1	9	13	7	11	5	1	13	7	5	14	9	3	2	5	10	11	3	5	3	0	4	0	0	4									
		0.65%	0.00%	0.45%	1.67%	0.89%	0.00%	0.00%	0.30%	1.09%	0.63%	0.41%	0.43%	0.67%	1.98%	0.00%	0.99%	0.48%	0.41%	0.60%	0.66%	0.67%	0.86%	0.49%	0.18%	1.45%	1.19%	0.53%	1.11%	0.72%	0.45%	0.29%	0.47%	0.84%	0.77%	0.46%	0.68%	0.75%	0.00%	1.22%	0.00%	0.00%	0.30%									
14	Грудинин Павел Николаевич	2931	7	14	23	29	16	29	32	3	37	100	105	120	14	22	18	42	13	130	213	115	163	121	81	94	62	95	157	141	73	64	119	153	189	60	71	24	16	35	7	2	122									
		10.51%	3.91%	6.28%	9.58%	12.89%	8.00%	7.49%	9.50%	3.26%	7.74%	10.18%	11.29%	11.56%	6.93%	7.24%	8.96%	10.00%	5.33%	8.65%	10.81%	11.05%	12.76%	11.97%	14.62%	10.51%	10.58%	10.11%	12.42%	11.28%	10.85%	9.22%	11.15%	12.81%	13.30%	9.10%	9.62%	6.02%	8.99%	10.64%	4.93%	2.06%	9.24%									
15	Жириновский Владимир Вольфович	2074	13	22	9	12	18	30	31	7	55	64	57	75	15	21	24	30	11	125	135	90	88	75	55	81	45	65	96	95	63	56	63	77	78	62	40	34	9	27	11	4	106									
		7.44%	7.26%	9.87%	3.75%	5.33%	9.00%	7.75%	9.20%	7.61%	11.51%	6.52%	6.13%	7.23%	7.43%	6.91%	11.94%	7.14%	4.51%	8.32%	6.85%	8.65%	6.89%	7.42%	9.93%	9.06%	7.68%	6.91%	7.59%	7.60%	9.36%	8.07%	5.90%	6.45%	5.49%	9.41%	5.42%	8.52%	5.06%	8.21%	7.75%	4.12%	8.03%									
