Выборы Президента Российской Федерации																																															
Дата голосования: 18.03.2018																																															
																																															
Наименование Избирательной комиссии:    Малоярославецкая																																															
																																															
Сводная таблица итогов голосования																																															
																																															
	Число участковых избирательных комиссий	36																																													
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	36																																													
																																															
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636									
1	"Число избирателей, включенных в список избирателей"	45477	1943	1825	1290	1832	1649	2316	1831	2567	2696	2276	1574	1533	2268	1752	2074	2063	658	406	711	177	909	2464	352	815	874	1328	1284	344	729	267	238	991	416	439	441	145									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44240	1900	1700	1300	1800	1600	2100	1800	2500	2600	2200	1500	1400	2200	1700	2000	2000	650	400	650	250	800	2450	300	800	850	1300	1300	500	650	300	240	950	490	440	450	170									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26977	1295	1167	745	954	819	1256	1077	1501	1545	1460	1073	808	1054	1026	1336	1332	562	263	285	96	514	1482	241	580	432	826	726	274	507	214	154	470	275	222	315	91									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2561	30	67	31	52	31	129	63	73	45	24	14	48	27	27	107	97	78	23	199	61	143	89	11	46	118	186	181	36	37	40	26	129	85	150	40	18									
6	Число погашенных избирательных бюллетеней	14702	575	466	524	794	750	715	660	926	1010	716	413	544	1119	647	557	571	10	114	166	93	143	879	48	174	300	288	393	190	106	46	60	351	130	68	95	61									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2561	30	67	31	52	31	129	63	73	45	24	14	48	27	27	107	97	78	23	199	61	143	89	11	46	118	186	181	36	37	40	26	129	85	150	40	18									
8	Число бюллетеней в стационарных ящиках для голосования	26973	1295	1167	745	954	819	1255	1076	1501	1545	1460	1073	806	1054	1026	1336	1332	562	263	285	96	514	1482	241	580	432	826	726	274	507	214	154	470	275	222	315	91									
9	Число недействительных избирательных бюллетеней	370	26	14	7	17	5	24	16	24	15	14	16	9	31	14	20	17	4	5	3	0	7	17	1	12	3	14	6	2	9	1	3	4	3	1	5	1									
10	Число действительных избирательных бюллетеней	29164	1299	1220	769	989	845	1360	1123	1550	1575	1470	1071	845	1050	1039	1423	1412	636	281	481	157	650	1554	251	614	547	998	901	308	535	253	177	595	357	371	350	108									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
13	Бабурин Сергей Николаевич	216	13	15	12	6	3	6	11	11	8	13	7	6	9	8	7	11	4	2	4	0	2	13	1	6	3	7	12	0	1	0	1	4	0	7	3	0									
		0.73%	0.98%	1.22%	1.55%	0.60%	0.35%	0.43%	0.97%	0.70%	0.50%	0.88%	0.64%	0.70%	0.83%	0.76%	0.49%	0.77%	0.63%	0.70%	0.83%	0.00%	0.30%	0.83%	0.40%	0.96%	0.55%	0.69%	1.32%	0.00%	0.18%	0.00%	0.56%	0.67%	0.00%	1.88%	0.85%	0.00%									
14	Грудинин Павел Николаевич	3015	131	123	89	104	92	122	144	147	162	183	127	92	97	125	161	194	54	37	42	5	49	158	32	48	43	75	95	14	55	12	21	57	38	32	49	6									
		10.21%	9.89%	9.97%	11.47%	10.34%	10.82%	8.82%	12.64%	9.34%	10.19%	12.33%	11.68%	10.77%	8.97%	11.87%	11.16%	13.58%	8.44%	12.94%	8.68%	3.18%	7.46%	10.06%	12.70%	7.67%	7.82%	7.41%	10.47%	4.52%	10.11%	4.72%	11.67%	9.52%	10.56%	8.60%	13.80%	5.50%									
15	Жириновский Владимир Вольфович	1807	78	62	50	50	51	83	61	122	98	80	52	36	72	59	79	93	34	20	42	10	52	101	20	57	41	75	63	10	42	8	7	37	11	14	29	8									
		6.12%	5.89%	5.02%	6.44%	4.97%	6.00%	5.99%	5.36%	7.75%	6.16%	5.39%	4.78%	4.22%	6.66%	5.60%	5.47%	6.51%	5.31%	6.99%	8.68%	6.37%	7.91%	6.43%	7.94%	9.11%	7.45%	7.41%	6.95%	3.23%	7.72%	3.15%	3.89%	6.18%	3.06%	3.76%	8.17%	7.34%									
16	Путин Владимир Владимирович	23143	1018	976	604	791	672	1096	873	1193	1257	1120	817	678	853	810	1132	1062	534	212	384	141	531	1238	187	488	442	817	692	277	424	231	144	485	302	312	260	90									
		78.36%	76.83%	79.09%	77.84%	78.63%	79.06%	79.19%	76.65%	75.79%	79.06%	75.47%	75.16%	79.39%	78.91%	76.92%	78.45%	74.32%	83.44%	74.13%	79.34%	89.81%	80.82%	78.80%	74.21%	77.96%	80.36%	80.73%	76.30%	89.35%	77.94%	90.94%	80.00%	80.97%	83.89%	83.87%	73.24%	82.57%									
17	Собчак Ксения Анатольевна	363	23	12	4	14	13	14	18	34	13	40	25	11	10	8	15	18	6	3	3	0	7	11	5	6	7	9	10	1	7	0	1	4	3	4	3	1									
		1.23%	1.74%	0.97%	0.52%	1.39%	1.53%	1.01%	1.58%	2.16%	0.82%	2.70%	2.30%	1.29%	0.93%	0.76%	1.04%	1.26%	0.94%	1.05%	0.62%	0.00%	1.07%	0.70%	1.98%	0.96%	1.27%	0.89%	1.10%	0.32%	1.29%	0.00%	0.56%	0.67%	0.83%	1.08%	0.85%	0.92%									
18	Сурайкин Максим Александрович	186	8	15	2	7	5	8	4	14	8	11	6	5	4	12	12	13	0	5	4	0	3	14	2	3	4	3	5	2	2	1	1	1	1	0	1	0									
