Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Сухиничская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644					
1	"Число избирателей, внесенных в список"	21077	1398	1455	1782	1951	1591	2074	2616	1682	248	354	330	219	254	136	319	454	154	183	456	233	645	231	371	182	227	847	266	212	207					
2	Число полученных избирательных бюллетеней	18880	1200	1200	1500	1700	1400	1900	2400	1500	240	330	320	200	230	130	300	420	140	170	450	220	600	220	340	170	220	770	240	190	180					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10787	756	745	865	1021	874	1027	1260	921	152	177	176	141	164	67	145	136	104	105	221	131	295	128	175	82	98	412	154	143	112					
5	"Число избирательных бюллетеней, выданных вне помещения"	2052	40	50	11	107	62	95	50	103	51	83	73	53	38	44	92	207	21	43	134	59	118	44	92	59	69	145	35	34	40					
6	Число погашенных избирательных бюллетеней	6041	404	405	624	572	464	778	1090	476	37	70	71	6	28	19	63	77	15	22	95	30	187	48	73	29	53	213	51	13	28					
7	Число избирательных бюллетеней в переносных ящиках	2052	40	50	11	107	62	95	50	103	51	83	73	53	38	44	92	207	21	43	134	59	118	44	92	59	69	145	35	34	40					
8	Число бюллетеней в стационарных ящиках для голосования	10784	756	743	865	1021	874	1027	1260	920	152	177	176	141	164	67	145	136	104	105	221	131	295	128	175	82	98	412	154	143	112					
9	Число недействительных избирательных бюллетеней	108	7	8	7	6	6	8	23	11	0	3	0	0	0	2	1	6	1	0	0	1	7	4	2	2	0	2	0	1	0					
10	Число действительных избирательных бюллетеней	12728	789	785	869	1122	930	1114	1287	1012	203	257	249	194	202	109	236	337	124	148	355	189	406	168	265	139	167	555	189	176	152					
11	Число полученных открепительных  удостоверений	398	25	20	25	25	23	25	25	25	10	10	10	10	5	10	10	5	5	5	20	10	15	15	10	15	5	15	5	10	5					
12	Число выданных открепительных удостоверений	154	15	11	17	10	9	13	13	21	1	2	3	1	0	1	1	1	2	1	10	2	6	4	1	0	0	6	1	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	93	6	3	5	12	4	7	7	5	1	0	0	5	0	1	2	2	4	0	3	4	1	0	0	2	1	5	3	5	5					
14	Число неиспользованных открепительных удостоверений	244	10	9	8	15	14	12	12	4	9	8	7	9	5	9	9	4	3	4	10	8	9	11	9	15	5	9	4	8	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	302	27	21	20	27	28	48	37	32	2	7	3	0	1	1	1	3	3	5	3	6	3	0	7	2	2	2	2	7	2					
		2.35%	3.39%	2.65%	2.28%	2.39%	2.99%	4.28%	2.82%	3.13%	0.99%	2.69%	1.20%	0.00%	0.50%	0.90%	0.42%	0.87%	2.40%	3.38%	0.85%	3.16%	0.73%	0.00%	2.62%	1.42%	1.20%	0.36%	1.06%	3.95%	1.32%					
19	. Малышкин Олег Александрович	215	12	17	26	12	15	17	32	22	5	1	4	6	2	1	0	3	0	1	5	1	5	1	8	1	1	11	3	2	1					
		1.67%	1.51%	2.14%	2.97%	1.06%	1.60%	1.52%	2.44%	2.15%	2.46%	0.38%	1.61%	3.09%	0.99%	0.90%	0.00%	0.87%	0.00%	0.68%	1.41%	0.53%	1.21%	0.58%	3.00%	0.71%	0.60%	1.97%	1.59%	1.13%	0.66%					
20	. Миронов Сергей Михайлович	94	7	3	5	4	9	13	10	6	1	3	0	1	1	2	1	3	0	0	5	2	3	1	2	2	3	4	1	1	1					
		0.73%	0.88%	0.38%	0.57%	0.35%	0.96%	1.16%	0.76%	0.59%	0.49%	1.15%	0.00%	0.52%	0.50%	1.80%	0.42%	0.87%	0.00%	0.00%	1.41%	1.05%	0.73%	0.58%	0.75%	1.42%	1.80%	0.72%	0.53%	0.56%	0.66%					
21	. Путин Владимир Владимирович	9304	585	565	621	858	690	764	918	554	172	201	197	168	176	90	195	275	99	114	279	156	311	111	208	119	123	365	124	147	119					
		72.48%	73.49%	71.25%	70.89%	76.06%	73.72%	68.09%	70.08%	54.15%	84.73%	77.31%	79.12%	86.60%	87.13%	81.08%	82.28%	80.17%	79.20%	77.03%	78.59%	82.11%	75.30%	64.53%	77.90%	84.40%	73.65%	65.53%	65.61%	83.05%	78.29%					
22	. Хакамада Ирина Муцуовна	232	17	18	31	19	23	15	23	23	5	3	0	3	0	0	0	6	1	3	7	3	5	1	7	1	5	5	2	2	4					
